run_id,mixture_id,input_subdir,gas1,gas2,concentration_gas,output_file,population_subdir,display_name,name_tokens,gas,energy_low_eV,energy_high_eV,output_name,enabled
ArCF4_primary,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4.csv,ArCF4,CF4,ION CF3 +,CF4,15.0,100.0,CF4,True
ArCF4_primary,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4.csv,ArCF4,Ar**,EXC,ARGON,12.9,100.0,Ar_dbleStar,True
ArCF4_primary,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4.csv,ArCF4,CF3,NEUTRAL DISS,CF4,12.9,100.0,CF3,True
ArCF4_primary,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4.csv,ArCF4,Ar3rd,CHARGE STATE =,ARGON,40.0,100.0,Ar_3rd,True
ArN2_primary,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2.csv,ArN2,Ar Meta,EXC,ARGON,0.0,11.6,Ar_meta,True
ArN2_primary,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2.csv,ArN2,Ar Res,EXC,ARGON,11.6,11.7,Ar_res,True
ArN2_primary,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2.csv,ArN2,Ar**,EXC,ARGON,11.7,100.0,Ar_dbleStar,True
ArN2_primary,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2.csv,ArN2,N2*,C 3PI,NITROGEN,11.0,15.5,N2_star,True
ArCF4_Ar2nd,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_Ar2nd.csv,ArCF4_Ar2nd,"Ar(1s4,1s5)",EXC,ARGON,11.5,11.7,Ar_1s4_1s5,True
ArCF4_Ar2nd,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_Ar2nd.csv,ArCF4_Ar2nd,"Ar(1s2,1s3)",EXC,ARGON,11.7,12.0,Ar_1s2_1s3,True
ArCF4_Ar2nd,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_Ar2nd.csv,ArCF4_Ar2nd,Ar**,EXC,ARGON,12.9,100.0,Ar_dbleStar,True
ArCF4_IR,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_IR.csv,ArCF4,Ar 696,EXC,ARGON,13.32,23.32,Ar_696,True
ArCF4_IR,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_IR.csv,ArCF4,Ar 727,EXC,ARGON,13.32,23.32,Ar_727,True
ArCF4_IR,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_IR.csv,ArCF4,Ar 750,EXC,ARGON,13.47,23.47,Ar_750,True
ArCF4_IR,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_IR.csv,ArCF4,Ar 763,EXC,ARGON,13.17,23.17,Ar_763,True
ArCF4_IR,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_IR.csv,ArCF4,Ar 772,EXC,ARGON,13.32,23.32,Ar_772,True
ArCF4_IR,ArCF4,ArCF4/txt,ARGON,CF4,CF4,ArCF4_IR.csv,ArCF4,Ar 794,EXC,ARGON,13.5,23.5,Ar_794,True
ArN2_Ar2nd,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_Ar2nd.csv,ArN2_Ar2nd,"Ar(1s4,1s5)",EXC,ARGON,11.5,11.7,Ar_1s4_1s5,True
ArN2_Ar2nd,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_Ar2nd.csv,ArN2_Ar2nd,"Ar(1s2,1s3)",EXC,ARGON,11.7,12.0,Ar_1s2_1s3,True
ArN2_Ar2nd,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_Ar2nd.csv,ArN2_Ar2nd,Ar**,EXC,ARGON,12.9,100.0,Ar_dbleStar,True
ArN2_IR,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_IR.csv,ArN2,Ar 696,EXC,ARGON,13.32,23.32,Ar_696,True
ArN2_IR,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_IR.csv,ArN2,Ar 727,EXC,ARGON,13.32,23.32,Ar_727,True
ArN2_IR,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_IR.csv,ArN2,Ar 750,EXC,ARGON,13.47,23.47,Ar_750,True
ArN2_IR,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_IR.csv,ArN2,Ar 763,EXC,ARGON,13.17,23.17,Ar_763,True
ArN2_IR,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_IR.csv,ArN2,Ar 772,EXC,ARGON,13.32,23.32,Ar_772,True
ArN2_IR,ArN2,ArN2/txt,ARGON,NITROGEN,N2,ArN2_IR.csv,ArN2,Ar 794,EXC,ARGON,13.5,23.5,Ar_794,True
