,PAr_star_696,tau_CF4_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,PAr_star_727,tau_CF4_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,PAr_star_750,tau_CF4_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,PAr_star_764,tau_CF4_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,PAr_star_772,tau_CF4_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772
PAr_star_696,9.428427380291417e-08,,6.111739251396965e-06,0.00025347841363558603,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
tau_CF4_696,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,6.111739251396965e-06,,0.0005049953746959087,0.014454960571112958,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
K_Ar_Q_CF4_696,0.00025347841363558603,,0.014454960571112957,0.746592759825225,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
PAr_star_727,0.0,,0.0,0.0,13337.702715915113,,62043549.08736325,33105.95762996985,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
tau_CF4_727,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_727,0.0,,0.0,0.0,62043549.08736326,,288610571478.10016,153958264.81708586,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
K_Ar_Q_CF4_727,0.0,,0.0,0.0,33105.95762996985,,153958264.81708586,1791242.95039183,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
PAr_star_750,0.0,,0.0,0.0,0.0,,0.0,0.0,0.34169980906191616,,38.40020014814344,301.157561846031,0.0,,0.0,0.0,0.0,,0.0,0.0
tau_CF4_750,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_750,0.0,,0.0,0.0,0.0,,0.0,0.0,38.40020014814343,,4315.753828697041,33839.32309021161,0.0,,0.0,0.0,0.0,,0.0,0.0
K_Ar_Q_CF4_750,0.0,,0.0,0.0,0.0,,0.0,0.0,301.157561846031,,33839.32309021161,265534.7423652605,0.0,,0.0,0.0,0.0,,0.0,0.0
PAr_star_764,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.14701120618144461,,3.4565677771136967,284.4804947522898,0.0,,0.0,0.0
tau_CF4_764,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_764,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3.4565677771136962,,81.31697633637616,6687.910020127457,0.0,,0.0,0.0
K_Ar_Q_CF4_764,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,284.4804947522898,,6687.910020127458,550559.04756535,0.0,,0.0,0.0
PAr_star_772,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.24953734420429463,,4.463919966894197,1011.916620192942
tau_CF4_772,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_772,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4.463919966894198,,79.94399145474345,18099.61098363313
K_Ar_Q_CF4_772,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1011.9166201929422,,18099.610983633134,4103691.315073963
