,PAr_star_696,tau_CF4_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,PAr_star_727,tau_CF4_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,PAr_star_750,tau_CF4_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,PAr_star_764,tau_CF4_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,PAr_star_772,tau_CF4_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772
PAr_star_696,1.0,,0.9992655233309772,0.999900523591879,,,,,,,,,,,,,,,,
tau_CF4_696,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,0.9992655233309772,,1.0,0.9993515282467401,,,,,,,,,,,,,,,,
K_Ar_Q_CF4_696,0.999900523591879,,0.9993515282467401,1.0,,,,,,,,,,,,,,,,
PAr_star_727,,,,,1.0,,0.8436689724259588,-0.25084682819363885,,,,,,,,,,,,
tau_CF4_727,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_727,,,,,0.8436689724259588,,1.0,-0.6735053535310092,,,,,,,,,,,,
K_Ar_Q_CF4_727,,,,,-0.25084682819363885,,-0.6735053535310092,1.0,,,,,,,,,,,,
PAr_star_750,,,,,,,,,1.0,,0.9603992132333706,0.8553802096824603,,,,,,,,
tau_CF4_750,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_750,,,,,,,,,0.9603992132333706,,1.0,0.6772636529127583,,,,,,,,
K_Ar_Q_CF4_750,,,,,,,,,0.8553802096824603,,0.6772636529127583,1.0,,,,,,,,
PAr_star_764,,,,,,,,,,,,,1.0,,0.9437173724638693,0.9804371054169236,,,,
tau_CF4_764,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_764,,,,,,,,,,,,,0.9437173724638693,,1.0,0.8601584317722013,,,,
K_Ar_Q_CF4_764,,,,,,,,,,,,,0.9804371054169236,,0.8601584317722013,1.0,,,,
PAr_star_772,,,,,,,,,,,,,,,,,1.0,,0.9575781753273203,0.9995239366692205
tau_CF4_772,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_772,,,,,,,,,,,,,,,,,0.9575781753273203,,1.0,0.9486087980495477
K_Ar_Q_CF4_772,,,,,,,,,,,,,,,,,0.9995239366692205,,0.9486087980495477,1.0
