,PAr_star_696,tau_CF4_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,PAr_star_727,tau_CF4_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,PAr_star_750,tau_CF4_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,PAr_star_764,tau_CF4_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,PAr_star_772,tau_CF4_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772
PAr_star_696,1.0,,-0.401494303477181,-0.8640249627209415,,,,,,,,,,,,,,,,
tau_CF4_696,,1.0,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,-0.401494303477181,,1.0,0.7699246977848907,,,,,,,,,,,,,,,,
K_Ar_Q_CF4_696,-0.8640249627209415,,0.7699246977848907,1.0,,,,,,,,,,,,,,,,
PAr_star_727,,,,,1.0,,-0.01349098007275959,-0.06547863959552805,,,,,,,,,,,,
tau_CF4_727,,,,,,1.0,,,,,,,,,,,,,,
K_Ar_Q_Ar_727,,,,,-0.01349098007275959,,1.0,0.5772928978194223,,,,,,,,,,,,
K_Ar_Q_CF4_727,,,,,-0.06547863959552805,,0.5772928978194223,1.0,,,,,,,,,,,,
PAr_star_750,,,,,,,,,1.0,,-0.04654698690177947,-0.04604555213779998,,,,,,,,
tau_CF4_750,,,,,,,,,,1.0,,,,,,,,,,
K_Ar_Q_Ar_750,,,,,,,,,-0.04654698690177947,,1.0,0.9999976835751905,,,,,,,,
K_Ar_Q_CF4_750,,,,,,,,,-0.04604555213779998,,0.9999976835751905,1.0,,,,,,,,
PAr_star_764,,,,,,,,,,,,,1.0,,-0.11068050163752349,-0.10907850001594667,,,,
tau_CF4_764,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_764,,,,,,,,,,,,,-0.11068050163752349,,1.0,0.9999949219442502,,,,
K_Ar_Q_CF4_764,,,,,,,,,,,,,-0.10907850001594667,,0.9999949219442502,1.0,,,,
PAr_star_772,,,,,,,,,,,,,,,,,1.0,,0.0830139604328496,-0.09698567927430105
tau_CF4_772,,,,,,,,,,,,,,,,,,1.0,,
K_Ar_Q_Ar_772,,,,,,,,,,,,,,,,,0.0830139604328496,,1.0,0.9462578067012569
K_Ar_Q_CF4_772,,,,,,,,,,,,,,,,,-0.09698567927430105,,0.9462578067012569,1.0
