,PAr_star_696,tau_CF4_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,PAr_star_727,tau_CF4_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,PAr_star_750,tau_CF4_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,PAr_star_764,tau_CF4_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,PAr_star_772,tau_CF4_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772
PAr_star_696,4.257609019708984e-06,-7.008066152151547e-34,0.0011513108944511189,0.15973502399923348,,,,,,,,,,,,,,,,
tau_CF4_696,-7.008066152151547e-34,5.065595110449307e-29,-3.482596638433898e-31,2.9042745299909355e-29,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,0.0011513108944511189,-3.482596638433898e-31,0.349593550997165,40.51414766430725,,,,,,,,,,,,,,,,
K_Ar_Q_CF4_696,0.15973502399923348,2.9042745299909355e-29,40.51414766430725,6206.831168708911,,,,,,,,,,,,,,,,
PAr_star_727,,,,,3.5707408069736623e-07,8.244783708413585e-35,0.000969718868423021,8.177494513573861e-05,,,,,,,,,,,,
tau_CF4_727,,,,,8.244783708413585e-35,5.065595110449307e-29,-3.79919633283698e-31,1.794064934950796e-31,,,,,,,,,,,,
K_Ar_Q_Ar_727,,,,,0.000969718868423021,-3.79919633283698e-31,2.6590056770133,0.19626191913462188,,,,,,,,,,,,
K_Ar_Q_CF4_727,,,,,8.177494513573861e-05,1.794064934950796e-31,0.19626191913462188,0.07733454884128715,,,,,,,,,,,,
PAr_star_750,,,,,,,,,5.753937607860261e-06,-4.173921752384377e-33,0.004216047186846486,0.017584151762343188,,,,,,,,
tau_CF4_750,,,,,,,,,-4.173921752384377e-33,5.065595110449307e-29,-2.3533910617295735e-30,3.7147697476628245e-30,,,,,,,,
K_Ar_Q_Ar_750,,,,,,,,,0.004216047186846486,-2.3533910617295735e-30,3.4101497714344324,9.825325319009702,,,,,,,,
K_Ar_Q_CF4_750,,,,,,,,,0.017584151762343188,3.7147697476628245e-30,9.825325319009702,90.40176634523283,,,,,,,,
PAr_star_764,,,,,,,,,,,,,5.6584428127527884e-06,0.0,0.0011850348437215802,0.052252959821668166,,,,
tau_CF4_764,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
K_Ar_Q_Ar_764,,,,,,,,,,,,,0.0011850348437215802,0.0,0.28961735006859807,10.217982059988532,,,,
K_Ar_Q_CF4_764,,,,,,,,,,,,,0.052252959821668166,0.0,10.217982059988532,499.02730516814177,,,,
PAr_star_772,,,,,,,,,,,,,,,,,5.595705957204087e-06,4.122391854206792e-34,0.000576077187815723,0.265107276492613
tau_CF4_772,,,,,,,,,,,,,,,,,4.122391854206792e-34,5.065595110449307e-29,-8.442658517415511e-32,7.024291886489705e-29
K_Ar_Q_Ar_772,,,,,,,,,,,,,,,,,0.000576077187815723,-8.442658517415511e-32,0.09756298098676917,25.760946826445103
K_Ar_Q_CF4_772,,,,,,,,,,,,,,,,,0.265107276492613,7.024291886489705e-29,25.760946826445103,12661.419248048
