,PAr_star_696,tau_CF4_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,PAr_star_727,tau_CF4_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,PAr_star_750,tau_CF4_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,PAr_star_764,tau_CF4_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,PAr_star_772,tau_CF4_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772
PAr_star_696,4.69515032006559e-10,-4.444453717816698e-35,-8.515772364370431e-09,-3.2244114584396815e-06,4.362567855984812e-12,-4.444453717816698e-35,7.199772190365424e-11,1.983381837539616e-11,-4.073215282712594e-12,4.444453717816698e-35,-2.3802429680965627e-06,-9.74661899860592e-06,-2.6741433357008576e-13,0.0,7.900899254637869e-07,3.502500821485052e-05,-2.9086294069198335e-10,-4.444453717816698e-35,-2.158823778260864e-09,-9.17291383813285e-07
tau_CF4_696,-4.444453717816698e-35,5.065595110449307e-29,6.183587781310189e-33,-3.925836210598213e-30,1.0305979635516981e-35,5.065595110449307e-29,-3.339137401907502e-33,-4.508866090538679e-36,-1.0883114495105932e-32,-5.065595110449307e-29,1.0848816194878931e-29,1.2157428265078336e-29,-7.502753174656363e-33,0.0,2.3006244459957266e-30,-1.7290564643666966e-28,6.647356864908453e-34,5.065595110449307e-29,2.044706359686569e-32,5.842319694051533e-29
K_Ar_Q_Ar_696,-8.515772364370431e-09,6.183587781310189e-33,8.251834621596001e-07,0.00013837491278669814,-9.48977294341674e-11,6.183587781310189e-33,3.372773262587315e-08,-2.51612525720881e-10,-3.238607674481553e-10,-6.183587781310189e-33,8.191955258161108e-05,0.00033205864709144676,-1.5650602763372702e-11,0.0,6.146500516180265e-06,0.000263405110236728,5.372959790318067e-09,6.183587781310189e-33,1.2549629869114778e-07,6.216852369001356e-05
K_Ar_Q_CF4_696,-3.2244114584396815e-06,-3.925836210598213e-30,0.00013837491278669814,0.03218089236270431,-3.072452014914706e-08,-3.925836210598213e-30,3.574994693941235e-06,-1.0278543926592189e-07,-5.15179254294971e-08,3.925836210598213e-30,0.02043289339079588,0.08327205252849924,-2.441436128896778e-09,0.0,-0.0016427579194726015,-0.07380558183499096,2.0908449118693386e-06,-3.925836210598213e-30,2.6311443336813393e-05,0.012333919158328719
PAr_star_727,4.362567855984812e-12,1.0305979635516981e-35,-9.48977294341674e-11,-3.072452014914706e-08,5.499430018117088e-12,1.0305979635516981e-35,9.224164026006757e-11,-5.149697779846032e-12,-5.137755310520759e-13,-1.0305979635516981e-35,-3.77713911589731e-07,-1.5440841352630585e-06,-2.7315230297265746e-14,0.0,-1.0841375591928071e-07,-4.799424366029116e-06,-1.9329410223722666e-11,1.0305979635516981e-35,5.474563201789827e-11,5.022470421152989e-08
tau_CF4_727,-4.444453717816698e-35,5.065595110449307e-29,6.183587781310189e-33,-3.925836210598213e-30,1.0305979635516981e-35,5.065595110449307e-29,-3.339137401907502e-33,-4.508866090538679e-36,-1.0883114495105932e-32,-5.065595110449307e-29,1.0848816194878931e-29,1.2157428265078336e-29,-7.502753174656363e-33,0.0,2.3006244459957266e-30,-1.7290564643666966e-28,6.647356864908453e-34,5.065595110449307e-29,2.044706359686569e-32,5.842319694051533e-29
K_Ar_Q_Ar_727,7.199772190365424e-11,-3.339137401907502e-33,3.372773262587315e-08,3.574994693941235e-06,9.224164026006757e-11,-3.339137401907502e-33,4.134434243386758e-09,1.2869641018334268e-10,-3.000867025339714e-11,3.339137401907502e-33,-2.6416853968895777e-06,-1.0978988224877412e-05,-3.207451696590276e-12,0.0,4.661581436485998e-07,2.0301339592998776e-05,-4.513638787132972e-10,-3.339137401907502e-33,1.683108850136905e-08,9.58820856030227e-06
K_Ar_Q_CF4_727,1.983381837539616e-11,-4.508866090538679e-36,-2.51612525720881e-10,-1.0278543926592189e-07,-5.149697779846032e-12,-4.508866090538679e-36,1.2869641018334268e-10,2.3180029747465813e-10,-1.4113662696579771e-11,4.508866090538679e-36,1.7183428157395653e-06,7.013881785447322e-06,-6.653591303217832e-13,0.0,1.6687304336809808e-06,7.401333955911304e-05,8.975897233858262e-11,-4.508866090538679e-36,2.7555361203997427e-09,1.4171565703859554e-06
PAr_star_750,-4.073215282712594e-12,-1.0883114495105932e-32,-3.238607674481553e-10,-5.15179254294971e-08,-5.137755310520759e-13,-1.0883114495105932e-32,-3.000867025339714e-11,-1.4113662696579771e-11,3.702261798314097e-11,1.0883114495105932e-32,-1.6716242032311934e-06,-6.826889910674722e-06,1.071458834372117e-12,0.0,-4.223844461387356e-07,-1.8752245941717637e-05,-6.224900364703083e-11,-1.0883114495105932e-32,-1.1459725720673098e-09,-5.56770192431779e-07
tau_CF4_750,4.444453717816698e-35,-5.065595110449307e-29,-6.183587781310189e-33,3.925836210598213e-30,-1.0305979635516981e-35,-5.065595110449307e-29,3.339137401907502e-33,4.508866090538679e-36,1.0883114495105932e-32,5.065595110449307e-29,-1.0848816194878931e-29,-1.2157428265078336e-29,7.502753174656363e-33,0.0,-2.3006244459957266e-30,1.7290564643666966e-28,-6.647356864908453e-34,-5.065595110449307e-29,-2.044706359686569e-32,-5.842319694051533e-29
