,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
Nnorm,0.9999999999999999,-0.8662819770330156,-0.9038641000697771,1.916436353963675e-09,2.0101629921722833e-09,0.6424271858851812,,-0.9423038340144256,,-0.3443851031272049,-0.10031527445735107
P_CF3_vis_dir,-0.8662819770330156,0.9999999999999999,0.7201447047839824,0.00465852824601112,0.010164898126223787,-0.5565230926883711,,0.8163008282958073,,0.2983346079977544,0.08690131428352328
P_Ar_dbleStar,-0.9038641000697771,0.7201447047839824,1.0,-0.051128278353199386,-0.06980365851562981,-0.5806668702304694,,0.8517146069237497,,0.31127733131550783,0.0906713752706467
K_Ar_dbleStar_Q_Ar,1.916436354251601e-09,0.00465852824601112,-0.05112827835319937,1.0,0.9986370933149769,1.2311770670534706e-09,,-1.8058636697012962e-09,,-6.599761789941462e-10,-1.9225889201456683e-10
K_Ar_dbleStar_Q_CF4,2.010162992171996e-09,0.010164898126223787,-0.06980365851562981,0.9986370933149769,1.0,1.2913896125147547e-09,,-1.8941826419530354e-09,,-6.92254268391565e-10,-2.016610554753206e-10
inv_tau_dis_K_relax,0.6424271858851811,-0.5565230926883711,-0.5806668702304694,1.2311770679263451e-09,1.2913896125150265e-09,0.9999999999999999,,-0.5367131578884342,,0.2630227277119573,-0.3559387174452005
tau_uv_K_CF4_Q_CF4,,,,,,,,,,,
P_CF4_dir,-0.9423038340144256,0.8163008282958075,0.8517146069237497,-1.8058636692747006e-09,-1.8941826419534105e-09,-0.5367131578884343,,0.9999999999999999,,0.5552594341648878,-0.20410433433117423
K_Ar3rd_Q_CF4,,,,,,,,,,,
P_Ar3rd,-0.3443851031272049,0.2983346079977544,0.31127733131550783,-6.599761790766446e-10,-6.922542683915086e-10,0.2630227277119573,,0.5552594341648877,,0.9999999999999999,-0.8044544293841626
P_CF3_uv_dir,-0.10031527445735103,0.08690131428352332,0.09067137527064666,-1.9225889145029968e-10,-2.0166105547536645e-10,-0.35593871744520056,,-0.20410433433117423,,-0.8044544293841629,1.0
