,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
Nnorm,1.0110738307325397e-05,-4.907614455295692e-05,-0.00010818792636441968,-1.5603872004766117e-05,-0.0006118462385293563,7.70989695168287e-06,,-7.277777401739981e-05,,-9.33362520252663e-05,-3.888551233242433e-05
P_CF3_vis_dir,-4.9076144552956914e-05,0.00023902804332572212,0.0005246946448287786,0.34184391904839984,13.428995057695106,-3.7422788107888366e-05,,0.0003532533875716309,,0.00045304143547081365,0.0001887449725461397
P_Ar_dbleStar,-0.00010818792636441966,0.0005246946448287786,0.0012148183039862787,-139.63210743517968,-5479.019788570525,-8.249820520196226e-05,,0.0007787439670625043,,0.0009987258353869614,0.00041608662184982356
K_Ar_dbleStar_Q_Ar,-1.5603872004766117e-05,0.3418439190483998,-139.63210743517968,37371709979.65378,1465403675582.1213,-1.3618948629538997e-05,,3.251849090605408e-05,,0.0001143460784197306,1.1360751640292487e-05
K_Ar_dbleStar_Q_CF4,-0.0006118462385293564,13.428995057695106,-5479.019788570525,1465403675582.1216,57460789093878.46,-0.000534015731117545,,0.001275056752411938,,0.004483632920590476,0.00044544917624117454
inv_tau_dis_K_relax,7.709896951682868e-06,-3.7422788107888366e-05,-8.249820520196226e-05,-1.3618948629538997e-05,-0.000534015731117545,1.2478880851047315e-05,,-5.476744488234556e-05,,6.949112387619695e-05,-7.876110375669092e-05
tau_uv_K_CF4_Q_CF4,,,,,,,,,,,
P_CF4_dir,-7.277777401739981e-05,0.0003532533875716309,0.0007787439670625043,3.2518490906054084e-05,0.0012750567524119378,-5.476744488234556e-05,,0.0007236944276738836,,0.0014453900805092713,-0.0007945516794055453
K_Ar3rd_Q_CF4,,,,,,,,,,,
P_Ar3rd,-9.33362520252663e-05,0.00045304143547081365,0.0009987258353869612,0.0001143460784197306,0.004483632920590476,6.949112387619695e-05,,0.0014453900805092713,,0.009679663949646795,-0.007128720664233501
P_CF3_uv_dir,-3.888551233242431e-05,0.00018874497254613973,0.0004160866218498238,1.1360751640292487e-05,0.0004454491762411745,-7.876110375669092e-05,,-0.0007945516794055452,,-0.007128720664233502,0.008657057554049719
