,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
Nnorm,6.606894623273687e-07,-1.774734275797844e-05,-3.898372379357462e-05,-0.004969375556987181,-0.16856897503990517,2.9138246863978483e-06,0.0,-2.8340133262661685e-05,3.493727096440256e-33,-4.5724212325636814e-05,5.711404716074874e-10
P_CF3_vis_dir,-1.774734275797844e-05,0.0005343282014144078,0.00112803415909682,0.05335443647669867,1.610791794167171,-7.516613788470458e-05,0.0,0.0008268396783346709,-5.276661573384694e-33,0.0013671286824913666,-1.8611102438156773e-08
P_Ar_dbleStar,-3.898372379357462e-05,0.00112803415909682,0.0026315629688537013,0.2791799032868137,1.0658406402805833,-0.00016448446140436348,0.0,0.00182380916829501,-1.5368276832482923e-31,0.0029901647120166796,-3.3197362477445214e-08
K_Ar_dbleStar_Q_Ar,-0.004969375556987181,0.05335443647669867,0.2791799032868137,6856.405324552955,259300.87044075958,-0.013567031832980102,0.0,0.14072559189861308,2.134304073202641e-28,0.36508443772164767,5.665980602639417e-05
K_Ar_dbleStar_Q_CF4,-0.16856897503990517,1.610791794167171,1.0658406402805833,259300.87044075958,10534214.19765823,-0.3539732439330835,0.0,3.642209578042124,2.3342262268950404e-27,12.626251543064209,0.002218443883417186
inv_tau_dis_K_relax,2.9138246863978483e-06,-7.516613788470458e-05,-0.00016448446140436348,-0.013567031832980102,-0.3539732439330835,2.5645077680631712e-05,0.0,-0.00011943831554654564,-7.832544522992906e-34,-8.912951415701336e-05,-9.023281954887169e-10
tau_uv_K_CF4_Q_CF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CF4_dir,-2.8340133262661685e-05,0.0008268396783346709,0.00182380916829501,0.14072559189861308,3.642209578042124,-0.00011943831554654564,0.0,0.001326906433670688,-1.5038485484146378e-31,0.0021621697839303354,-2.7129176878022406e-08
K_Ar3rd_Q_CF4,3.493727096440256e-33,-5.276661573384694e-33,-1.5368276832482923e-31,2.134304073202641e-28,2.3342262268950404e-27,-7.832544522992906e-34,0.0,-1.5038485484146378e-31,5.065595110449307e-29,3.2847218294319722e-31,4.830927954148585e-36
P_Ar3rd,-4.5724212325636814e-05,0.0013671286824913666,0.0029901647120166796,0.36508443772164767,12.626251543064209,-8.912951415701336e-05,0.0,0.0021621697839303354,3.2847218294319722e-31,0.004926140285786677,-4.1523386124756695e-08
P_CF3_uv_dir,5.711404716074874e-10,-1.8611102438156773e-08,-3.3197362477445214e-08,5.665980602639417e-05,0.002218443883417186,-9.023281954887169e-10,0.0,-2.7129176878022406e-08,4.830927954148585e-36,-4.1523386124756695e-08,1.7251129730379268e-10
