,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
Nnorm,6.126478401887504e-08,-1.3730277071699788e-06,-3.0364151286662516e-06,-1.3366796287786101e-05,-5.381263486072054e-05,2.9927087044123506e-07,0.0,-9.363430794454008e-07,-3.957496180038521e-33,2.0656733110000227e-06,2.229261673495086e-11
P_CF3_vis_dir,-1.3730277071699788e-06,0.00023465766006847382,0.0005543087373280734,0.0011620416842253625,0.008690187876628673,-6.7561311997941076e-06,0.0,2.0561175317992046e-05,-7.45328447240588e-32,-5.089306147483962e-05,-1.6375125184035306e-09
P_Ar_dbleStar,-3.0364151286662516e-06,0.0005543087373280734,0.0013102750912638659,0.0027957314063214544,0.020521751042747973,-1.4929550981253248e-05,0.0,4.5573575294865476e-05,2.796630633893888e-31,-0.00011235594806960846,-3.758214307272152e-09
K_Ar_dbleStar_Q_Ar,-1.3366796287786101e-05,0.0011620416842253625,0.0027957314063214544,0.0892945240257982,0.1385236830128013,-4.8111689364519706e-05,0.0,0.0004162491311577592,1.472399645437265e-28,0.0005747180514138553,1.657961032322677e-07
K_Ar_dbleStar_Q_CF4,-5.381263486072054e-05,0.008690187876628673,0.020521751042747973,0.1385236830128013,5.008148163349988,-0.00024356205304216597,0.0,0.0007196201558137272,1.3832451714933573e-27,-0.002124634104591356,-3.8186500090384597e-07
inv_tau_dis_K_relax,2.9927087044123506e-07,-6.7561311997941076e-06,-1.4929550981253248e-05,-4.8111689364519706e-05,-0.00024356205304216597,1.4704031106587079e-06,0.0,-4.520513259974375e-06,-3.7307646280571474e-33,1.0383098388240638e-05,3.80492089899195e-11
tau_uv_K_CF4_Q_CF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CF4_dir,-9.363430794454008e-07,2.0561175317992046e-05,4.5573575294865476e-05,0.0004162491311577592,0.0007196201558137272,-4.520513259974375e-06,0.0,1.5204728979663464e-05,4.48516233737699e-32,-2.8070074900569244e-05,7.443147549666579e-11
K_Ar3rd_Q_CF4,-3.957496180038521e-33,-7.45328447240588e-32,2.796630633893888e-31,1.472399645437265e-28,1.3832451714933573e-27,-3.7307646280571474e-33,0.0,4.48516233737699e-32,5.065595110449307e-29,-1.2400154697454032e-31,-2.0934021134643867e-36
P_Ar3rd,2.0656733110000227e-06,-5.089306147483962e-05,-0.00011235594806960846,0.0005747180514138553,-0.002124634104591356,1.0383098388240638e-05,0.0,-2.8070074900569244e-05,-1.2400154697454032e-31,8.553597719777487e-05,1.6900737640643823e-09
P_CF3_uv_dir,2.229261673495086e-11,-1.6375125184035306e-09,-3.758214307272152e-09,1.657961032322677e-07,-3.8186500090384597e-07,3.80492089899195e-11,0.0,7.443147549666579e-11,-2.0934021134643867e-36,1.6900737640643823e-09,3.5877173448628727e-11
