toy_id,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
0,0.025047954243204135,0.1212579447243073,0.2673124049040069,255.0031866871641,9999.603352346156,0.0066706846076920265,0.065,0.18783528502009844,50.05,0.4690392349173855,2.0348974266195855e-10
1,0.02594904840028005,0.11910680061855276,0.25731026701377885,254.96215720853243,9999.99788506232,0.006691447584330042,0.065,0.1930609475988802,50.05,0.4869143751366655,2.9988482775524065e-17
2,0.025021250548158975,0.1199169008837963,0.26690893524495884,255.03461072686932,9999.899413482517,0.006671327910491304,0.065,0.1880560549855187,50.05,0.46980130680330945,1.1165420096783197e-28
3,0.025113804205157048,0.11961512525040469,0.26592304338218314,255.02691686688158,9999.71224742583,0.006673100282982127,0.065,0.1885753128242117,50.05,0.4715709555489891,6.2269444255521586e-24
4,0.023341832450099718,0.12889996899358067,0.2861070681453739,255.00903696997224,9999.166350832429,0.006627317937762297,0.065,0.17797647080825924,50.05,0.43535056605258443,4.130265764847419e-25
5,0.021531655488404817,0.14128682958819969,0.31013552398861677,255.00205106268396,9999.978949554688,0.006559137965899963,0.065,0.16537461028197598,50.05,0.3922388147589586,3.4293613076434565e-25
6,0.020114568830508633,0.15282995827656337,0.33195945844076435,254.97363146901856,9999.90642673126,0.006483273929754444,0.065,0.15393146581151618,50.05,0.3530823289451727,2.061798533734735e-24
7,0.027349581265910444,0.11139286009485805,0.2441595317940874,254.99795289703567,9999.961863783072,0.006717872298786136,0.065,0.19996551998830137,50.05,0.5105354891619952,1.6387268276800962e-24
8,0.028673891890362537,0.10511547427872703,0.2329010200023169,255.02516449839973,9999.97143165405,0.0067368123502628855,0.065,0.20589354989882563,50.05,0.5307816671426716,2.1112522845283924e-21
9,0.026547675077005083,0.11178635386955654,0.25158202088093407,255.06427212704799,9999.996206530463,0.006702933012388424,0.065,0.19610558647819268,50.05,0.4973229123273376,1.582080225221256e-19
