,PAr_star_696,tau_joint_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,K_Ar_Q_N2_696,PAr_star_727,tau_joint_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,K_Ar_Q_N2_727,PAr_star_750,tau_joint_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,K_Ar_Q_N2_750,PAr_star_764,tau_joint_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,K_Ar_Q_N2_764,PAr_star_772,tau_joint_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772,K_Ar_Q_N2_772
PAr_star_696,1.1033140365442143e-08,,2.437428606178449e-06,0.00041287773793184353,0.0001012033195078525,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
tau_joint_696,,0.010000000000000002,,,,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,2.437428606178449e-06,,0.000591216010821613,0.08816276833078152,0.021604562751388334,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_CF4_696,0.00041287773793184353,,0.08816276833078152,16.317927279502467,3.830739677125992,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_N2_696,0.00010120331950785247,,0.021604562751388334,3.830739677125992,0.9838995202727672,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
PAr_star_727,0.0,,0.0,0.0,0.0,2.3760404076020494e-08,,1.2727109845970407e-05,0.22540289991209228,0.002170755216347206,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
tau_joint_727,,,,,,,0.010000000000000002,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_727,0.0,,0.0,0.0,0.0,1.2727109845970407e-05,,0.007045821252646961,120.63738929901527,1.1574403456668043,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_CF4_727,0.0,,0.0,0.0,0.0,0.22540289991209228,,120.63738929901527,2256504.917371088,20595.135743945906,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_N2_727,0.0,,0.0,0.0,0.0,0.002170755216347206,,1.1574403456668043,20595.135743945913,199.78834908536217,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
PAr_star_750,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.015848913182427964,,9.839729834399217,148.53482956294826,43.00554332819065,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
tau_joint_750,,,,,,,,,,,,0.010000000000000002,,,,,,,,,,,,,
K_Ar_Q_Ar_750,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,9.839729834399217,,6109.119483673831,92214.59463523205,26698.310933702738,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_CF4_750,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,148.53482956294826,,92214.59463523205,1392244.271527695,403068.4229812423,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_N2_750,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,43.00554332819065,,26698.310933702734,403068.4229812423,116737.93974852424,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
PAr_star_764,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004197315042725239,,0.550364442860513,90.69742820368108,36.698580235321856,0.0,,0.0,0.0,0.0
tau_joint_764,,,,,,,,,,,,,,,,,0.010000000000000002,,,,,,,,
K_Ar_Q_Ar_764,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5503644428605129,,72.1834222105164,11891.85489344648,4811.687082428347,0.0,,0.0,0.0,0.0
K_Ar_Q_CF4_764,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,90.69742820368107,,11891.85489344648,1960119.6079527743,793011.5545874131,0.0,,0.0,0.0,0.0
K_Ar_Q_N2_764,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,36.698580235321856,,4811.687082428348,793011.5545874132,320919.1956526616,0.0,,0.0,0.0,0.0
PAr_star_772,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.876018365082854e-06,,0.00013500973786928112,0.09246494339111469,0.014439988286494898
tau_joint_772,,,,,,,,,,,,,,,,,,,,,,0.010000000000000002,,,
K_Ar_Q_Ar_772,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.00013500973786928115,,0.009983111867559897,6.634562278731397,1.0334554657115016
K_Ar_Q_CF4_772,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.09246494339111472,,6.634562278731397,4587.49974306058,712.1410435441553
K_Ar_Q_N2_772,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0144399882864949,,1.0334554657115016,712.1410435441554,112.08091112506726
