,PAr_star_696,tau_N2_696,K_Ar_Q_Ar_696,K_Ar_Q_N2_696,PAr_star_727,tau_N2_727,K_Ar_Q_Ar_727,K_Ar_Q_N2_727,PAr_star_750,tau_N2_750,K_Ar_Q_Ar_750,K_Ar_Q_N2_750,PAr_star_764,tau_N2_764,K_Ar_Q_Ar_764,K_Ar_Q_N2_764,PAr_star_772,tau_N2_772,K_Ar_Q_Ar_772,K_Ar_Q_N2_772
PAr_star_696,1.0,,0.9157335479568046,0.9987539021529976,,,,,,,,,,,,,,,,
tau_N2_696,,1.0,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,0.9157335479568046,,1.0,0.9234210205970382,,,,,,,,,,,,,,,,
K_Ar_Q_N2_696,0.9987539021529976,,0.9234210205970382,1.0,,,,,,,,,,,,,,,,
PAr_star_727,,,,,1.0,,0.9278151406611956,0.0309857371082385,,,,,,,,,,,,
tau_N2_727,,,,,,1.0,,,,,,,,,,,,,,
K_Ar_Q_Ar_727,,,,,0.9278151406611956,,1.0,-0.2866604547768081,,,,,,,,,,,,
K_Ar_Q_N2_727,,,,,0.0309857371082385,,-0.2866604547768081,1.0,,,,,,,,,,,,
PAr_star_750,,,,,,,,,1.0,,0.9598828750628542,0.7036361354513397,,,,,,,,
tau_N2_750,,,,,,,,,,1.0,,,,,,,,,,
K_Ar_Q_Ar_750,,,,,,,,,0.9598828750628542,,1.0,0.4853604194101755,,,,,,,,
K_Ar_Q_N2_750,,,,,,,,,0.7036361354513397,,0.4853604194101755,1.0,,,,,,,,
PAr_star_764,,,,,,,,,,,,,1.0,,0.9769882697579648,0.9950941317047513,,,,
tau_N2_764,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_764,,,,,,,,,,,,,0.9769882697579648,,1.0,0.9530056259511684,,,,
K_Ar_Q_N2_764,,,,,,,,,,,,,0.9950941317047513,,0.9530056259511684,1.0,,,,
PAr_star_772,,,,,,,,,,,,,,,,,1.0,,0.973942313662028,0.9978785776704474
tau_N2_772,,,,,,,,,,,,,,,,,,1.0,,
K_Ar_Q_Ar_772,,,,,,,,,,,,,,,,,0.973942313662028,,1.0,0.958475194920651
K_Ar_Q_N2_772,,,,,,,,,,,,,,,,,0.9978785776704474,,0.958475194920651,1.0
