,PAr_star_696,tau_N2_696,K_Ar_Q_Ar_696,K_Ar_Q_N2_696,PAr_star_727,tau_N2_727,K_Ar_Q_Ar_727,K_Ar_Q_N2_727,PAr_star_750,tau_N2_750,K_Ar_Q_Ar_750,K_Ar_Q_N2_750,PAr_star_764,tau_N2_764,K_Ar_Q_Ar_764,K_Ar_Q_N2_764,PAr_star_772,tau_N2_772,K_Ar_Q_Ar_772,K_Ar_Q_N2_772
PAr_star_696,1.0,,0.9972483397358328,0.996533212177077,0.8546173300556916,,0.8419505040701778,0.8415038555627936,-0.7934219084811672,,-0.14253773902515765,-0.1426427936173172,0.8780055959710042,,-0.8809590910935461,-0.8809871029521946,-0.1978047210398976,,0.13853583302706798,0.13816743886293478
tau_N2_696,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,0.9972483397358328,,1.0,0.9999569407906606,0.8151550423781495,,0.8025382228763224,0.8019213047322318,-0.7463475596642349,,-0.20917090100166438,-0.20927363926719653,0.8834252834309909,,-0.889475168665488,-0.889516542403163,-0.2352867743634781,,0.17603436687423377,0.1756524931053363
K_Ar_Q_N2_696,0.996533212177077,,0.9999569407906606,1.0,0.8098873793353338,,0.7972752053468563,0.7966362506706478,-0.7402696042761465,,-0.21796625347231247,-0.21806862556589526,0.8838398678717078,,-0.8902600172144045,-0.890303082892612,-0.23874607784825375,,0.1795859319294623,0.1792015996122258
PAr_star_727,0.8546173300556916,,0.8151550423781495,0.8098873793353338,1.0,,0.9975654126651146,0.9978509836317127,-0.9753583065808221,,0.33516298158701474,0.3350450178828937,0.7506627491297878,,-0.730373827754566,-0.73029024942438,0.131351021460582,,-0.18840615063176055,-0.18857587337388196
tau_N2_727,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_727,0.8419505040701778,,0.8025382228763224,0.7972752053468563,0.9975654126651146,,1.0,0.9999869868991289,-0.9612198725221942,,0.3265636123940515,0.3264395313939763,0.7712800451707311,,-0.7498050425101407,-0.7497129181259219,0.17665719552673598,,-0.23596858896710057,-0.23612361848976687
K_Ar_Q_N2_727,0.8415038555627936,,0.8019213047322318,0.7966362506706478,0.9978509836317127,,0.9999869868991289,1.0,-0.962542165134841,,0.3297288764641415,0.3296052438501284,0.7685358337161323,,-0.7470409451826023,-0.7469488901004595,0.1746452046664509,,-0.23376186676082816,-0.23391648177876007
PAr_star_750,-0.7934219084811672,,-0.7463475596642349,-0.7402696042761465,-0.9753583065808221,,-0.9612198725221942,-0.962542165134841,1.0,,-0.45100711416096073,-0.45091310968234316,-0.6045182057638758,,0.5825606750473309,0.5824793773339527,-0.10569128431542156,,0.1496790267189116,0.14985119754819767
tau_N2_750,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_750,-0.14253773902515765,,-0.20917090100166438,-0.21796625347231247,0.33516298158701474,,0.3265636123940515,0.3297288764641415,-0.45100711416096073,,1.0,0.9999999880605008,-0.3140665428402575,,0.3483777773775403,0.34853964902344065,0.19153179020452865,,-0.1868634860047929,-0.1864774899869832
K_Ar_Q_N2_750,-0.1426427936173172,,-0.20927363926719653,-0.21806862556589526,0.3350450178828937,,0.3264395313939763,0.3296052438501284,-0.45091310968234316,,0.9999999880605008,1.0,-0.3142049705841906,,0.34851360552434135,0.3486754615864708,0.19148015758033088,,-0.18680036566752667,-0.18641436044011284
PAr_star_764,0.8780055959710042,,0.8834252834309909,0.8838398678717078,0.7506627491297878,,0.7712800451707311,0.7685358337161323,-0.6045182057638758,,-0.3140665428402575,-0.3142049705841906,1.0,,-0.998968961457335,-0.9989593638190352,0.0973966041287097,,-0.16777977106400813,-0.16808733135839293
tau_N2_764,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_764,-0.8809590910935461,,-0.889475168665488,-0.8902600172144045,-0.730373827754566,,-0.7498050425101407,-0.7470409451826023,0.5825606750473309,,0.3483777773775403,0.34851360552434135,-0.998968961457335,,1.0,0.9999999754866417,-0.06262567806476074,,0.1326538737444104,0.13297132159983024
K_Ar_Q_N2_764,-0.8809871029521946,,-0.889516542403163,-0.890303082892612,-0.73029024942438,,-0.7497129181259219,-0.7469488901004595,0.5824793773339527,,0.34853964902344065,0.3486754615864708,-0.9989593638190352,,0.9999999754866417,1.0,-0.06246969503829749,,0.13249363335544942,0.13281115965600188
PAr_star_772,-0.1978047210398976,,-0.2352867743634781,-0.23874607784825375,0.131351021460582,,0.17665719552673598,0.1746452046664509,-0.10569128431542156,,0.19153179020452865,0.19148015758033088,0.0973966041287097,,-0.06262567806476074,-0.06246969503829749,1.0,,-0.9967596703219653,-0.9967590840841399
tau_N2_772,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_772,0.13853583302706798,,0.17603436687423377,0.1795859319294623,-0.18840615063176055,,-0.23596858896710057,-0.23376186676082816,0.1496790267189116,,-0.1868634860047929,-0.18680036566752667,-0.16777977106400813,,0.1326538737444104,0.13249363335544942,-0.9967596703219653,,1.0,0.9999997884343489
K_Ar_Q_N2_772,0.13816743886293478,,0.1756524931053363,0.1792015996122258,-0.18857587337388196,,-0.23612361848976687,-0.23391648177876007,0.14985119754819767,,-0.1864774899869832,-0.18641436044011284,-0.16808733135839293,,0.13297132159983024,0.13281115965600188,-0.9967590840841399,,0.9999997884343489,1.0
