,PAr_star_696,tau_N2_696,K_Ar_Q_Ar_696,K_Ar_Q_N2_696,PAr_star_727,tau_N2_727,K_Ar_Q_Ar_727,K_Ar_Q_N2_727,PAr_star_750,tau_N2_750,K_Ar_Q_Ar_750,K_Ar_Q_N2_750,PAr_star_764,tau_N2_764,K_Ar_Q_Ar_764,K_Ar_Q_N2_764,PAr_star_772,tau_N2_772,K_Ar_Q_Ar_772,K_Ar_Q_N2_772
PAr_star_696,2.9422369310094886e-08,0.0,2.76630893106368e-06,0.000141887132234769,-6.675329965560915e-07,0.0,-0.0007219334955167011,-0.016793981641076577,8.077051336180292e-07,0.0,0.000282930876155772,0.002709069767866654,1.3461615262379001e-06,0.0,0.00020075944378653278,0.0035187686091851657,-1.8229123544271668e-07,0.0,-1.7130165402262708e-05,-0.00040311137746934956
tau_N2_696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_696,2.76630893106368e-06,0.0,0.00043099323738259764,0.01056102271425599,3.0757280643861344e-05,0.0,-0.000144783234350901,0.867230126667166,0.00012231993221475617,0.0,0.08717638989425096,0.11705864216381756,0.00016806983913588675,0.0,0.028047651700737683,0.4259758202985467,-1.9368466832063706e-05,0.0,-0.0018355462093580226,-0.04281044761570407
K_Ar_Q_N2_696,0.000141887132234769,0.0,0.01056102271425599,0.7295107264145907,-0.0046867126213464986,0.0,-4.526684863020953,-119.4252495040007,0.003193486291109583,0.0,0.4079368482296251,15.358427949478177,0.005820040136704984,0.0,0.8191206482773162,15.431745999207909,-0.0008362630117315151,0.0,-0.07824718967377171,-1.8506490042624797
PAr_star_727,-6.675329965560915e-07,0.0,3.0757280643861344e-05,-0.0046867126213464986,0.00011924200983058143,0.0,0.1050566421817474,3.066834728417522,3.8972600371527475e-05,0.0,0.04409743252950576,-0.08665820336474327,1.994232267183705e-05,0.0,0.004658476273236164,0.04456924294090322,7.788612359494383e-06,0.0,0.0008256396160676663,0.016206614157002152
tau_N2_727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_727,-0.0007219334955167011,0.0,-0.000144783234350901,-4.526684863020953,0.1050566421817474,0.0,95.85934183752035,2692.7657352760643,0.03426277651925049,0.0,36.488180267337995,-70.97975159689346,0.004989792118028051,0.0,1.8884759093325771,7.904408227901317,0.008712722157069934,0.0,0.9085643876557432,18.270612391969312
K_Ar_Q_N2_727,-0.016793981641076577,0.0,0.867230126667166,-119.4252495040007,3.066834728417522,0.0,2692.7657352760643,78903.00479673091,1.0025498670238255,0.0,1140.752488628432,-2243.7129543612914,0.5481406366917039,0.0,126.01776172211459,1234.1470127353753,0.19514262872365884,0.0,20.728438966686664,405.6591793739354
PAr_star_750,8.077051336180292e-07,0.0,0.00012231993221475617,0.003193486291109583,3.8972600371527475e-05,0.0,0.03426277651925049,1.0025498670238255,7.568106760879005e-05,0.0,0.04645566615279684,0.07273409519038228,3.882434754153113e-05,0.0,0.0062103493948257,0.09960383026295808,-9.106972400936258e-07,0.0,-4.578363785490563e-05,-0.0026373776451538793
tau_N2_750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_750,0.000282930876155772,0.0,0.08717638989425096,0.4079368482296251,0.04409743252950576,0.0,36.488180267337995,1140.752488628432,0.04645566615279684,0.0,36.28879578752493,-3.304843039044741,0.02256606872946296,0.0,4.211154532866722,55.20168444557434,1.22230398333346e-05,0.0,0.019622435814053176,-0.3080827481457952
K_Ar_Q_N2_750,0.002709069767866654,0.0,0.11705864216381756,15.358427949478177,-0.08665820336474327,0.0,-70.97975159689346,-2243.7129543612914,0.07273409519038228,0.0,-3.304843039044741,409.1736369735823,0.11020824540730423,0.0,13.976649026042153,299.06416712264826,-0.009928091834933175,0.0,-0.8281713748094974,-22.94669176460172
PAr_star_764,1.3461615262379001e-06,0.0,0.00016806983913588675,0.005820040136704984,1.994232267183705e-05,0.0,0.004989792118028051,0.5481406366917039,3.882434754153113e-05,0.0,0.02256606872946296,0.11020824540730423,0.00011778583405499305,0.0,0.018825193258509027,0.30222155369942966,-8.447599210576081e-06,0.0,-0.0007226721718273886,-0.019204249102572492
tau_N2_764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_764,0.00020075944378653278,0.0,0.028047651700737683,0.8191206482773162,0.004658476273236164,0.0,1.8884759093325771,126.01776172211459,0.0062103493948257,0.0,4.211154532866722,13.976649026042153,0.018825193258509027,0.0,3.0555550067025923,48.093304963327675,-0.0013280807222685923,0.0,-0.1140155273492958,-3.0154338034344574
K_Ar_Q_N2_764,0.0035187686091851657,0.0,0.4259758202985467,15.431745999207909,0.04456924294090322,0.0,7.904408227901317,1234.1470127353753,0.09960383026295808,0.0,55.20168444557434,299.06416712264826,0.30222155369942966,0.0,48.093304963327675,776.3943171815387,-0.021776879348142195,0.0,-1.8612239066467249,-49.52249578637167
PAr_star_772,-1.8229123544271668e-07,0.0,-1.9368466832063706e-05,-0.0008362630117315151,7.788612359494383e-06,0.0,0.008712722157069934,0.19514262872365884,-9.106972400936258e-07,0.0,1.22230398333346e-05,-0.009928091834933175,-8.447599210576081e-06,0.0,-0.0013280807222685923,-0.021776879348142195,1.7500303524243747e-06,0.0,0.00017263109258463426,0.0037743105550959817
tau_N2_772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
