,PAr_star_696,tau_N2_696,K_Ar_Q_Ar_696,K_Ar_Q_N2_696,PAr_star_727,tau_N2_727,K_Ar_Q_Ar_727,K_Ar_Q_N2_727,PAr_star_750,tau_N2_750,K_Ar_Q_Ar_750,K_Ar_Q_N2_750,PAr_star_764,tau_N2_764,K_Ar_Q_Ar_764,K_Ar_Q_N2_764,PAr_star_772,tau_N2_772,K_Ar_Q_Ar_772,K_Ar_Q_N2_772
PAr_star_696,3.405186373506775e-10,0.0,3.546288543847324e-10,6.746733786873409e-09,2.8586243458629784e-10,0.0,6.006159353132165e-09,8.585027774372787e-08,-7.69270664074302e-14,0.0,-3.7451193233250436e-06,-4.608703666627047e-06,1.8780339807325523e-09,0.0,-3.427017926842228e-08,-4.6909312262446395e-07,-2.364701737159968e-10,0.0,3.804593190770005e-10,1.526554701523964e-08
tau_N2_696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_696,3.546288543847324e-10,0.0,3.7136468962489185e-10,7.069894877221583e-09,2.8474458414526925e-10,0.0,5.978687797825717e-09,8.543723921396858e-08,-7.556939758723431e-14,0.0,-5.73940565319332e-06,-7.061115831383038e-06,1.9733578469537776e-09,0.0,-3.613468917896035e-08,-4.94621971931661e-07,-2.93742707684258e-10,0.0,5.04862866445293e-10,2.0267064159972064e-08
K_Ar_Q_N2_696,6.746733786873409e-09,0.0,7.069894877221583e-09,1.346054693461398e-07,5.386056862528579e-09,0.0,1.1307834856466368e-07,1.6158705629212796e-06,-1.4270060360524232e-12,0.0,-0.0001138638758987123,-0.00014008222942065048,3.7587259275222826e-08,0.0,-6.885546469097588e-07,-9.425150686005305e-06,-5.674621161176728e-09,0.0,9.805716399354974e-09,3.936492747841437e-07
PAr_star_727,2.8586243458629784e-10,0.0,2.8474458414526925e-10,5.386056862528579e-09,3.285715064258369e-10,0.0,6.990305854101487e-09,9.999903066255414e-08,-9.28931469484036e-14,0.0,8.65040308725627e-06,1.0633509394760205e-05,1.5772318307739265e-09,0.0,-2.7909389901680056e-08,-3.819702362591272e-07,1.5424733815373323e-10,0.0,-5.082597146938774e-10,-2.046620394725442e-08
tau_N2_727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_727,6.006159353132165e-09,0.0,5.978687797825717e-09,1.1307834856466368e-07,6.990305854101487e-09,0.0,1.4944441582216652e-07,2.137220569128673e-06,-1.95239247967439e-12,0.0,0.00017975169223889692,0.0002209536076220653,3.456110821762051e-08,0.0,-6.110523150576444e-07,-8.362842385370725e-06,4.424258070011291e-09,0.0,-1.3575933557691233e-08,-5.465318751175105e-07
K_Ar_Q_N2_727,8.585027774372787e-08,0.0,8.543723921396858e-08,1.6158705629212796e-06,9.999903066255414e-08,0.0,2.137220569128673e-06,3.056541536520627e-05,-2.7960147209470343e-11,0.0,0.0025955983178823877,0.0031905662636912803,4.925099302651066e-07,0.0,-8.706623170285056e-06,-0.00011915852233645503,6.255198423751174e-08,0.0,-1.9233772734685803e-07,-7.743052334819804e-06
PAr_star_750,-7.69270664074302e-14,0.0,-7.556939758723431e-14,-1.4270060360524232e-12,-9.28931469484036e-14,0.0,-1.95239247967439e-12,-2.7960147209470343e-11,2.760635564792959e-17,0.0,-3.374063735813223e-09,-4.148163890293986e-09,-3.6817105560985045e-13,0.0,6.452617109118452e-12,8.830883690315785e-11,-3.597600949552918e-14,0.0,1.1704184318437262e-13,4.7141237385056685e-12
tau_N2_750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_750,-3.7451193233250436e-06,0.0,-5.73940565319332e-06,-0.0001138638758987123,8.65040308725627e-06,0.0,0.00017975169223889692,0.0025955983178823877,-3.374063735813223e-09,0.0,2.0273591925728134,2.4930090232992983,-5.183495704650661e-05,0.0,0.0010456972973523528,0.01431978876227264,1.7667515966981816e-05,0.0,-3.959728953961426e-05,-0.0015897468954270198
K_Ar_Q_N2_750,-4.608703666627047e-06,0.0,-7.061115831383038e-06,-0.00014008222942065048,1.0633509394760205e-05,0.0,0.0002209536076220653,0.0031905662636912803,-4.148163890293986e-09,0.0,2.4930090232992983,3.0656107518740674,-6.376865766143962e-05,0.0,0.0012863774950131965,0.017615661708468275,2.1719586645000647e-05,0.0,-4.8675664576435865e-05,-0.001954222867176281
PAr_star_764,1.8780339807325523e-09,0.0,1.9733578469537776e-09,3.7587259275222826e-08,1.5772318307739265e-09,0.0,3.456110821762051e-08,4.925099302651066e-07,-3.6817105560985045e-13,0.0,-5.183495704650661e-05,-6.376865766143962e-05,1.3436044621064822e-08,0.0,-2.441056910273719e-07,-3.3412010758399565e-06,7.313896458490551e-10,0.0,-2.8943495432190235e-09,-1.1665595711386129e-07
tau_N2_764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_Ar_Q_Ar_764,-3.427017926842228e-08,0.0,-3.613468917896035e-08,-6.885546469097588e-07,-2.7909389901680056e-08,0.0,-6.110523150576444e-07,-8.706623170285056e-06,6.452617109118452e-12,0.0,0.0010456972973523528,0.0012863774950131965,-2.441056910273719e-07,0.0,4.444064795123063e-06,6.082880045609357e-05,-8.552870700500205e-09,0.0,4.161843932536119e-08,1.6783572029779068e-06
