,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,1.0,-0.9999999999999749,,0.06681071222964059,0.2517156229858526,0.35853142245973807,0.9997340546672824,0.8102875525286736,-0.9991546321592405,0.9995222523760873,0.4185949253879759,-0.039016236450011996,
P_N2,-0.9999999999999749,1.0,,-0.0668104885680814,-0.2517156718137049,-0.3585313954996593,-0.999734054001164,-0.8102875356039804,0.9991546305562278,-0.9995222535811594,-0.4185949607994233,0.03901643586624253,
tau_N2,,,,,,,,,,,,,
K_N2_Q_N2,0.06681071222964058,-0.0668104885680814,,1.0,-0.19700927817773534,0.1445308496975595,0.06977200055876841,0.12983035623286102,-0.07387697475891725,0.06142404471020505,-0.12938122993639883,0.8882659748145592,
K_N2_Q_Ar,0.2517156229858526,-0.2517156718137049,,-0.1970092781777353,1.0,0.1778193562265216,0.2538118380570403,0.25893638616788783,-0.2524552183164005,0.25087902372882376,0.08432327303333828,-0.2942012555891555,
K_ArMeta_Q_N2c,0.358531422459738,-0.35853139549965923,,0.14453084969755953,0.1778193562265216,1.0,0.3799641302281214,0.837585229092737,-0.34084282519444264,0.3714308518414577,0.534149752353374,-0.05590575858108074,
K_ArMeta_Q_N2b,0.9997340546672822,-0.999734054001164,,0.06977200055876841,0.2538118380570403,0.3799641302281213,1.0,0.8235866854666261,-0.9984594295929482,0.9995793259518484,0.42797146544887377,-0.04004096774247265,
K_ArMeta_Q_2Ar,0.8102875525286737,-0.8102875356039805,,0.12983035623286102,0.25893638616788783,0.837585229092737,0.8235866854666262,1.0,-0.7986884885012255,0.8181058237465699,0.5802894998676914,-0.05792870205585342,
K_ArRes_Q_N2c,-0.9991546321592403,0.9991546305562276,,-0.07387697475891725,-0.25245521831640044,-0.34084282519444264,-0.9984594295929481,-0.7986884885012253,1.0,-0.9974066895994274,-0.3809061868451547,0.020634354239086713,
K_ArRes_Q_N2b,0.9995222523760873,-0.9995222535811596,,0.06142404471020505,0.25087902372882376,0.3714308518414577,0.9995793259518484,0.8181058237465698,-0.9974066895994275,1.0,0.44646420494248507,-0.05279239812600179,
K_ArRes_Q_2Ar,0.4185949253879759,-0.4185949607994233,,-0.12938122993639886,0.08432327303333827,0.534149752353374,0.42797146544887377,0.5802894998676913,-0.3809061868451547,0.44646420494248507,1.0,-0.4216810471497319,
P_Ar_dbleStar,-0.039016236450011996,0.03901643586624253,,0.8882659748145593,-0.2942012555891555,-0.05590575858108074,-0.040040967742472656,-0.05792870205585342,0.02063435423908672,-0.05279239812600179,-0.421681047149732,1.0,
frac_Ar_dbleStar,,,,,,,,,,,,,
