,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,11740105570.153547,-105299215339.19635,,871.2839500545124,423.1910334426533,14873333760.06395,146070350088.03784,3156483981.0977273,-88466813985.90874,91365571555.33601,1543524.0468769744,-3502.5736543816906,0.0
P_N2,-105299215339.19635,944448470654.2831,,-7814.682624263411,-3795.6785126657196,-133401636885.48369,-1310132445573.7258,-28311096766.939293,793475496081.8743,-819474998749.5425,-13844157.92394566,31415.299676603347,0.0
tau_N2,,,,,,,,,,,,,
K_N2_Q_N2,871.2839500545125,-7814.682624263411,,0.009594342173940928,0.0005614293833355843,33845.911087632034,11653.560953283055,892.3511812203851,-6704.904396573489,6678.367315580102,-0.01412996794710182,0.020189628991036056,0.0
K_N2_Q_Ar,423.1910334426533,-3795.6785126657196,,0.0005614293833355843,0.0001577038884484387,4946.027162758593,5374.846083509214,202.4164643948204,-3262.036122668131,3239.73788996379,-0.011872983290790964,0.0011178388904475893,0.0
K_ArMeta_Q_N2c,14873333760.06396,-133401636885.48375,,33845.911087632034,4946.027162758593,3496700190314.131,271414931143.93338,73901599235.90771,-71980701251.09315,145193156273.35318,38983956.55004797,-26046.501150290344,0.0
K_ArMeta_Q_N2b,146070350088.03787,-1310132445573.7258,,11653.560953283059,5374.846083509214,271414931143.93353,1819551241659.4534,41008762112.627014,-1099708108443.606,1137501243451.151,20124004.051816475,-44115.57738839048,0.0
K_ArMeta_Q_2Ar,3156483981.0977273,-28311096766.939293,,892.3511812203851,202.4164643948204,73901599235.90771,41008762112.62701,2253662388.706759,-22979571534.74182,25156652777.681488,1159246.4154288445,-1376.0454337724238,0.0
K_ArRes_Q_N2c,-88466813985.90874,793475496081.8743,,-6704.904396573487,-3262.036122668131,-71980701251.09308,-1099708108443.6057,-22979571534.74182,668035230556.851,-687451935727.8066,-10338972.458495151,23320.39077312341,0.0
K_ArRes_Q_N2b,91365571555.33601,-819474998749.5425,,6678.367315580102,3239.73788996379,145193156273.35318,1137501243451.151,25156652777.68149,-687451935727.8066,711793056329.0896,12961100.38279355,-29514.58771296451,0.0
K_ArRes_Q_2Ar,1543524.0468769744,-13844157.92394566,,-0.014129967947101883,-0.011872983290790964,38983956.55004797,20124004.051816475,1159246.4154288445,-10338972.458495151,12961100.382793548,1396.2174696534767,-3.2982619292513564,0.0
P_Ar_dbleStar,-3502.573654381691,31415.299676603347,,0.020189628991036056,0.0011178388904475895,-26046.501150290344,-44115.57738839048,-1376.0454337724238,23320.390773123414,-29514.58771296451,-3.298261929251357,0.05784972363244643,0.0
frac_Ar_dbleStar,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
