,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,1.0,-0.48530785223395595,,0.35632093286637745,0.32725346149141565,-0.4148642152822695,0.03191239202027868,0.1115409352506266,-0.7272597767426869,-0.00038302656078970684,0.1458262177344189,-0.5546868014429212,-0.24056206004995853
P_N2,-0.48530785223395595,1.0,,0.6262131362031913,-0.1512631013011964,-0.10001578253229028,-0.00395286995490992,0.07422311262202932,0.4629247618454887,0.0717283642147051,-0.04782661943646301,0.8976237438045024,0.44991027810547046
tau_N2,,,,,,,,,,,,,
K_N2_Q_N2,0.35632093286637745,0.6262131362031913,,1.0,0.13781927768894223,-0.47664609053238344,0.06325135402232239,0.14312707318198817,-0.15231953401065046,0.04522289001617588,0.09324850627637513,0.438797675544398,0.2716647581767279
K_N2_Q_Ar,0.32725346149141565,-0.1512631013011964,,0.13781927768894223,1.0,0.09093616252592192,0.14727640377632695,-0.1441408074369345,0.16090891036760893,-0.13845320559224825,0.025048310524289043,-0.16478739849698384,-0.1175156341645709
K_ArMeta_Q_N2c,-0.4148642152822695,-0.10001578253229028,,-0.47664609053238344,0.09093616252592192,1.0,-0.3129992378194376,-0.08568244356934136,0.18434158122969627,0.3007329881220618,-0.32148575264786633,-0.05372480596009356,0.023603797326332998
K_ArMeta_Q_N2b,0.03191239202027868,-0.00395286995490992,,0.06325135402232239,0.14727640377632695,-0.3129992378194376,1.0,-0.5284172565282786,0.08284280618405732,-0.6047038921062872,0.479806442891116,-0.03860856780165083,-0.16859571109105717
K_ArMeta_Q_2Ar,0.1115409352506266,0.07422311262202932,,0.14312707318198817,-0.1441408074369345,-0.08568244356934136,-0.5284172565282786,1.0,-0.05114769506620544,0.29049726368609724,-0.24821067795685478,0.036270807993732154,0.1327256840096092
K_ArRes_Q_N2c,-0.7272597767426869,0.4629247618454887,,-0.15231953401065046,0.16090891036760893,0.18434158122969627,0.08284280618405732,-0.05114769506620544,1.0,-0.14107274604844788,-2.7773803463789593e-05,0.4504617841147947,0.18316925375349274
K_ArRes_Q_N2b,-0.00038302656078970684,0.0717283642147051,,0.04522289001617588,-0.13845320559224825,0.3007329881220618,-0.6047038921062872,0.29049726368609724,-0.14107274604844788,1.0,-0.6545714425483172,0.16337962071292436,0.17683404266734634
K_ArRes_Q_2Ar,0.1458262177344189,-0.04782661943646301,,0.09324850627637513,0.025048310524289043,-0.32148575264786633,0.479806442891116,-0.24821067795685478,-2.7773803463789593e-05,-0.6545714425483172,1.0,-0.17263769948245358,-0.14730974452892726
P_Ar_dbleStar,-0.5546868014429212,0.8976237438045024,,0.438797675544398,-0.16478739849698384,-0.05372480596009356,-0.03860856780165083,0.036270807993732154,0.4504617841147947,0.16337962071292436,-0.17263769948245358,1.0,0.44826302874515006
frac_Ar_dbleStar,-0.24056206004995853,0.44991027810547046,,0.2716647581767279,-0.1175156341645709,0.023603797326332998,-0.16859571109105717,0.1327256840096092,0.18316925375349274,0.17683404266734634,-0.14730974452892726,0.44826302874515006,1.0
