,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,1.0,0.9983018620088435,,0.7090673259690046,0.08157139009292634,0.9165963468257332,-0.033127752250100374,0.11022686259671867,0.9945360557303694,0.07245159151393987,-0.09898688672552547,-0.11314247351106889,0.009090910130158718
P_N2,0.9983018620088435,1.0,,0.6993877084145002,0.07388287579743341,0.9259520328743852,-0.023546547781669976,0.09840900429043961,0.9978532016215504,0.07374273054659784,-0.08942493888147075,-0.11283211571550847,0.005467698401939629
tau_N2,,,,,,,,,,,,,
K_N2_Q_N2,0.7090673259690046,0.6993877084145002,,1.0,0.007637792972456247,0.38920479548056347,-0.10808595380586443,-0.030076317538043084,0.6600620880632007,0.032120424915045964,-0.06363775399280495,-0.06935903052695402,-8.010053728533811e-05
K_N2_Q_Ar,0.08157139009292634,0.07388287579743341,,0.007637792972456247,1.0,0.10889016334063799,-0.011314642085618332,0.1918842725213523,0.058183073670570164,0.22200628306125325,-0.1263661699047169,-0.04536940242619719,0.056634605916909934
K_ArMeta_Q_N2c,0.9165963468257332,0.9259520328743852,,0.38920479548056347,0.10889016334063799,1.0,0.047902993947390726,0.17801101478006157,0.942510351117713,0.08585878437126408,-0.08466718013271704,-0.11696569282716486,0.009318429470019441
K_ArMeta_Q_N2b,-0.033127752250100374,-0.023546547781669976,,-0.10808595380586443,-0.011314642085618332,0.047902993947390726,1.0,-0.00974172797269959,-0.012152890459978317,0.009882657541842704,0.03940562964214227,-0.06118931480787465,0.0020756437344870474
K_ArMeta_Q_2Ar,0.11022686259671867,0.09840900429043961,,-0.030076317538043084,0.1918842725213523,0.17801101478006157,-0.00974172797269959,1.0,0.07904438585287828,0.15841881703054334,-0.31531832760041534,-0.05240271451612374,-0.013148823217759719
K_ArRes_Q_N2c,0.9945360557303694,0.9978532016215504,,0.6600620880632007,0.058183073670570164,0.942510351117713,-0.012152890459978317,0.07904438585287828,1.0,0.07478554345954155,-0.08047081673046792,-0.1143917599432497,0.0035858502081765904
K_ArRes_Q_N2b,0.07245159151393987,0.07374273054659784,,0.032120424915045964,0.22200628306125325,0.08585878437126408,0.009882657541842704,0.15841881703054334,0.07478554345954155,1.0,0.011814180947677678,-0.17111162521449935,-0.048162178477406656
K_ArRes_Q_2Ar,-0.09898688672552547,-0.08942493888147075,,-0.06363775399280495,-0.1263661699047169,-0.08466718013271704,0.03940562964214227,-0.31531832760041534,-0.08047081673046792,0.011814180947677678,1.0,-0.0758332774234914,0.0555795368670211
P_Ar_dbleStar,-0.11314247351106889,-0.11283211571550847,,-0.06935903052695402,-0.04536940242619719,-0.11696569282716486,-0.06118931480787465,-0.05240271451612374,-0.1143917599432497,-0.17111162521449935,-0.0758332774234914,1.0,0.06055862075835613
frac_Ar_dbleStar,0.009090910130158718,0.005467698401939629,,-8.010053728533811e-05,0.056634605916909934,0.009318429470019441,0.0020756437344870474,-0.013148823217759719,0.0035858502081765904,-0.048162178477406656,0.0555795368670211,0.06055862075835613,1.0
