,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,8.489293374639367e-06,-0.00030487223395005706,0.0,7.440964869968292e-05,6.399488866447686e-06,-0.0002269964290166719,9.904964968256856e-06,2.0445068229464655e-07,-0.0004447974774395313,-2.3799055007625595e-06,2.0138237228092522e-07,-4.659656319120798e-05,-0.0008938870794354443
P_N2,-0.00030487223395005706,0.03287343807120722,0.0,0.003226282768129026,-0.00026109984622419823,-0.005464726952207744,-0.0004771608351497842,5.712372685951787e-05,0.020328564648005875,0.000272496062078256,-8.789283836624267e-06,0.0039290644222138025,0.04704770963181174
tau_N2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_N2_Q_N2,7.440964869968292e-05,0.003226282768129026,0.0,0.00233806336929592,6.445009985108901e-05,-0.004792927693877681,7.59759886812953e-05,1.5183694674649927e-05,-0.0029117817952935706,3.355378459105532e-05,1.2267866027970147e-06,0.00017441225032845768,-0.002230455734757088
K_N2_Q_Ar,6.399488866447686e-06,-0.00026109984622419823,0.0,6.445009985108901e-05,2.741305959915025e-05,8.496704222194151e-05,-1.8315553344679606e-05,-8.931139541295761e-07,0.00033708861489395073,-6.5963801780228275e-06,5.8950891052641474e-08,-3.510882637748784e-05,-0.000408644186894197
K_ArMeta_Q_N2c,-0.0002269964290166719,-0.005464726952207744,0.0,-0.004792927693877681,8.496704222194151e-05,0.033896228554572125,0.00020370820318974122,-0.0001363552267638509,0.009823465321914662,0.0005223046387183625,-1.2720348482868691e-05,-0.00019569268579140207,0.043328356795715776
K_ArMeta_Q_N2b,9.904964968256856e-06,-0.0004771608351497842,0.0,7.59759886812953e-05,-1.8315553344679606e-05,0.00020370820318974122,0.00033500471275637364,-1.9763705450769403e-06,-0.001032712712824536,-1.6231737586066264e-05,1.5765892079556922e-06,-9.03681025791586e-05,-0.003913379837774536
K_ArMeta_Q_2Ar,2.0445068229464655e-07,5.712372685951787e-05,0.0,1.5183694674649927e-05,-8.931139541295761e-07,-0.0001363552267638509,-1.9763705450769403e-06,9.642427777304228e-07,1.5037896435917791e-05,-5.694158481167121e-07,1.1660222449611649e-08,6.023215727587579e-06,-6.979848201653172e-05
K_ArRes_Q_N2c,-0.0004447974774395313,0.020328564648005875,0.0,-0.0029117817952935706,0.00033708861489395073,0.009823465321914662,-0.001032712712824536,1.5037896435917791e-05,0.056127997330767454,-2.10242248283354e-05,-9.669431164145523e-06,0.003161001498503375,0.0516825181634636
K_ArRes_Q_N2b,-2.3799055007625595e-06,0.000272496062078256,0.0,3.355378459105532e-05,-6.5963801780228275e-06,0.0005223046387183625,-1.6231737586066264e-05,-5.694158481167121e-07,-2.10242248283354e-05,5.58981164032128e-05,-8.237654576474474e-07,4.38745397675703e-05,0.0019000523394783597
K_ArRes_Q_2Ar,2.0138237228092522e-07,-8.789283836624267e-06,0.0,1.2267866027970147e-06,5.8950891052641474e-08,-1.2720348482868691e-05,1.5765892079556922e-06,1.1660222449611649e-08,-9.669431164145523e-06,-8.237654576474474e-07,2.0853220889206336e-08,-1.4879158926623872e-06,-5.171040460974513e-05
P_Ar_dbleStar,-4.659656319120798e-05,0.0039290644222138025,0.0,0.00017441225032845768,-3.510882637748784e-05,-0.00019569268579140207,-9.03681025791586e-05,6.023215727587579e-06,0.003161001498503375,4.38745397675703e-05,-1.4879158926623872e-06,0.0005019910345502772,0.0061758147470532265
frac_Ar_dbleStar,-0.0008938870794354443,0.04704770963181174,0.0,-0.002230455734757088,-0.000408644186894197,0.043328356795715776,-0.003913379837774536,-6.979848201653172e-05,0.0516825181634636,0.0019000523394783597,-5.171040460974513e-05,0.0061758147470532265,0.26161338682987567
