,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,1.9119443253039217e-07,2.7009251468689285e-06,0.0,4.380538997574154e-08,2.9606176667541554e-12,1.812330498586405e-06,-1.2855019711357337e-11,1.317271607801756e-10,1.5497349916952247e-06,4.221335851778882e-12,-1.0979250893886457e-12,-1.0973910549527378e-15,1.8273045275075354e-06
P_N2,2.7009251468689285e-06,3.8284774438066994e-05,0.0,6.114113527098622e-07,3.794579707938876e-11,2.5907361909687526e-05,-1.2929551071492134e-10,1.6641717604203925e-09,2.200285248794339e-05,6.079902523659448e-11,-1.4035539854166531e-11,-1.5486165777031565e-14,1.555190311981331e-05
tau_N2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K_N2_Q_N2,4.380538997574154e-08,6.114113527098622e-07,0.0,1.9962039627663652e-08,8.957301248004095e-14,2.4865791942634225e-07,-1.3552358218930247e-11,-1.1613881278831898e-11,3.3234299654573987e-07,6.047113136737168e-13,-2.2807344549692026e-13,-2.1737199776374882e-16,-5.202401077205006e-09
K_N2_Q_Ar,2.9606176667541554e-12,3.794579707938876e-11,0.0,8.957301248004095e-14,6.8899121492411446e-15,4.087117727732553e-11,-8.334716234289593e-16,4.353078373438593e-14,1.7210868566460826e-11,2.455480350087417e-15,-2.66069496629061e-16,-8.353491348838637e-20,2.1609995174556783e-09
K_ArMeta_Q_N2c,1.812330498586405e-06,2.5907361909687526e-05,0.0,2.4865791942634225e-07,4.087117727732553e-11,2.0447645738096118e-05,1.9223279051385554e-10,2.1999803220931767e-09,1.5188226684806133e-05,5.173336723961329e-11,-9.711675778874165e-12,-1.1732168174618494e-14,1.937003134439879e-05
K_ArMeta_Q_N2b,-1.2855019711357337e-11,-1.2929551071492134e-10,0.0,-1.3552358218930247e-11,-8.334716234289593e-16,1.9223279051385554e-10,7.875648284728193e-13,-2.3628133655497795e-14,-3.843456990902151e-11,1.1686413700206042e-15,8.870719589946486e-16,-1.2045279239410547e-18,8.467630807123359e-10
K_ArMeta_Q_2Ar,1.317271607801756e-10,1.6641717604203925e-09,0.0,-1.1613881278831898e-11,4.353078373438593e-14,2.1999803220931767e-09,-2.3628133655497795e-14,7.469654737860018e-12,7.69875642191438e-10,5.769276920212881e-14,-2.1860339478104812e-14,-3.176889978129252e-18,-1.6519735730095354e-08
K_ArRes_Q_N2c,1.5497349916952247e-06,2.200285248794339e-05,0.0,3.3234299654573987e-07,1.7210868566460826e-11,1.5188226684806133e-05,-3.843456990902151e-11,7.69875642191438e-10,1.269984941369104e-05,3.551250396189669e-11,-7.274365498147902e-12,-9.042575706226072e-15,5.8743169387548386e-06
K_ArRes_Q_N2b,4.221335851778882e-12,6.079902523659448e-11,0.0,6.047113136737168e-13,2.455480350087417e-15,5.173336723961329e-11,1.1686413700206042e-15,5.769276920212881e-14,3.551250396189669e-11,1.7755328425609732e-14,3.993239838488486e-17,-5.0575711056692815e-19,-2.950097861604836e-09
K_ArRes_Q_2Ar,-1.0979250893886457e-12,-1.4035539854166531e-11,0.0,-2.2807344549692026e-13,-2.66069496629061e-16,-9.711675778874165e-12,8.870719589946486e-16,-2.1860339478104812e-14,-7.274365498147902e-12,3.993239838488486e-17,6.434500615201339e-16,-4.266928597104861e-20,6.48094434333861e-10
P_Ar_dbleStar,-1.0973910549527378e-15,-1.5486165777031565e-14,0.0,-2.1737199776374882e-16,-8.353491348838637e-20,-1.1732168174618494e-14,-1.2045279239410547e-18,-3.176889978129252e-18,-9.042575706226072e-15,-5.0575711056692815e-19,-4.266928597104861e-20,4.92035289302832e-22,6.175043855270967e-13
frac_Ar_dbleStar,1.8273045275075354e-06,1.555190311981331e-05,0.0,-5.202401077205006e-09,2.1609995174556783e-09,1.937003134439879e-05,8.467630807123359e-10,-1.6519735730095354e-08,5.8743169387548386e-06,-2.950097861604836e-09,6.48094434333861e-10,6.175043855270967e-13,0.21131576085408252
