toy_id,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
0,0.06984412671720107,0.5797709831990115,37.80718336483932,0.19350938356553213,0.034779256208484766,0.7862932281062516,0.01959396000006071,0.01585939939442538,0.49770990383655556,0.36738674252546544,0.0004620000000238197,5.031463456333236e-12,0.9983983413483886
1,0.07414026187692487,0.5760072644787049,37.80718336483932,0.19337238014822367,0.03477927899578527,0.7841264283685871,0.019593960000000004,0.01585999997244679,0.49562749257525146,0.3673867499894257,0.00046200000000671263,5.534527298967533e-13,0.9999997699715312
2,0.06781240080306972,0.5817142122912313,37.80718336483932,0.1935791309491473,0.03477927522302706,0.7874606640069388,0.019593960000022306,0.015859845267528268,0.49878289243947466,0.3673867489771138,0.0004620000000020702,5.020807373249922e-13,0.019467327689766556
3,0.07630555940931553,0.5742728527405954,37.80718336483932,0.1933102470621953,0.03477927888507012,0.7830918257611751,0.01959396000000045,0.01585996760073229,0.4946695916031075,0.36738674940193117,0.0004620000000000006,2.1406480267698953e-12,0.9999888662715131
4,0.05821468735737837,0.5927402053709555,37.80718336483932,0.19396979189912586,0.03477927899999999,0.7940080572859426,0.0195939600346739,0.015859999994022236,0.5049093304021693,0.36738674999999993,0.0004620000015359073,4.874390155035136e-12,0.9999999993379078
5,0.07414032461918713,0.5760072162339864,37.80718336483932,0.19337237727193682,0.03477927899575684,0.7841264424648705,0.019593960000000004,0.015859999972436388,0.495627472011626,0.3673867499894008,0.00046200000000790563,5.529006507681511e-13,0.0062358586923091375
6,0.05497528866595382,0.5973370308135919,37.80718336483932,0.1941385990020397,0.03477927899969583,0.7966212866423696,0.01959396154464283,0.01585997796780021,0.5074587259180557,0.36738674989144743,0.0004620000000067304,1.0735121842683836e-11,0.0022591312325814794
7,0.06213305123312769,0.5879048377831595,37.80718336483932,0.19380356567551904,0.034779278998989006,0.7916238066389834,0.019717813264384505,0.01585998135909688,0.5021895874175797,0.36738674999645926,0.00046200000000910427,6.146072485788935e-13,0.0002987392370542921
8,0.05158809693386076,0.6027585876611401,37.80718336483932,0.19432601262316088,0.034779278999762284,0.7998654643645451,0.019593960000871668,0.015859960860930687,0.5104977924074787,0.36738674999970894,0.0004620000002873291,6.211621115189559e-13,0.0017777029035500602
9,0.058904670863044406,0.5918732884946986,37.80718336483932,0.19373636334713462,0.03477927899969332,0.7980035792220087,0.01960065077937295,0.015859897729631853,0.504650978158408,0.36738674998658744,0.00046200005969226763,2.7202668391899584e-14,0.9993132594918226
