name,tex_name,value,fixed,description
loschmidt_m3,$N_0$ [m$^{-3}$],2.6868e+25,True,Loschmidt number used by the TFM to convert literature collision coefficients to pressure-normalised rates.
W_Ar_dbleStar_to_1s,$\mathcal{W}^{0}_{\mathrm{Ar}^{**}\to 1s}$,1.0,True,Effective feed-down weight from Ar** into the Ar(4s) precursor family.
tau_Ar_dbleStar_ns,$\tau_{\mathrm{Ar}^{**}}$ [ns],30.0,True,Effective lifetime of the upper argon cascade from the main second-continuum parameter table.
k_Ar_dbleStar_Q_Ar_m3_s,$k_{\mathrm{Ar}^{**}Q(\mathrm{Ar})}$ [m$^3$ s$^{-1}$],1.63e-17,True,Mean Ar(4p) bimolecular coefficient from the main TFM table; also used for the effective 4s+Ar cascade step because no separate value is tabulated.
k_Ar_dbleStar_Q_CF4_m3_s,$k_{\mathrm{Ar}^{**}Q(\mathrm{CF}_4)}$ [m$^3$ s$^{-1}$],1.8e-16,True,Upper-state argon quenching coefficient by CF4 from the main TFM table.
k_Ar_dbleStar_Q_N2_m3_s,$k_{\mathrm{Ar}^{**}Q(\mathrm{N}_2)}$ [m$^3$ s$^{-1}$],1.58e-16,True,Upper-state argon quenching coefficient by N2 from the main TFM table.
k_Ar_4s_Q_CF4_m3_s,$k_{\mathrm{Ar}(4s)Q(\mathrm{CF}_4)}$ [m$^3$ s$^{-1}$],3e-17,True,Ar(4s) quenching coefficient by CF4 from the main TFM table.
k_Ar_4s_Q_N2_m3_s,$k_{\mathrm{Ar}(4s)Q(\mathrm{N}_2)}$ [m$^3$ s$^{-1}$],3.6e-17,True,Ar(4s) quenching coefficient by N2 from the main TFM table.
k_Ar_4s_Q_2Ar_m6_s,"$k_{\mathrm{Ar}^*(1s_4,1s_5)Q(2\mathrm{Ar})}$ [m$^6$ s$^{-1}$]",1e-44,True,Ternary excimer-formation coefficient from the main TFM table.
f_1Sigma,$f_{1\Sigma}$,0.1,True,Singlet excimer formation fraction used in the TFM model.
f_3Sigma,$f_{3\Sigma}$,0.9,True,Triplet excimer formation fraction used in the TFM model.
k_Ar2star_Q_CF4_m3_s,$k_{\mathrm{Ar}_2^*Q(\mathrm{CF}_4)}$ [m$^3$ s$^{-1}$],3e-17,True,Ar2* quenching coefficient by CF4 from the main TFM table.
k_Ar2star_Q_N2_m3_s,$k_{\mathrm{Ar}_2^*Q(\mathrm{N}_2)}$ [m$^3$ s$^{-1}$],2.5e-17,True,Ar2* quenching coefficient by N2 from the main TFM table.
tau_S_ns,$\tau_{\mathrm{Ar}_2^*(^1\Sigma)}$ [ns],11.3,True,Singlet excimer lifetime; nominal value selected from the main TFM table.
tau_T_ns,$\tau_{\mathrm{Ar}_2^*(^3\Sigma)}$ [ns],3140.0,True,Triplet excimer lifetime; nominal value selected from the main TFM table.
triplet_weight,$w_T$,1.0,True,Nominal secondary output includes singlet plus triplet; CF4 quenching suppresses the slow branch dynamically.
scale_Ar2nd,$S_{2nd}$,1.0,True,Optional global sensitivity scale; the nominal model uses unity.
anchor_Ar2nd_to_pure_argon,$A_{\mathrm{pure}}$,0.0,True,Disabled in the nominal TFM model so the absolute yield follows directly from Degrad populations and literature kinetics.
Y_Ar2nd_pure_ph_MeV,$Y_{\mathrm{Ar2nd}}^{\mathrm{pure}}$ [ph/MeV],14700.0,True,Legacy optional anchor value retained only for explicit sensitivity studies.
reference_pressure_bar,$p_{\mathrm{ref}}$ [bar],1.1,True,Pressure used only if the optional legacy anchor is enabled.
reference_additive_fraction,$f_{\mathrm{ref}}$,1e-05,True,Small additive fraction used only if the optional legacy anchor is enabled.
pure_argon_fraction_threshold,$f_{\mathrm{pure}}^{\mathrm{thr}}$,0.0,True,Deprecated numerical threshold; the kinetic model now uses the additive fraction continuously down to pure argon.
lambda_Ar2nd_nm,$\lambda_{2nd}$ [nm],128.0,True,Central wavelength of the Ar second continuum.
fwhm_Ar2nd_nm,$\mathrm{FWHM}_{2nd}$ [nm],10.0,True,Gaussian FWHM used to draw the Ar second-continuum band.
Br_CF4_D_to_X,$\mathcal{B}r_{D\to X}$,0.1,True,Effective CF4+*(D)-to-CF4+(X) branching ratio relative to the ionic UV channel.
lambda_CF4_D_to_X_nm,$\lambda_{D\to X}$ [nm],155.0,True,Central wavelength of the CF4 ionic VUV branch.
fwhm_CF4_D_to_X_nm,$\mathrm{FWHM}_{D\to X}$ [nm],10.0,True,Gaussian FWHM used to draw the CF4 ionic VUV branch.
