concentration,Ar_meta,ErrAr_meta,Ar_res,ErrAr_res,Ar_dbleStar,ErrAr_dbleStar,Ar_2nd_precursor,ErrAr_2nd_precursor
0.001,23.4496,0.04842576896,33.4769,0.057858126270000004,198.1232,0.1407573300673097,255.0497,0.1597036124905136
0.002,23.1561,0.04812069140999999,33.1143,0.057546030539999994,197.7733,0.14063021279660243,254.0437,0.1593863335543695
0.005,22.4199,0.047348586809999996,32.191,0.0567366375,196.5554,0.14019835512631598,251.16629999999998,0.15848190271395382
0.01,21.46,0.046325701999999996,30.9285,0.055612535850000006,194.2345,0.13936668673339572,246.623,0.1570410716357501
0.02,20.0212,0.04474537988,29.2226,0.05405888773999999,190.412,0.1379890802985616,239.6558,0.15480794115914825
0.05,17.3463,0.04164846629999999,26.0579,0.051047426099999994,180.25069999999997,0.13425758048296754,223.65489999999997,0.14955110288365547
0.1,14.6029,0.03821432901,22.5874,0.04752614834,165.08429999999998,0.12848560661379613,202.2746,0.14222384056351237
0.2,11.387,0.0337442358,18.222,0.042686857200000004,139.45759999999999,0.11809227018008568,169.0666,0.13002548020917112
0.5,6.1896,0.024879097200000002,10.0284,0.03166768152,80.8394,0.08991072305996799,97.0574,0.0985177631267857
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
