concentration,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
0.001,0.754,0.00868328287877451,255.04970000000003,0.1597036124905136,0.0003,0.00017320509000000003,20.0895,0.04482168345
0.002,1.4861000000000002,0.012190529029678257,254.0437,0.1593863335543695,0.0003,0.00017320509000000003,20.0003,0.04472267082999999
0.005,3.7376,0.019332923335513667,251.16630000000004,0.1584819027139538,0.0011,0.00033166243,19.8696,0.044575460639999995
0.01,7.3539,0.02711809612970685,246.62300000000002,0.15704107163575012,0.0017,0.00041231051999999997,19.686,0.0443683068
0.02,14.536700000000002,0.0381272136254452,239.6558,0.15480794115914828,0.0025,0.0005,19.2384,0.04386162816
0.05,35.2066,0.05933589167359859,223.65489999999997,0.14955110288365547,0.0058,0.0007615771199999999,17.8885,0.042295569400000003
0.1,66.7791,0.08172172024024964,202.27459999999996,0.14222384056351234,0.011,0.0010488093,16.0096,0.04001279328
0.2,121.47019999999999,0.1102121645635464,169.06660000000002,0.13002548020917112,0.0232,0.0015231542399999998,12.6742,0.03560056038
0.5,242.2921,0.15566735007764695,97.05739999999999,0.0985177631267857,0.0472,0.00217255464,6.0352,0.024566885119999996
1.0,378.9919,0.19467518356964914,0.0,0.0,0.0813,0.00285131295,0.0,0.0
