concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
5.0,37.8,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,25.91880053669168,0.30331506771243344,1178.840433612801,2.0455685936823307,41.231551223529245,0.38256159773134124,0.0,0.0
10.0,38.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,55.00192158159572,0.21139892475366637,979.0137289489314,0.891883714180592,74.48667771135975,0.24601021740607906,0.010562604965886848,0.002929539523613507
20.0,10.0,0.57,0.05,180212.52,180055.68,7.23866466103465,0.006337774008789344,22.157256332689872,0.011088313880669238,4.316808843247961,0.004894281323568918,0.07004507788914999,0.0006234423947655403
20.0,29.0,0.57,1.0,15804.8,18574.8,6.149397651346427,0.019725216860853153,132.5883275966795,0.09159212690436347,20.066688600931364,0.03563225874811787,0.0,0.0
67.0,50.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,531.9744423662652,0.6499989949381377,414.3831183013466,0.5736781754231929,596.2386279251697,0.6881408752821914,0.010324712198647463,0.002863559941279382
100.0,10.0,0.57,0.025,34679.38,34468.1,44.0711742828159,0.03564853188483437,0.0,0.0,17.05892665901178,0.02217890949785579,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,79.09606714061366,0.11557047817774985,0.0,0.0,145.62471504078084,0.15681478594270046,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,1001.4728994486608,0.8526388694047853,0.0,0.0,1011.1995528309214,0.8567694270249462,0.0,0.0
