concentration,electric_field,gap_mm,pressure,ne,ni,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
5.0,37.8,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,25.91880053669168,0.30331506771243344,1178.840433612801,2.0455685936823307,55.1528790384984,0.442456550799977,0.0,0.0
10.0,38.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,55.00192158159572,0.21139892475366637,979.0137289489314,0.891883714180592,100.12943253623583,0.2852296836072071,0.010562604965886848,0.002929539523613507
20.0,10.0,0.57,0.05,180212.52,180055.68,7.23866466103465,0.006337774008789344,22.157256332689872,0.011088313880669238,5.9491649081872895,0.005745601801322988,0.07004507788914999,0.0006234423947655403
20.0,29.0,0.57,1.0,15804.8,18574.8,6.149397651346427,0.019725216860853153,132.5883275966795,0.09159212690436347,27.171745292569348,0.04146333830690589,0.0,0.0
67.0,50.7,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,531.9744423662652,0.6499989949381377,414.3831183013466,0.5736781754231929,803.3213804934418,0.7987520100668078,0.010324712198647463,0.002863559941279382
100.0,10.0,0.57,0.025,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,12.3,0.57,0.05,901686.42,902162.22,46.222531553707995,0.00715977046215707,0.0,0.0,33.68975325146851,0.006112532068497924,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,79.09606714061366,0.11557047817774985,0.0,0.0,195.36483223289824,0.1816321231929208,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,1001.4728994486608,0.8526388694047853,0.0,0.0,1364.9872418887085,0.9954279305465866,0.0,0.0
