concentration,electric_field,gap_mm,pressure,ne,ni,Ar_3rd,ErrAr_3rd
67.0,50.7,0.05,1.0,,,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,0.010324712198647463,0.002863559941279382
20.0,10.0,0.57,0.05,180212.52,180055.68,0.07004507788914999,0.0006234423947655403
20.0,29.0,0.57,1.0,15804.8,18574.8,0.0,0.0
10.0,38.7,0.05,1.0,,,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,0.010562604965886848,0.002929539523613507
5.0,37.8,0.05,1.0,,,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,0.0,0.0
100.0,10.0,0.57,0.025,,,0.0,0.0
100.0,12.3,0.57,0.05,901686.42,902162.22,0.0,0.0
100.0,43.0,0.57,1.0,5921.9,9414.9,0.0,0.0
100.0,55.9,0.05,1.0,,,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,0.0,0.0
