concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
67.0,50.7,0.05,1.0,,,0.0,0.0
67.0,88.0,0.05,1.0,1259.115,1285.616,803.3213804934418,0.7987520100668078
20.0,10.0,0.57,0.05,180212.52,180055.68,5.9491649081872895,0.005745601801322988
20.0,29.0,0.57,1.0,15804.8,18574.8,27.171745292569348,0.04146333830690589
10.0,38.7,0.05,1.0,,,0.0,0.0
10.0,78.0,0.05,1.0,1230.757,1234.643,100.12943253623583,0.2852296836072071
5.0,37.8,0.05,1.0,,,0.0,0.0
5.0,65.0,0.05,1.0,281.726,281.598,55.1528790384984,0.442456550799977
100.0,10.0,0.57,0.025,34679.38,34468.1,24.121826860803164,0.026373601250372716
100.0,12.3,0.57,0.05,901686.42,902162.22,33.68975325146851,0.006112532068497924
100.0,43.0,0.57,1.0,5921.9,9414.9,195.36483223289824,0.1816321231929208
100.0,55.9,0.05,1.0,,,0.0,0.0
100.0,95.0,0.05,1.0,1377.555,1415.164,1364.9872418887085,0.9954279305465866
