file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,CF4,ErrCF4,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_99.0_cf4_1.0_65.8kVcm_0.050bar_0.1059mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,65.8,0.1059,0.05,100.0,112.09,114.66755593383154,106.23,110.21419503802034,100,0.0,0.0,297.0,17.233687939614086,1065.0,32.63433774416144,1948.0,44.13615298142782,43.0,6.557438524302,469.0,21.656407827707714,1738.0,41.689327171351664,1738.0,41.689327171351664,1730.0,41.593268686170845,1852.0,43.034869582700026,1738.0,41.689327171351664,1788.0,42.28474902373195
ar_99.0_cf4_1.0_65.8kVcm_0.050bar_0.1059mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,65.8,0.1059,0.05,,112.09,114.66755593383154,106.23,110.21419503802034,100,0.0,0.0,297.0,17.233687939614086,1065.0,32.63433774416144,1948.0,44.13615298142782,43.0,6.557438524302,469.0,21.656407827707714,1738.0,41.689327171351664,1738.0,41.689327171351664,1730.0,41.593268686170845,1852.0,43.034869582700026,1738.0,41.689327171351664,1788.0,42.28474902373195
ar_99.0_cf4_1.0_43.3kVcm_0.050bar_0.1078mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,43.3,0.1078,0.05,100.0,133.17,102.34513356108519,128.05,99.1383458413626,100,0.0,0.0,488.0,22.090722034374522,1268.0,35.608987629529715,2913.0,53.97221507405454,36.0,6.0,400.0,20.0,2517.0,50.16971197844373,2517.0,50.16971197844373,2495.0,49.949974974968704,2729.0,52.23983154643591,2517.0,50.16971197844373,2610.0,51.088159097779204
ar_99.0_cf4_1.0_43.3kVcm_0.050bar_0.1078mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,43.3,0.1078,0.05,,133.17,102.34513356108519,128.05,99.1383458413626,100,0.0,0.0,488.0,22.090722034374522,1268.0,35.608987629529715,2913.0,53.97221507405454,36.0,6.0,400.0,20.0,2517.0,50.16971197844373,2517.0,50.16971197844373,2495.0,49.949974974968704,2729.0,52.23983154643591,2517.0,50.16971197844373,2610.0,51.088159097779204
ar_99.0_cf4_1.0_100.0kVcm_0.050bar_0.1112mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,100.0,0.1112,0.05,100.0,108.07,118.73867877984765,101.06,111.73822401967334,100,0.0,0.0,44.0,6.6332495807108,257.0,16.0312195418814,2243.0,47.36032094485847,30.0,5.477225575051661,520.0,22.80350850198276,1299.0,36.0416425818802,1299.0,36.0416425818802,1269.0,35.62302626111375,1380.0,37.14835124201342,1299.0,36.0416425818802,1332.0,36.49657518178932
ar_99.0_cf4_1.0_100.0kVcm_0.050bar_0.1112mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,100.0,0.1112,0.05,,108.07,118.73867877984765,101.06,111.73822401967334,100,0.0,0.0,44.0,6.6332495807108,257.0,16.0312195418814,2243.0,47.36032094485847,30.0,5.477225575051661,520.0,22.80350850198276,1299.0,36.0416425818802,1299.0,36.0416425818802,1269.0,35.62302626111375,1380.0,37.14835124201342,1299.0,36.0416425818802,1332.0,36.49657518178932
ar_99.0_cf4_1.0_31.6kVcm_0.050bar_0.1143mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,31.6,0.1143,0.05,100.0,128.21,83.63621261514692,124.03,81.84926463452265,100,0.0,0.0,586.0,24.20743687382041,1435.0,37.881393849751625,3377.0,58.111960903070546,42.0,6.48074069840786,315.0,17.74823934929885,2781.0,52.73518749374084,2781.0,52.73518749374084,2745.0,52.392747589718944,3076.0,55.46169849544819,2781.0,52.73518749374084,2918.0,54.01851534427802
ar_99.0_cf4_1.0_31.6kVcm_0.050bar_0.1143mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,31.6,0.1143,0.05,,128.21,83.63621261514692,124.03,81.84926463452265,100,0.0,0.0,586.0,24.20743687382041,1435.0,37.881393849751625,3377.0,58.111960903070546,42.0,6.48074069840786,315.0,17.74823934929885,2781.0,52.73518749374084,2781.0,52.73518749374084,2745.0,52.392747589718944,3076.0,55.46169849544819,2781.0,52.73518749374084,2918.0,54.01851534427802
ar_99.0_cf4_1.0_28.5kVcm_0.050bar_0.1180mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,28.5,0.118,0.05,100.0,125.01,73.18752653563338,121.53,71.78903647198337,100,0.0,0.0,609.0,24.677925358506133,1458.0,38.18376618407357,3448.0,58.71967302361279,48.0,6.928203230275509,244.0,15.620499351813308,2844.0,53.32916650389353,2844.0,53.32916650389353,2815.0,53.056573579529235,3139.0,56.02677931132576,2844.0,53.32916650389353,2981.0,54.59853477887479
ar_99.0_cf4_1.0_28.5kVcm_0.050bar_0.1180mm_100npe copy.root,ArCF4,ar,99.0,cf4,1.0,1.0,28.5,0.118,0.05,,125.01,73.18752653563338,121.53,71.78903647198337,100,0.0,0.0,609.0,24.677925358506133,1458.0,38.18376618407357,3448.0,58.71967302361279,48.0,6.928203230275509,244.0,15.620499351813308,2844.0,53.32916650389353,2844.0,53.32916650389353,2815.0,53.056573579529235,3139.0,56.02677931132576,2844.0,53.32916650389353,2981.0,54.59853477887479
