concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,CF3,ErrCF3
0.1,55.6,0.05,1.0,100.0,87.55,86.56,62.94046810480936,62.95088994966271,100,11.0,3.3166247903554
0.2,56.3,0.05,1.0,100.0,103.95,102.97,67.95101845514097,67.93839381038791,100,33.0,5.744562646538029
0.5,55.9,0.05,1.0,100.0,94.27,93.33,72.34371591453699,72.36970946801465,100,57.0,7.54983443527075
1.0,54.8,0.05,1.0,100.0,88.69,87.78,51.80162140124555,51.852467480712846,100,97.0,9.848857801796104
2.0,56.5,0.05,1.0,100.0,104.65,103.91,69.38217612352875,69.61642308849517,100,230.0,15.165750888103101
5.0,56.8,0.05,1.0,100.0,88.4,87.88,60.705448809406846,61.03869943144946,100,537.0,23.173260452512935
10.0,57.9,0.05,1.0,100.0,94.77,94.66,63.93855241439616,64.39245517006074,100,1127.0,33.57082066318904
15.0,59.3,0.05,1.0,100.0,96.67,96.94,74.50375287137683,75.12882135359105,100,1740.0,41.71330722922842
20.0,60.0,0.05,1.0,100.0,99.82,100.51,57.367921208968205,57.96367636527015,100,2448.0,49.47726750741192
50.0,65.8,0.05,1.0,100.0,97.7,99.96,66.15218145391059,67.83937058979987,100,6625.0,81.39410298049853
80.0,71.2,0.05,1.0,100.0,111.95,116.96,65.67203100685754,68.70165628103572,100,13308.0,115.3603051313579
100.0,73.9,0.05,1.0,100.0,97.03,101.94,60.63476600503089,63.72824564452793,100,16120.0,126.96456198483102
