file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,CF4,ErrCF4,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_99.9_cf4_0.1_44.5kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,99.9,cf4,0.1,0.1,44.5,0.05,0.2,100.0,97.4,44.30016986993447,96.13,44.2464756343441,100,0.0,0.0,1192.0,34.52535300326414,1735.0,41.65333119931706,4599.0,67.8159273327439,5.0,2.23606797749979,27.0,5.196152422706632,3650.0,60.41522986797286,3650.0,60.41522986797286,3597.0,59.9749947894954,4064.0,63.74950980203691,3650.0,60.41522986797286,3838.0,61.95159400693416
ar_99.8_cf4_0.2_44.3kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,99.8,cf4,0.2,0.2,44.3,0.05,0.2,100.0,101.32,49.647012584705024,100.02,49.55906179560512,100,0.0,0.0,1211.0,34.79942528261063,1852.0,43.034869582700026,4807.0,69.3325320466518,16.0,4.0,30.0,5.477225575051661,3784.0,61.5142259969188,3784.0,61.5142259969188,3742.0,61.171888968708494,4255.0,65.23036102920173,3784.0,61.5142259969188,4016.0,63.37191807101944
ar_99.5_cf4_0.5_44.3kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,99.5,cf4,0.5,0.5,44.3,0.05,0.2,100.0,98.01,44.12985773186158,96.79,43.90308311577567,100,0.0,0.0,1181.0,34.36568055487916,1785.0,42.24926034855522,4691.0,68.49087530467106,24.0,4.898979485566356,22.0,4.69041575982343,3662.0,60.51446108162907,3662.0,60.51446108162907,3599.0,59.99166608788257,4106.0,64.07807737440318,3662.0,60.51446108162907,3883.0,62.31372240526159
ar_99.0_cf4_1.0_44.1kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,44.1,0.05,0.2,100.0,96.89,41.92390774252849,95.54,41.807258564594605,100,0.0,0.0,1127.0,33.57082066318904,1763.0,41.98809355043403,4735.0,68.81133627535509,40.0,6.324555320336759,35.0,5.916079783099616,3689.0,60.73713855624086,3689.0,60.73713855624086,3635.0,60.29096117993144,4152.0,64.43601477434805,3689.0,60.73713855624086,3900.0,62.44997998398398
ar_98.0_cf4_2.0_45.3kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,98.0,cf4,2.0,2.0,45.3,0.05,0.2,100.0,110.82,52.02745584416138,109.47,51.88399161454895,100,0.0,0.0,1308.0,36.16628264005025,2026.0,45.0111097397076,5233.0,72.3394774656273,117.0,10.816653826391969,35.0,5.916079783099616,4031.0,63.49015671739991,4031.0,63.49015671739991,3985.0,63.12685640834652,4543.0,67.40178039191547,4031.0,63.49015671739991,4287.0,65.47518613948341
ar_95.0_cf4_5.0_44.5kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,95.0,cf4,5.0,5.0,44.5,0.05,0.2,100.0,99.26,45.50715783414093,98.11,45.43502297931975,100,0.0,0.0,1150.0,33.91164991562634,1678.0,40.963398296528084,4701.0,68.5638388656878,254.0,15.937377450509228,17.0,4.123105625617661,3706.0,60.876925020897694,3706.0,60.876925020897694,3639.0,60.32412452742269,4148.0,64.40496875241847,3706.0,60.876925020897694,3916.0,62.57795138864806
ar_90.0_cf4_10.0_45.0kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,90.0,cf4,10.0,10.0,45.0,0.05,0.2,100.0,108.08,45.91927039859621,106.84,45.83847794818301,100,0.0,0.0,1199.0,34.62657938636157,1795.0,42.36744032862972,4728.0,68.76045375068433,568.0,23.83275057562597,28.0,5.291502622129181,3660.0,60.4979338490167,3660.0,60.4979338490167,3610.0,60.08327554319921,4134.0,64.29618962271404,3660.0,60.4979338490167,3884.0,62.321745803531535
ar_85.0_cf4_15.0_44.9kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,85.0,cf4,15.0,15.0,44.9,0.05,0.2,100.0,97.26,43.60581464331416,95.98,43.55653008598497,100,0.0,0.0,1047.0,32.357379374726875,1591.0,39.88734135035826,4175.0,64.61423991660043,839.0,28.96549671592048,28.0,5.291502622129181,3274.0,57.21887800367987,3274.0,57.21887800367987,3234.0,56.868268832451726,3685.0,60.70420084310476,3274.0,57.21887800367987,3471.0,58.915193286621744
ar_80.0_cf4_20.0_45.5kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,80.0,cf4,20.0,20.0,45.5,0.05,0.2,100.0,99.83,44.29448172302179,98.69,44.32608621559002,100,0.0,0.0,1004.0,31.68595903550972,1562.0,39.52214569073901,4139.0,64.33506042586733,1117.0,33.421549934136806,15.0,3.872983346207417,3237.0,56.8946394662977,3237.0,56.8946394662977,3189.0,56.471231613982,3639.0,60.32412452742269,3237.0,56.8946394662977,3437.0,58.62593282839941
ar_50.0_cf4_50.0_45.7kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,50.0,cf4,50.0,50.0,45.7,0.05,0.2,100.0,106.18,54.42934072091202,105.04,54.30496005770271,100,0.0,0.0,698.0,26.419689627245813,1097.0,33.12099032335839,2956.0,54.36910887627275,3153.0,56.15158056546583,9.0,3.0,2311.0,48.07286136688766,2311.0,48.07286136688766,2274.0,47.686476070265456,2602.0,51.0098029794274,2311.0,48.07286136688766,2439.0,49.38623289946298
ar_20.0_cf4_80.0_46.6kVcm_0.200bar_0.0500mm_100npe.root,ArCF4,ar,20.0,cf4,80.0,80.0,46.6,0.05,0.2,100.0,97.33,43.9069390066,96.35,43.79344884359031,100,0.0,0.0,256.0,16.0,398.0,19.949937343260004,1110.0,33.31666249791537,5037.0,70.97182539571601,5.0,2.23606797749979,854.0,29.223278392404914,854.0,29.223278392404914,847.0,29.10326442171049,955.0,30.903074280724887,854.0,29.223278392404914,906.0,30.099833886584825
cf4_100.0_ar_0.0_47.7kVcm_0.200bar_0.0500mm_100npe.root,CF4,cf4,100.0,ar,0.0,100.0,47.7,0.05,0.2,100.0,101.45,45.42601377264714,100.5,45.33812363282643,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6798.0,82.44998483929515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
