concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_1s4_1s5,ErrAr_1s4_1s5
0.1,44.5,0.05,0.2,100.0,97.4,96.13,44.30016986993447,44.2464756343441,100,1192.0,34.52535300326414
0.2,44.3,0.05,0.2,100.0,101.32,100.02,49.647012584705024,49.55906179560512,100,1211.0,34.79942528261063
0.5,44.3,0.05,0.2,100.0,98.01,96.79,44.12985773186158,43.90308311577567,100,1181.0,34.36568055487916
1.0,44.1,0.05,0.2,100.0,96.89,95.54,41.92390774252849,41.807258564594605,100,1127.0,33.57082066318904
2.0,45.3,0.05,0.2,100.0,110.82,109.47,52.02745584416138,51.88399161454895,100,1308.0,36.16628264005025
5.0,44.5,0.05,0.2,100.0,99.26,98.11,45.50715783414093,45.43502297931975,100,1150.0,33.91164991562634
10.0,45.0,0.05,0.2,100.0,108.08,106.84,45.91927039859621,45.83847794818301,100,1199.0,34.62657938636157
15.0,44.9,0.05,0.2,100.0,97.26,95.98,43.60581464331416,43.55653008598497,100,1047.0,32.357379374726875
20.0,45.5,0.05,0.2,100.0,99.83,98.69,44.29448172302179,44.32608621559002,100,1004.0,31.68595903550972
50.0,45.7,0.05,0.2,100.0,106.18,105.04,54.42934072091202,54.30496005770271,100,698.0,26.419689627245813
80.0,46.6,0.05,0.2,100.0,97.33,96.35,43.9069390066,43.79344884359031,100,256.0,16.0
100.0,47.7,0.05,0.2,100.0,101.45,100.5,45.42601377264714,45.33812363282643,100,0.0,0.0
