file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_99.9_cf4_0.1_17.2kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,99.9,cf4,0.1,0.1,17.2,0.57,1.0,100.0,92.13,71.82029411290827,91.4,71.94175534149943,100,0.0,0.0,49195.0,221.79945897138703,35.0,5.916079783099616,0.0,0.0,33944.0,184.23897524682448,33944.0,184.23897524682448,32896.0,181.37254478007415,39351.0,198.3708647962195,33944.0,184.23897524682448,36483.0,191.00523553033827
ar_99.8_cf4_0.2_17.3kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,99.8,cf4,0.2,0.2,17.3,0.57,1.0,100.0,93.3,81.67656093433786,92.98,82.10143762813206,100,0.0,0.0,49731.0,223.0044842598462,76.0,8.717797887081348,0.0,0.0,34333.0,185.29166198186036,34333.0,185.29166198186036,33264.0,182.38420984284795,39889.0,199.7223072167954,34333.0,185.29166198186036,36887.0,192.05988649377048
ar_99.5_cf4_0.5_17.4kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,99.5,cf4,0.5,0.5,17.4,0.57,1.0,100.0,97.5,76.8255928527188,97.91,77.80642841713211,100,0.0,0.0,50527.0,224.78211672639796,183.0,13.527749258468683,0.0,0.0,34935.0,186.90906880084765,34935.0,186.90906880084765,33894.0,184.1032319107951,40485.0,201.20884672399472,34935.0,186.90906880084765,37558.0,193.7988648057568
ar_99.0_cf4_1.0_18.1kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,18.1,0.57,1.0,100.0,148.87,133.65330205990105,152.0,137.2962586025658,100,0.0,0.0,75770.0,275.26351011349107,603.0,24.55605831561735,0.0,0.0,52622.0,229.39485608879724,52622.0,229.39485608879724,51005.0,225.84286572747877,60727.0,246.42848861282252,52622.0,229.39485608879724,56407.0,237.50157894211986
ar_98.0_cf4_2.0_18.1kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,98.0,cf4,2.0,2.0,18.1,0.57,1.0,100.0,101.24,103.80742855028355,106.39,109.72057208834603,100,0.0,0.0,51851.0,227.7081465385022,803.0,28.337254630609507,0.0,0.0,36014.0,189.77354926332595,36014.0,189.77354926332595,34878.0,186.7565259903921,41576.0,203.90193721492693,36014.0,189.77354926332595,38585.0,196.4306493396588
ar_95.0_cf4_5.0_19.4kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,95.0,cf4,5.0,5.0,19.4,0.57,1.0,100.0,110.63,103.45600294547701,123.83,115.7758243984966,100,0.0,0.0,52388.0,228.8842502226835,2093.0,45.749316934791494,0.0,0.0,36635.0,191.4027168041248,36635.0,191.4027168041248,35544.0,188.5311645325515,42301.0,205.672069080855,36635.0,191.4027168041248,39277.0,198.1842576997477
ar_90.0_cf4_10.0_20.9kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,90.0,cf4,10.0,10.0,20.9,0.57,1.0,100.0,88.09,93.50418291297038,110.99,117.06947734252735,100,0.0,0.0,41188.0,202.9482692707676,3556.0,59.632206063502295,0.0,0.0,28974.0,170.21750791267036,28974.0,170.21750791267036,28156.0,167.79749700159417,33422.0,182.81684823888634,28974.0,170.21750791267036,31011.0,176.0994037468611
ar_85.0_cf4_15.0_22.7kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,85.0,cf4,15.0,15.0,22.7,0.57,1.0,100.0,125.81,156.16836906028539,167.76,205.9389494706888,100,0.0,0.0,52039.0,228.12058214900296,7199.0,84.84692098125895,0.0,0.0,36811.0,191.86192952224783,36811.0,191.86192952224783,35785.0,189.16923639957952,42296.0,205.65991344936427,36811.0,191.86192952224783,39473.0,198.67813166023078
ar_80.0_cf4_20.0_24.4kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,80.0,cf4,20.0,20.0,24.4,0.57,1.0,100.0,96.11,112.86184412185484,135.68,156.91121339435526,100,0.0,0.0,37552.0,193.7833842206292,7554.0,86.91375035056306,0.0,0.0,26588.0,163.05827179263247,26588.0,163.05827179263247,25860.0,160.81044742180154,30564.0,174.82562741200158,26588.0,163.05827179263247,28505.0,168.8342382338369
ar_50.0_cf4_50.0_31.3kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,50.0,cf4,50.0,50.0,31.3,0.57,1.0,100.0,150.14,212.58923355198925,261.31,365.16706277726325,100,0.0,0.0,37019.0,192.40322242623694,30596.0,174.91712323268982,0.0,0.0,27001.0,164.3198101264726,27001.0,164.3198101264726,26351.0,162.32991098377403,30813.0,175.5363210278716,27001.0,164.3198101264726,28844.0,169.83521425193305
ar_20.0_cf4_80.0_36.6kVcm_1.000bar_0.5700mm_100npe.root,ArCF4,ar,20.0,cf4,80.0,80.0,36.6,0.57,1.0,100.0,96.72,153.72651040077636,193.45,298.5211487694402,100,0.0,0.0,10945.0,104.61835403025609,37457.0,193.53810994220234,0.0,0.0,8051.0,89.72736483370053,8051.0,89.72736483370053,7886.0,88.80315309717331,9137.0,95.58765610684259,8051.0,89.72736483370053,8603.0,92.7523584605804
cf4_100.0_ar_0.0_39.4kVcm_1.000bar_0.5700mm_100npe.root,CF4,cf4,100.0,ar,0.0,100.0,39.4,0.57,1.0,100.0,92.87,136.75936656563727,203.97,294.2531190672549,100,0.0,0.0,0.0,0.0,53440.0,231.17093242879824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
