concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_794,ErrAr_794
0.1,17.2,0.57,1.0,100.0,92.13,91.4,71.82029411290827,71.94175534149943,100,36483.0,191.00523553033827
0.2,17.3,0.57,1.0,100.0,93.3,92.98,81.67656093433786,82.10143762813206,100,36887.0,192.05988649377048
0.5,17.4,0.57,1.0,100.0,97.5,97.91,76.8255928527188,77.80642841713211,100,37558.0,193.7988648057568
1.0,18.1,0.57,1.0,100.0,148.87,152.0,133.65330205990105,137.2962586025658,100,56407.0,237.50157894211986
2.0,18.1,0.57,1.0,100.0,101.24,106.39,103.80742855028355,109.72057208834603,100,38585.0,196.4306493396588
5.0,19.4,0.57,1.0,100.0,110.63,123.83,103.45600294547701,115.7758243984966,100,39277.0,198.1842576997477
10.0,20.9,0.57,1.0,100.0,88.09,110.99,93.50418291297038,117.06947734252735,100,31011.0,176.0994037468611
15.0,22.7,0.57,1.0,100.0,125.81,167.76,156.16836906028539,205.9389494706888,100,39473.0,198.67813166023078
20.0,24.4,0.57,1.0,100.0,96.11,135.68,112.86184412185484,156.91121339435526,100,28505.0,168.8342382338369
50.0,31.3,0.57,1.0,100.0,150.14,261.31,212.58923355198925,365.16706277726325,100,28844.0,169.83521425193305
80.0,36.6,0.57,1.0,100.0,96.72,193.45,153.72651040077636,298.5211487694402,100,8603.0,92.7523584605804
100.0,39.4,0.57,1.0,100.0,92.87,203.97,136.75936656563727,294.2531190672549,100,0.0,0.0
