concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,CF3,ErrCF3
0.1,17.2,0.57,1.0,100.0,92.13,91.4,71.82029411290827,71.94175534149943,100,35.0,5.916079783099616
0.2,17.3,0.57,1.0,100.0,93.3,92.98,81.67656093433786,82.10143762813206,100,76.0,8.717797887081348
0.5,17.4,0.57,1.0,100.0,97.5,97.91,76.8255928527188,77.80642841713211,100,183.0,13.527749258468683
1.0,18.1,0.57,1.0,100.0,148.87,152.0,133.65330205990105,137.2962586025658,100,603.0,24.55605831561735
2.0,18.1,0.57,1.0,100.0,101.24,106.39,103.80742855028355,109.72057208834603,100,803.0,28.337254630609507
5.0,19.4,0.57,1.0,100.0,110.63,123.83,103.45600294547701,115.7758243984966,100,2093.0,45.749316934791494
10.0,20.9,0.57,1.0,100.0,88.09,110.99,93.50418291297038,117.06947734252735,100,3556.0,59.632206063502295
15.0,22.7,0.57,1.0,100.0,125.81,167.76,156.16836906028539,205.9389494706888,100,7199.0,84.84692098125895
20.0,24.4,0.57,1.0,100.0,96.11,135.68,112.86184412185484,156.91121339435526,100,7554.0,86.91375035056306
50.0,31.3,0.57,1.0,100.0,150.14,261.31,212.58923355198925,365.16706277726325,100,30596.0,174.91712323268982
80.0,36.6,0.57,1.0,100.0,96.72,193.45,153.72651040077636,298.5211487694402,100,37457.0,193.53810994220234
100.0,39.4,0.57,1.0,100.0,92.87,203.97,136.75936656563727,294.2531190672549,100,53440.0,231.17093242879824
