file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_99.9_cf4_0.1_4.3kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,99.9,cf4,0.1,0.1,4.3,0.57,0.05,100.0,120.24,65.59904532441571,119.24,65.59596563105622,100,0.0,0.0,11327.0,106.42837967384452,12.0,3.4641016151377544,1.0,1.0,8456.0,91.9565114605812,8456.0,91.9565114605812,8275.0,90.96702699330126,9608.0,98.02040603874276,8456.0,91.9565114605812,9026.0,95.00526301210897
ar_99.8_cf4_0.2_4.3kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,99.8,cf4,0.2,0.2,4.3,0.57,0.05,100.0,114.92,61.91810818502226,113.9,61.92215706315095,100,0.0,0.0,11017.0,104.96189784869556,16.0,4.0,2.0,1.4142135623730951,8293.0,91.0659101969557,8293.0,91.0659101969557,8136.0,90.19977827023745,9402.0,96.9639108122192,8293.0,91.0659101969557,8837.0,94.00531899844816
ar_99.5_cf4_0.5_4.5kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,99.5,cf4,0.5,0.5,4.5,0.57,0.05,100.0,156.94,93.48146469982294,155.95,93.4971911207751,100,0.0,0.0,14620.0,120.91319200153472,67.0,8.18535277187245,1.0,1.0,10996.0,104.86181383134664,10996.0,104.86181383134664,10794.0,103.89417693018218,12468.0,111.66019881766287,10996.0,104.86181383134664,11733.0,108.31897340724754
ar_99.0_cf4_1.0_4.1kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,99.0,cf4,1.0,1.0,4.1,0.57,0.05,100.0,87.2,49.85615672749318,86.22,49.84411659961444,100,0.0,0.0,8604.0,92.75774900244184,76.0,8.717797887081348,0.0,0.0,6441.0,80.25584090893322,6441.0,80.25584090893322,6319.0,79.4921379760288,7327.0,85.59789717043287,6441.0,80.25584090893322,6860.0,82.82511696339462
ar_98.0_cf4_2.0_4.5kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,98.0,cf4,2.0,2.0,4.5,0.57,0.05,100.0,143.69,85.30713317007535,142.86,85.43495606115636,100,0.0,0.0,13356.0,115.56816170554933,242.0,15.556349186104045,0.0,0.0,10033.0,100.16486409914407,10033.0,100.16486409914407,9837.0,99.18165152889924,11408.0,106.80823938254952,10033.0,100.16486409914407,10719.0,103.53260356042439
ar_95.0_cf4_5.0_4.2kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,95.0,cf4,5.0,5.0,4.2,0.57,0.05,100.0,92.58,52.45800244197276,91.74,52.52947609281724,100,0.0,0.0,8705.0,93.30058949438637,428.0,20.688160865577203,0.0,0.0,6560.0,80.99382692526635,6560.0,80.99382692526635,6419.0,80.11866199581718,7435.0,86.22644605919926,6560.0,80.99382692526635,7009.0,83.71977066380438
ar_90.0_cf4_10.0_4.5kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,90.0,cf4,10.0,10.0,4.5,0.57,0.05,100.0,127.16,69.21168232095626,126.62,69.35078160403752,100,0.0,0.0,10876.0,104.28806259586952,1063.0,32.60368077380221,0.0,0.0,8214.0,90.6311204829776,8214.0,90.6311204829776,8048.0,89.71064596802321,9301.0,96.44169222903547,8214.0,90.6311204829776,8771.0,93.65361712181756
ar_85.0_cf4_15.0_4.7kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,85.0,cf4,15.0,15.0,4.7,0.57,0.05,100.0,182.7,94.11871935663667,182.41,94.39655179030105,100,0.0,0.0,14543.0,120.59436139388939,2502.0,50.0199960015992,0.0,0.0,10927.0,104.53229166147655,10927.0,104.53229166147655,10731.0,103.59054010864119,12418.0,111.43608033307704,10927.0,104.53229166147655,11657.0,107.96758772891057
ar_80.0_cf4_20.0_4.6kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,80.0,cf4,20.0,20.0,4.6,0.57,0.05,100.0,151.09,83.82221385380808,150.89,84.23546782919912,100,0.0,0.0,11669.0,108.02314566795395,2742.0,52.364109846344185,0.0,0.0,8869.0,94.17536832951598,8869.0,94.17536832951598,8711.0,93.33273809334,10013.0,100.0649788887201,8869.0,94.17536832951598,9424.0,97.07728879609277
ar_50.0_cf4_50.0_5.2kVcm_0.050bar_0.5700mm_100npe.root,ArCF4,ar,50.0,cf4,50.0,50.0,5.2,0.57,0.05,100.0,252.93,156.73340003607618,254.66,157.77590680353185,100,0.0,0.0,12618.0,112.32987136109433,12178.0,110.35397591387454,1.0,1.0,9576.0,97.85703858180054,9576.0,97.85703858180054,9411.0,97.01030873056739,10819.0,104.01442207694085,9576.0,97.85703858180054,10179.0,100.89103032480142
