concentration,electric_field,gap_mm,pressure,npe,ne,ni,ne_std,ni_std,n_entries,Ar_794,ErrAr_794
0.1,4.3,0.57,0.05,100.0,120.24,119.24,65.59904532441571,65.59596563105622,100,7719.0,87.8578397184907
0.2,4.3,0.57,0.05,100.0,114.92,113.9,61.91810818502226,61.92215706315095,100,7575.0,87.03447592764606
0.5,4.5,0.57,0.05,100.0,156.94,155.95,93.48146469982294,93.4971911207751,100,9983.0,99.91496384426108
1.0,4.1,0.57,0.05,100.0,87.2,86.22,49.85615672749318,49.84411659961444,100,5836.0,76.39371701913711
2.0,4.5,0.57,0.05,100.0,143.69,142.86,85.30713317007535,85.43495606115636,100,9146.0,95.63472172804185
5.0,4.2,0.57,0.05,100.0,92.58,91.74,52.45800244197276,52.52947609281724,100,5960.0,77.20103626247513
10.0,4.5,0.57,0.05,100.0,127.16,126.62,69.21168232095626,69.35078160403752,100,7441.0,86.26123115281858
15.0,4.7,0.57,0.05,100.0,182.7,182.41,94.11871935663667,94.39655179030105,100,9969.0,99.84487968844472
20.0,4.6,0.57,0.05,100.0,151.09,150.89,83.82221385380808,84.23546782919912,100,8105.0,90.02777349240623
50.0,5.2,0.57,0.05,100.0,252.93,254.66,156.73340003607618,157.77590680353185,100,8725.0,93.40770846134703
80.0,5.2,0.57,0.05,100.0,148.93,150.46,84.72489705994444,86.09231831427978,100,2350.0,48.47679857416329
100.0,6.0,0.57,0.05,100.0,340.29,344.47,200.17196117439636,203.36787858559188,100,0.0,0.0
