concentration,electric_field,gap_mm,pressure,ne,ni,Ar_dbleStar,ErrAr_dbleStar
80.0,36.6,0.57,1.0,96.72,193.45,113.16170388751034,1.081662055730522
80.0,46.6,0.05,0.2,97.33,96.35,11.404500154114867,0.34230620053339533
80.0,5.2,0.57,0.05,148.93,150.46,23.178674545088295,0.3945056287267409
80.0,71.2,0.05,1.0,111.95,116.96,32.59490844126842,0.5395886846105924
50.0,273.0,0.57,10.0,118.38,920.3,1287.7175198513262,3.298155550849901
50.0,31.3,0.57,1.0,150.14,261.31,246.5632076728387,1.2814920902240372
50.0,314.6,0.05,10.0,79.9,142.02,257.73466833541926,1.796027699832591
50.0,45.7,0.05,0.2,106.18,105.04,27.839517799962326,0.5120466083657256
50.0,5.2,0.57,0.05,252.93,254.66,49.88732060253825,0.4441144639271511
50.0,65.8,0.05,1.0,97.7,99.96,76.6632548618219,0.8858217614501046
20.0,197.2,0.57,10.0,199.83,1128.14,2054.136015613271,3.206153081655945
20.0,24.4,0.57,1.0,96.11,135.68,390.7189678493393,2.016266613470286
20.0,248.3,0.05,10.0,87.1,118.52,372.4225028702641,2.0678016604335303
20.0,4.6,0.57,0.05,151.09,150.89,77.2321133099477,0.7149589361834268
20.0,45.5,0.05,0.2,99.83,98.69,41.460482820795356,0.6444461627353233
20.0,60.0,0.05,1.0,99.82,100.51,112.40232418353037,1.0611550933171998
15.0,22.7,0.57,1.0,125.81,167.76,413.63166679914156,1.8132150238375562
15.0,4.7,0.57,0.05,182.7,182.41,79.60043787629995,0.6600676595177307
15.0,44.9,0.05,0.2,97.26,95.98,42.92617725683734,0.6643454649043844
15.0,59.3,0.05,1.0,96.67,96.94,117.40974449156926,1.10206246781124
10.0,20.9,0.57,1.0,88.09,110.99,467.56726075604496,2.303874097749661
10.0,4.5,0.57,0.05,127.16,126.62,85.5300408933627,0.8201326092786216
10.0,45.0,0.05,0.2,108.08,106.84,43.74537379718727,0.6361996090921941
10.0,57.9,0.05,1.0,94.77,94.66,124.12155745489079,1.1444271910430655
5.0,133.1,0.57,10.0,82.17,242.53,2341.2681027138856,5.337881529456505
5.0,19.4,0.57,1.0,110.63,123.83,473.5424387598301,2.068916661146918
5.0,202.0,0.05,10.0,105.93,116.66,448.34324553950717,2.05729148951164
5.0,4.2,0.57,0.05,92.58,91.74,94.02678764311946,1.0077834250851845
5.0,44.5,0.05,0.2,99.26,98.11,47.36046745919806,0.6907499381995547
5.0,56.8,0.05,1.0,88.4,87.88,134.762443438914,1.2346910665636033
2.0,114.2,0.57,10.0,228.55,396.81,1905.6880332531173,2.8875884139926256
2.0,18.1,0.57,1.0,101.24,106.39,512.1592256025286,2.2491914908978883
2.0,187.0,0.05,10.0,85.76,89.52,489.70382462686564,2.3895953350972396
2.0,4.5,0.57,0.05,143.69,142.86,92.95010091168488,0.804288132128536
2.0,45.3,0.05,0.2,110.82,109.47,47.22071828189858,0.652765542913078
2.0,56.5,0.05,1.0,104.65,103.91,133.91304347826087,1.1312063227617233
1.0,0.8,13.8938,0.05,77.86,80.08,598.2918058052916,2.772038946414328
1.0,0.8,13.8938,0.05,77.86,80.08,598.2918058052916,2.772038946414328
1.0,1.0,8.1726,0.05,90.2,90.97,437.1951219512195,2.20157956284148
1.0,1.0,8.1726,0.05,90.2,90.97,437.1951219512195,2.20157956284148
1.0,1.4,3.9348,0.05,122.6,122.44,286.1745513866232,1.5278132433577436
1.0,1.4,3.9348,0.05,122.6,122.44,286.1745513866232,1.5278132433577436
1.0,1.5,3.145,0.05,136.95,136.51,248.55056589996352,1.347182274078317
1.0,1.5,3.145,0.05,136.95,136.51,248.55056589996352,1.347182274078317
1.0,10.2,4.2352,1.0,27.05,38.84,2004.6950092421441,8.608758402285126
1.0,100.0,0.1112,0.05,108.07,101.06,20.75506616082169,0.4382374474401636
1.0,100.0,0.1112,0.05,108.07,101.06,20.75506616082169,0.4382374474401636
1.0,1021.2,0.0022,10.0,87.65,86.66,85.2937820878494,0.9864673734725515
1.0,104.3,0.4769,10.0,75.38,107.52,1921.9421597240648,5.0494269102118485
1.0,104.4,0.57,10.0,175.34,248.13,1892.391924261435,3.285224416290267
1.0,11.1,0.1957,0.05,90.07,88.81,48.206950149883426,0.7315849232612667
1.0,11.1,0.1957,0.05,90.07,88.81,48.206950149883426,0.7315849232612667
1.0,111.0,0.0204,1.0,103.88,102.89,79.85175202156334,0.8767509683530016
1.0,111.0,0.3486,10.0,105.83,133.66,1481.2151563828781,3.7411461593333204
1.0,114.6,0.2986,10.0,97.01,117.33,1317.7404391299865,3.685587146503606
1.0,118.2,0.2598,10.0,92.63,109.29,1235.6364028932312,3.652325834274786
1.0,1182.3,0.0018,10.0,82.01,81.0,75.5151810754786,0.9595856132446884
1.0,12.3,0.1807,0.05,91.3,90.11,45.78313253012048,0.7081371248738056
1.0,12.3,0.1807,0.05,91.3,90.11,45.78313253012048,0.7081371248738056
1.0,123.3,0.0179,1.0,101.31,100.27,71.23679794689566,0.8385443504351954
1.0,125.9,0.1971,10.0,111.44,125.17,1024.6320890165111,3.032238968253202
1.0,13.7,1.3416,1.0,87.07,93.72,842.2533593660274,3.110191310719216
1.0,131.3,0.1627,10.0,112.21,123.55,922.2707423580787,2.866905874753851
1.0,150.4,0.0969,10.0,105.18,109.71,685.3394181403308,2.5526206163905374
