concentration,electric_field,gap_mm,pressure,ne,ni,CF3,ErrCF3
80.0,36.6,0.57,1.0,96.72,193.45,390.7775020678246,2.010048943239082
80.0,46.6,0.05,0.2,97.33,96.35,52.09082502825439,0.7315723053084516
80.0,5.2,0.57,0.05,148.93,150.46,90.39145907473309,0.7790630442936182
80.0,71.2,0.05,1.0,111.95,116.96,119.87494417150513,1.034789849581033
50.0,273.0,0.57,10.0,118.38,920.3,1062.1473221828012,2.995388867944267
50.0,31.3,0.57,1.0,150.14,261.31,205.5947782070068,1.1701939117834057
50.0,314.6,0.05,10.0,79.9,142.02,213.9549436795995,1.6363936036380513
50.0,45.7,0.05,0.2,106.18,105.04,30.04332265963458,0.5319277169501955
50.0,5.2,0.57,0.05,252.93,254.66,48.503538528446605,0.4379116908551896
50.0,65.8,0.05,1.0,97.7,99.96,68.31115660184237,0.8361776157830134
20.0,197.2,0.57,10.0,199.83,1128.14,404.3887304208577,1.4225553649351046
20.0,24.4,0.57,1.0,96.11,135.68,79.3049630631568,0.9083765096542358
20.0,248.3,0.05,10.0,87.1,118.52,73.45579793340988,0.918340976157117
20.0,4.6,0.57,0.05,151.09,150.89,18.30696935601297,0.3480890540023749
20.0,45.5,0.05,0.2,99.83,98.69,11.279174596814585,0.3361306568278577
20.0,60.0,0.05,1.0,99.82,100.51,24.70446804247646,0.49748383161431126
15.0,22.7,0.57,1.0,125.81,167.76,57.92067403227088,0.6785146395955978
15.0,4.7,0.57,0.05,182.7,182.41,13.814997263273126,0.27498317869907984
15.0,44.9,0.05,0.2,97.26,95.98,8.657207485091506,0.2983470723534219
15.0,59.3,0.05,1.0,96.67,96.94,18.195924278473157,0.43385159771409476
10.0,20.9,0.57,1.0,88.09,110.99,40.901350891134065,0.681405321759969
10.0,4.5,0.57,0.05,127.16,126.62,8.453916325888644,0.2578420306818968
10.0,45.0,0.05,0.2,108.08,106.84,5.273871206513694,0.22089815666753004
10.0,57.9,0.05,1.0,94.77,94.66,12.018571277830537,0.35611558574836355
5.0,133.1,0.57,10.0,82.17,242.53,92.52768650359012,1.0611559371207315
