level,gas_index,gas,state_name,collision_type_id,collision_type,energy_eV,n_collisions
0,0,"Ar"," ELASTIC ANISOTROPIC       ARGON                  ",0,"elastic",0,0
1,0,"Ar"," IONISATION CHARGE STATE =1      ELOSS=   15.75961",1,"ionisation",15.7596,0
2,0,"Ar"," IONISATION CHARGE STATE =2      ELOSS=   43.38928",1,"ionisation",43.3893,0
3,0,"Ar"," IONISATION CHARGE STATE =3      ELOSS=   84.124  ",1,"ionisation",84.124,0
4,0,"Ar"," IONISATION L3 SHELL             ELOSS=  248.4    ",1,"ionisation",248.4,0
5,0,"Ar"," IONISATION L2 SHELL             ELOSS=  250.6    ",1,"ionisation",250.6,0
6,0,"Ar"," IONISATION L1 SHELL             ELOSS=  326.3    ",1,"ionisation",326.3,0
7,0,"Ar"," ATTACHMENT                                       ",2,"attachment",0,0
8,0,"Ar"," EXC 1S5    J=2 METASTABLE         ELEVEL= 11.548 ",4,"excitation",11.548,0
9,0,"Ar"," EXC 1S4    J=1 RESONANT           ELEVEL= 11.624 ",4,"excitation",11.624,0
10,0,"Ar"," EXC 1S3    J=0 METASTABLE         ELEVEL= 11.723 ",4,"excitation",11.723,0
11,0,"Ar"," EXC 1S2    J=1 RESONANT           ELEVEL= 11.828 ",4,"excitation",11.828,0
12,0,"Ar"," EXC 2P10   J=1                    ELEVEL= 12.907 ",4,"excitation",12.907,0
13,0,"Ar"," EXC 2P9    J=3                    ELEVEL= 13.076 ",4,"excitation",13.076,0
14,0,"Ar"," EXC 2P8    J=2                    ELEVEL= 13.095 ",4,"excitation",13.095,0
15,0,"Ar"," EXC 2P7    J=1                    ELEVEL= 13.153 ",4,"excitation",13.153,0
16,0,"Ar"," EXC 2P6    J=2                    ELEVEL= 13.172 ",4,"excitation",13.172,0
17,0,"Ar"," EXC 2P5    J=0                    ELEVEL= 13.273 ",4,"excitation",13.273,0
18,0,"Ar"," EXC 2P4    J=1                    ELEVEL= 13.283 ",4,"excitation",13.283,0
19,0,"Ar"," EXC 2P3    J=2                    ELEVEL= 13.302 ",4,"excitation",13.302,0
20,0,"Ar"," EXC 2P2    J=1                    ELEVEL= 13.328 ",4,"excitation",13.328,0
21,0,"Ar"," EXC 2P1    J=0                    ELEVEL= 13.480 ",4,"excitation",13.48,0
22,0,"Ar"," EXC 3D6    J=0                    ELEVEL= 13.845 ",4,"excitation",13.845,0
23,0,"Ar"," EXC 3D5    J=1 RESONANT           ELEVEL= 13.864 ",4,"excitation",13.864,0
24,0,"Ar"," EXC 3D3    J=2                    ELEVEL= 13.903 ",4,"excitation",13.903,0
