parameter,tex_name,primary_value,primary_stat_minus,primary_stat_plus,primary_syst_minus,primary_syst_plus,secondary_optimal,secondary_has_rule,secondary_modified
PAr_star_696,"$\mathcal{W}_{\mathrm{Ar}^{**},696\,\mathrm{nm}}$",0.0001790845033765,0.000104264486231,0.019820905529779,1.9074205934649783e-05,2.2354866551082822e-05,0.000358169006753,True,True
tau_CF4_696,"$\tau_{\mathrm{Ar}^{**},696\,\mathrm{nm}}$",28.3,0.0,0.0,0.0,0.0,28.3,False,False
K_Ar_Q_Ar_696,"$K_{\mathrm{Ar}^{**}Q(\mathrm{Ar}),696\,\mathrm{nm}}$",0.0302574664606149,0.0302574664605248,4.128723986629826,0.0003366030509666,0.0004048789229193,0.0302574664606149,False,False
K_Ar_Q_CF4_696,"$K_{\mathrm{Ar}^{**}Q(\mathrm{CF}_4),696\,\mathrm{nm}}$",6.092076655034666,3.7606697306009793,648.0452517813251,0.128771969952985,0.1566819440740801,6.092076655034666,False,False
PAr_star_727,"$\mathcal{W}_{\mathrm{Ar}^{**},727\,\mathrm{nm}}$",1.7715103701780557e-05,5.335408788129399e-06,1.124460890244551e-05,2.2950622302236165e-06,2.2730507382077807e-06,3.5430207403561113e-05,True,True
tau_CF4_727,"$\tau_{\mathrm{Ar}^{**},727\,\mathrm{nm}}$",28.3,0.0,0.0,0.0,0.0,28.3,False,False
K_Ar_Q_Ar_727,"$K_{\mathrm{Ar}^{**}Q(\mathrm{Ar}),727\,\mathrm{nm}}$",0.0152930458815992,0.012073514446625,0.0240455776009594,4.433877650834167e-05,4.123345682408193e-05,0.0152930458815992,False,False
K_Ar_Q_CF4_727,"$K_{\mathrm{Ar}^{**}Q(\mathrm{CF}_4),727\,\mathrm{nm}}$",1.6549623243269913e-62,1.6549614281436539e-62,0.0258045869984308,0.0,1.705202837418721e-15,1.6549623243269913e-62,False,False
PAr_star_750,"$\mathcal{W}_{\mathrm{Ar}^{**},750\,\mathrm{nm}}$",0.0199999999999999,0.0198277862063731,0.0,1.3504019083510066e-10,0.0,0.0399999999999998,True,True
tau_CF4_750,"$\tau_{\mathrm{Ar}^{**},750\,\mathrm{nm}}$",21.7,0.0,0.0,0.0,0.0,21.7,False,False
K_Ar_Q_Ar_750,"$K_{\mathrm{Ar}^{**}Q(\mathrm{Ar}),750\,\mathrm{nm}}$",14.329708347719963,14.221109196648378,1.6264175257926503,1.7682226658480769,2.447706772500016,14.329708347719963,False,False
K_Ar_Q_CF4_750,"$K_{\mathrm{Ar}^{**}Q(\mathrm{CF}_4),750\,\mathrm{nm}}$",57.90680837116734,57.59439082568489,15.3076581215088,7.211942747891044,10.010549375833726,57.90680837116734,False,False
PAr_star_764,"$\mathcal{W}_{\mathrm{Ar}^{**},764\,\mathrm{nm}}$",0.0199999999999999,0.0197951923546404,0.0,5.834475264032689e-11,0.0,0.0399999999999998,True,True
tau_CF4_764,"$\tau_{\mathrm{Ar}^{**},764\,\mathrm{nm}}$",29.4,0.0,0.0,0.0,0.0,29.4,False,False
K_Ar_Q_Ar_764,"$K_{\mathrm{Ar}^{**}Q(\mathrm{Ar}),764\,\mathrm{nm}}$",4.114748822740857,4.08826684507919,0.4264819157059127,0.5736783043181144,0.6277413686920932,4.114748822740857,False,False
K_Ar_Q_CF4_764,"$K_{\mathrm{Ar}^{**}Q(\mathrm{CF}_4),764\,\mathrm{nm}}$",181.4525188688039,179.66915477634882,11.699595978597216,25.363910475256347,27.81104076683698,181.4525188688039,False,False
PAr_star_772,"$\mathcal{W}_{\mathrm{Ar}^{**},772\,\mathrm{nm}}$",0.0015096822670611,0.0012759998612608,0.0184903177329299,0.0002120645946186,0.000214179259022,0.0030193645341222,True,True
tau_CF4_772,"$\tau_{\mathrm{Ar}^{**},772\,\mathrm{nm}}$",28.3,0.0,0.0,0.0,0.0,28.3,False,False
K_Ar_Q_Ar_772,"$K_{\mathrm{Ar}^{**}Q(\mathrm{Ar}),772\,\mathrm{nm}}$",0.1103729520638603,0.1103729520637989,2.0351713853709708,0.0003788556326153,0.0003061951929569,0.1103729520638603,False,False
K_Ar_Q_CF4_772,"$K_{\mathrm{Ar}^{**}Q(\mathrm{CF}_4),772\,\mathrm{nm}}$",72.47981310855506,61.405835604936094,890.5167440728991,0.0476837341089719,0.0652534091420022,72.47981310855506,False,False
