parameter,tex_name,primary_value,primary_stat_minus,primary_stat_plus,primary_syst_minus,primary_syst_plus,secondary_optimal,secondary_has_rule,secondary_modified
Nnorm,$N_{\mathrm{norm}}$,0.0052212855642154,0.0012763609766821,0.0003620645514625,0.0003033026610652,0.0002096746466001,0.0052212855642154,False,False
P_CF3_vis_dir,"$\mathcal{W}_{\mathrm{CF}_3^*,\mathrm{vis}}^{\mathrm{dir}}$",0.1113029221917681,0.0113492949934269,0.0360833836337256,0.0130172778299983,0.0199005604408002,0.08904233775341448,True,True
P_Ar_dbleStar,$\mathcal{W}_{\mathrm{Ar}^{**}}$,0.2547771375909977,0.0049636954278144,0.096336173384505,0.0309198835255012,0.047722525371618,0.3821657063864965,True,True
K_Ar_dbleStar_Q_Ar,"$K_{\mathrm{Ar}^{**},Q(\mathrm{Ar})}\,[\mathrm{ns}^{-1}]$",0.3137017921448999,0.2231545250828522,0.0326826310227784,0.0049158992660115,0.0054056720291431,0.3137017921448999,False,False
K_Ar_dbleStar_Q_CF4,"$K_{\mathrm{Ar}^{**},Q(\mathrm{CF}_4)}\,[\mathrm{ns}^{-1}]$",11.499999999999998,8.200271508909363,0.0,6.500933125153097e-11,0.0,11.499999999999998,False,False
inv_tau_dis_K_relax,$1/(\tau_{\mathrm{dis}}K_{\mathrm{relax}})$,0.0080072755328232,0.0047814879955133,0.0042880703248826,0.0014923820341635,0.0010530521132288,0.0080072755328232,False,False
tau_uv_K_CF4_Q_CF4,"$\tau_{\mathrm{uv}}K_{\mathrm{CF_4}^{+,*}Q(\mathrm{CF}_4)}$",0.065,0.0,0.0,0.0,0.0,0.065,False,False
P_CF4_dir,"$\mathcal{W}_{\mathrm{CF}_4^{+,*}}^{\mathrm{dir}}$",0.1837563604765532,0.0119418806566185,0.0534022287643892,0.0027698450548298,0.0050852749315292,0.0918781802382766,True,True
K_Ar3rd_Q_CF4,"$K_{\mathrm{Ar}^{++},Q(\mathrm{CF}_4)}\,[\mathrm{ns}^{-1}]$",50.05,0.0,0.0,0.0,0.0,50.05,False,False
P_Ar3rd,$\mathcal{W}_{\mathrm{Ar}^{++}}$,0.4094592112131506,0.018480369432187,0.1315086064734418,0.0098497780507338,0.0083474260576716,0.4094592112131506,False,False
P_CF3_uv_dir,$\mathcal{B}r_{\mathrm{UV}}(\mathrm{CF}_3^*)$,5.318725220488037e-25,5.318725220473887e-25,0.0,5.294160400196395e-25,9.620831916791678e-22,0.25,True,True
