parameter,tex_name,primary_value,primary_stat_minus,primary_stat_plus,primary_syst_minus,primary_syst_plus,secondary_optimal,secondary_has_rule,secondary_modified
Nnorm,$N_{\mathrm{norm}}$,0.0127446203549334,0.0036885370015533,0.0008766638219139,0.0004663922926093,0.0003968439334191,0.0127446203549334,False,False
P_N2,$\mathcal{W}_{\mathrm{N}_2^*}$,0.6068901725164795,0.0397384614937649,0.3931098274030383,0.0067858380076388,0.0053854330022685,0.6068901725164795,False,False
tau_N2,"$\tau_{\mathrm{N}_2(C)}\,[\mathrm{ns}]$",37.80718336483932,0.0,0.0,0.0,0.0,37.80718336483932,False,False
K_N2_Q_N2,"$K_{\mathrm{N}_2(C)Q(\mathrm{N}_2)}\,[\mathrm{ns}^{-1}]$",0.2014449648501393,0.0402749810718538,0.0624288688014358,0.0001099888117144,9.989306689112132e-05,0.2014449648501393,False,False
K_N2_Q_Ar,"$K_{\mathrm{N}_2(C)Q(\mathrm{Ar})}\,[\mathrm{ns}^{-1}]$",0.0347792789958676,0.0063962275202488,4.132347242169487e-12,6.325351353808628e-11,4.1122244498481556e-12,0.0347792789958676,False,False
K_ArMeta_Q_N2c,"$K_{\mathrm{Ar}(1s_5)Q(\mathrm{N}_2(C))}\,[\mathrm{ns}^{-1}]$",0.8234919166104352,0.2956827050219317,0.3579284931742214,0.0048511512291812,0.003930703111904,0.8234919166104352,False,False
K_ArMeta_Q_N2b,"$K_{\mathrm{Ar}(1s_5)Q(\mathrm{N}_2(B))}\,[\mathrm{ns}^{-1}]$",0.0195939603078312,3.0783125701261405e-10,0.0003331415127666,3.078312535431671e-10,4.302087672908295e-08,0.0195939603078312,False,False
K_ArMeta_Q_2Ar,"$K_{\mathrm{Ar}(1s_5)Q(2\mathrm{Ar})}\,[\mathrm{ns}^{-1}]$",0.0158599999058003,0.002441251946848,9.417338436845668e-11,6.142400341829779e-08,9.380659443669613e-11,0.0158599999058003,False,False
K_ArRes_Q_N2c,"$K_{\mathrm{Ar}(1s_4)Q(\mathrm{N}_2(C))}\,[\mathrm{ns}^{-1}]$",0.4728940648802401,0.1355022407520457,0.4095365240464796,0.0039145376682684,0.0031175849998389,0.4728940648802401,False,False
K_ArRes_Q_N2b,"$K_{\mathrm{Ar}(1s_4)Q(\mathrm{N}_2(B))}\,[\mathrm{ns}^{-1}]$",0.3673867488374211,1.9400285594273203e-05,1.162578810998127e-09,0.0,1.1625759799294142e-09,0.3673867488374211,False,False
K_ArRes_Q_2Ar,"$K_{\mathrm{Ar}(1s_4)Q(2\mathrm{Ar})}\,[\mathrm{ns}^{-1}]$",0.000462,0.0,3.489533941363257e-05,0.0,2.6363212584116705e-10,0.000462,False,False
P_Ar_dbleStar,$\mathcal{W}_{\mathrm{Ar}^{**}}^*$,1.0149372758008263e-11,9.879452804096874e-12,0.0477603705265307,1.0070924645472263e-11,9.659709506581387e-12,1.0149372758008263e-11,False,False
frac_Ar_dbleStar,$f_{\mathrm{Ar}^{**}}$,0.6352507583101811,0.6166424363868692,0.3647492416898188,0.6327990400106939,0.3647492413144085,0.6352507583101811,False,False
