scope,additive,name,tex_name,value,unit,fixed,reference,description,enabled,status
common,,loschmidt_m3,$N_0$,2.6868e+25,m^-3,True,Loschmidt,Reference density used to convert SI collision coefficients to pressure-normalised rates.,True,active
common,,W_Ar_dbleStar_to_1s,$\mathcal{W}^{0}_{\mathrm{Ar}^{**}\to 1s}$,1.0,dimensionless,True,TFM,Effective feed-down weight from Ar** into the Ar(4s) precursor family.,True,active
common,,tau_Ar_dbleStar_ns,$\tau_{\mathrm{Ar}^{**}}$,30.0,ns,True,TFM,Effective lifetime of the upper argon cascade.,True,active
common,,k_Ar_dbleStar_Q_Ar_m3_s,$k_{\mathrm{Ar}^{**}Q(\mathrm{Ar})}$,1.63e-17,m^3/s,True,TFM mean Ar(4p),Upper-state argon self-quenching coefficient.,True,active
common,,k_Ar_4s_Q_Ar_m3_s,$k_{\mathrm{Ar}(4s)Q(\mathrm{Ar})}$,1.63e-17,m^3/s,True,TFM effective,Effective Ar(4s)+Ar cascade coefficient; currently identified with the tabulated Ar**+Ar mean.,True,active
common,,k_Ar_4s_Q_2Ar_m6_s,$k_{\mathrm{Ar}^*(4s)+2\mathrm{Ar}}$,1e-44,m^6/s,True,TFM,Ternary excimer-formation coefficient.,True,active
common,,f_1Sigma,$f_{1\Sigma}$,0.1,dimensionless,True,TFM,Singlet excimer formation fraction.,True,active
common,,f_3Sigma,$f_{3\Sigma}$,0.9,dimensionless,True,TFM,Triplet excimer formation fraction.,True,active
common,,tau_S_ns,$\tau_{\mathrm{Ar}_2^*(^1\Sigma)}$,11.3,ns,True,Amsler 2008,Singlet excimer lifetime.,True,active
common,,tau_T_ns,$\tau_{\mathrm{Ar}_2^*(^3\Sigma)}$,3140.0,ns,True,Amsler 2008,Triplet excimer lifetime.,True,active
common,,triplet_weight,$w_T$,1.0,dimensionless,True,TFM,Nominal prediction includes singlet and triplet; additive quenching suppresses each branch dynamically.,True,active
common,,scale_Ar2nd,$S_{2nd}$,1.0,dimensionless,True,TFM,Optional global sensitivity scale.,True,active
common,,anchor_Ar2nd_to_pure_argon,$A_{\mathrm{pure}}$,0.0,boolean,True,legacy,Disabled; the absolute yield follows the Degrad populations and kinetic model.,True,active
common,,Y_Ar2nd_pure_ph_MeV,$Y_{\mathrm{Ar2nd}}^{\mathrm{pure}}$,14700.0,ph/MeV,True,legacy,Legacy anchor value retained only for explicit sensitivity studies.,True,active
common,,reference_pressure_bar,$p_{\mathrm{ref}}$,1.1,bar,True,legacy,Reference pressure used only if the optional legacy anchor is enabled.,True,active
common,,reference_additive_fraction,$f_{\mathrm{ref}}$,1e-05,dimensionless,True,legacy,Reference fraction used only if the optional legacy anchor is enabled.,True,active
common,,pure_argon_fraction_threshold,$f_{\mathrm{pure}}^{\mathrm{thr}}$,0.0,dimensionless,True,deprecated,No numerical pure-argon switch is used.,True,active
common,,lambda_Ar2nd_nm,$\lambda_{2nd}$,128.0,nm,True,TFM,Central wavelength of the Ar second continuum.,True,active
common,,fwhm_Ar2nd_nm,$\mathrm{FWHM}_{2nd}$,10.0,nm,True,TFM,Gaussian FWHM used to draw the Ar second-continuum band.,True,active
common,,Br_CF4_D_to_X,$\mathcal{B}r_{D\to X}$,0.1,dimensionless,True,TFM,Effective CF4 ionic VUV branching ratio; retained for spectrum generation.,True,active
common,,lambda_CF4_D_to_X_nm,$\lambda_{D\to X}$,155.0,nm,True,TFM,Central wavelength of the CF4 ionic VUV branch.,True,active
common,,fwhm_CF4_D_to_X_nm,$\mathrm{FWHM}_{D\to X}$,10.0,nm,True,TFM,Gaussian FWHM of the CF4 ionic VUV branch.,True,active
additive,CF4,k_Ar_dbleStar_Q_m3_s,$k_{\mathrm{Ar}^{**}Q(\mathrm{CF}_4)}$,1.8e-16,m^3/s,True,TFM table,Quenching of upper argon states by CF4.,True,active
additive,CF4,k_Ar_4s_Q_m3_s,$k_{\mathrm{Ar}(4s)Q(\mathrm{CF}_4)}$,3e-17,m^3/s,True,TFM table,Quenching of the Ar(4s) precursor family by CF4.,True,active
additive,CF4,k_Ar2star_Q_m3_s,$k_{\mathrm{Ar}_2^*Q(\mathrm{CF}_4)}$,3e-17,m^3/s,True,TFM table,Quenching of singlet and triplet Ar2* by CF4.,True,active
additive,N2,k_Ar_dbleStar_Q_m3_s,$k_{\mathrm{Ar}^{**}Q(\mathrm{N}_2)}$,1.58e-16,m^3/s,True,TFM table,Quenching of upper argon states by N2.,True,active
additive,N2,k_Ar_4s_Q_m3_s,$k_{\mathrm{Ar}(4s)Q(\mathrm{N}_2)}$,3.6e-17,m^3/s,True,TFM table,Quenching of the Ar(4s) precursor family by N2.,True,active
additive,N2,k_Ar2star_Q_m3_s,$k_{\mathrm{Ar}_2^*Q(\mathrm{N}_2)}$,2.24e-18,m^3/s,True,Chen 1979,Quenching of singlet and triplet Ar2* by N2.,True,active
additive,CO2,k_Ar_dbleStar_Q_m3_s,$k_{\mathrm{Ar}^{**}Q(\mathrm{CO2})}$,,m^3/s,True,TO_FILL,Upper-state quenching by additive; fill from literature before enabling.,False,planned
additive,CO2,k_Ar_4s_Q_m3_s,$k_{\mathrm{Ar}(4s)Q(\mathrm{CO2})}$,,m^3/s,True,TO_FILL,Ar(4s) quenching by additive; fill from literature before enabling.,False,planned
additive,CO2,k_Ar2star_Q_m3_s,$k_{\mathrm{Ar}_2^*Q(\mathrm{CO2})}$,,m^3/s,True,TO_FILL,Ar2* quenching by additive; fill from literature before enabling.,False,planned
additive,CH4,k_Ar_dbleStar_Q_m3_s,$k_{\mathrm{Ar}^{**}Q(\mathrm{CH4})}$,,m^3/s,True,TO_FILL,Upper-state quenching by additive; fill from literature before enabling.,False,planned
additive,CH4,k_Ar_4s_Q_m3_s,$k_{\mathrm{Ar}(4s)Q(\mathrm{CH4})}$,,m^3/s,True,TO_FILL,Ar(4s) quenching by additive; fill from literature before enabling.,False,planned
