,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
Nnorm,1.0,-0.9503724163485993,-0.9475329475715064,-0.04065288759220198,-0.03263465032118019,0.7703575744478183,,-0.957912190131791,,-0.8350887547858687,-0.013176550320706245
P_CF3_vis_dir,-0.9503724163485993,1.0,0.9590108127276558,-0.013551591445446846,-0.012955259853899866,-0.6966453607339377,,0.9824990576099677,,0.8885250012131805,-0.011726934742967243
P_Ar_dbleStar,-0.9475329475715064,0.9590108127276558,1.0,0.017158754937958112,-0.034202535707916225,-0.722212708611608,,0.9777918545114023,,0.8597279598962461,-0.01660544141145013
K_Ar_dbleStar_Q_Ar,-0.04065288759220198,-0.013551591445446846,0.017158754937958112,1.0,0.9520043667285528,0.0886167436343683,,-0.002415373539490869,,0.03657786860232669,0.021310435620643112
K_Ar_dbleStar_Q_CF4,-0.03263465032118019,-0.012955259853899866,-0.034202535707916225,0.9520043667285528,1.0,0.11289640451782088,,-0.0036461056588647763,,0.04155496171831019,0.06038849970627699
inv_tau_dis_K_relax,0.7703575744478183,-0.6966453607339377,-0.722212708611608,0.0886167436343683,0.11289640451782088,1.0,,-0.7047540970809727,,-0.39641296217166105,-0.04132671495950853
tau_uv_K_CF4_Q_CF4,,,,,,,,,,,
P_CF4_dir,-0.957912190131791,0.9824990576099677,0.9777918545114023,-0.002415373539490869,-0.0036461056588647763,-0.7047540970809727,,1.0,,0.8870399009082459,-0.010671433879430493
K_Ar3rd_Q_CF4,,,,,,,,,1.0,,
P_Ar3rd,-0.8350887547858687,0.8885250012131805,0.8597279598962461,0.03657786860232669,0.04155496171831019,-0.39641296217166105,,0.8870399009082459,,1.0,0.036591916434443775
P_CF3_uv_dir,-0.013176550320706245,-0.011726934742967243,-0.01660544141145013,0.021310435620643112,0.06038849970627699,-0.04132671495950853,,-0.010671433879430493,,0.036591916434443775,1.0
