,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
Nnorm,1.0,-0.4600408137007875,-0.4433489330478224,0.06332592623512635,-0.03543411697493763,0.9999310532154494,,-0.9892793485490036,,0.9932182356925603,0.04373968115844482
P_CF3_vis_dir,-0.4600408137007875,1.0,0.9998239814829718,-0.8978932872758169,-0.10374177832043639,-0.45942855303629265,,0.4617555089206801,,-0.45159752585924584,0.10075921975763717
P_Ar_dbleStar,-0.4433489330478224,0.9998239814829718,1.0,-0.9051593336101166,-0.10550660647010493,-0.4427461587815995,,0.44509974062837154,,-0.4351316919081676,0.10273584249503831
K_Ar_dbleStar_Q_Ar,0.06332592623512635,-0.8978932872758169,-0.9051593336101166,1.0,0.06536318746305653,0.06292584427228089,,-0.0665762189735722,,0.0597435116924471,-0.1310121810747517
K_Ar_dbleStar_Q_CF4,-0.03543411697493763,-0.10374177832043639,-0.10550660647010493,0.06536318746305653,1.0,-0.035043919468534954,,0.04172115322396488,,-0.02993033525856047,-0.029203988281998747
inv_tau_dis_K_relax,0.9999310532154494,-0.45942855303629265,-0.4427461587815995,0.06292584427228089,-0.035043919468534954,1.0,,-0.9877512453261466,,0.9943529968923134,0.043617168743683335
tau_uv_K_CF4_Q_CF4,,,,,,,,,,,
P_CF4_dir,-0.9892793485490036,0.4617555089206801,0.44509974062837154,-0.0665762189735722,0.04172115322396488,-0.9877512453261466,,1.0,,-0.9656222330359403,-0.052217296871376224
K_Ar3rd_Q_CF4,,,,,,,,,1.0,,
P_Ar3rd,0.9932182356925603,-0.45159752585924584,-0.4351316919081676,0.0597435116924471,-0.02993033525856047,0.9943529968923134,,-0.9656222330359403,,1.0,0.03683829835475775
P_CF3_uv_dir,0.04373968115844482,0.10075921975763717,0.10273584249503831,-0.1310121810747517,-0.029203988281998747,0.043617168743683335,,-0.052217296871376224,,0.03683829835475775,1.0
