,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
Nnorm,7.922364771984342e-07,-2.2083983521105854e-05,-5.0690851225856896e-05,-3.1291441668065792e-06,-8.649678470266731e-05,3.3131110719709e-06,0.0,-3.554046365291657e-05,-2.178829836074449e-33,-5.9751638071644726e-05,-3.9121664622439434e-17
P_CF3_vis_dir,-2.2083983521105854e-05,0.0006815729535256658,0.0015048302905471234,-3.0595195321618384e-05,-0.0010071540081758325,-8.78788054262298e-05,0.0,0.0010691983708939101,-4.263036204982236e-31,0.0018647284178467474,-1.0212424665741309e-15
P_Ar_dbleStar,-5.0690851225856896e-05,0.0015048302905471234,0.003612565192369888,8.918675735725263e-05,-0.006121526508011088,-0.00020974383004776205,0.0,0.0024497639159875586,7.888609052210118e-31,0.004153925089810774,-3.329250353541361e-15
K_Ar_dbleStar_Q_Ar,-3.1291441668065792e-06,-3.0595195321618384e-05,8.918675735725263e-05,0.007478483019604374,0.24515416686606095,3.702872551517231e-05,0.0,-8.706849386714806e-06,-1.6733413141051766e-31,0.00025428158758287366,6.1473404647058694e-15
K_Ar_dbleStar_Q_CF4,-8.649678470266731e-05,-0.0010071540081758325,-0.006121526508011088,0.24515416686606095,8.867213511027604,0.0016243885334231924,0.0,-0.0004525773387960998,1.8486437374876238e-29,0.009947323277882694,5.998408056265053e-13
inv_tau_dis_K_relax,3.3131110719709e-06,-8.78788054262298e-05,-0.00020974383004776205,3.702872551517231e-05,0.0016243885334231924,2.3347073075665316e-05,0.0,-0.00014194621037824117,-2.4900912412279415e-32,-0.00015397628282851506,-6.660936438376773e-16
tau_uv_K_CF4_Q_CF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CF4_dir,-3.554046365291657e-05,0.0010691983708939101,0.0024497639159875586,-8.706849386714806e-06,-0.0004525773387960998,-0.00014194621037824117,0.0,0.0017375605333196196,2.2311217521402358e-31,0.002972370143618069,-1.4838190173457176e-15
K_Ar3rd_Q_CF4,-2.178829836074449e-33,-4.263036204982236e-31,7.888609052210118e-31,-1.6733413141051766e-31,1.8486437374876238e-29,-2.4900912412279415e-32,0.0,2.2311217521402358e-31,2.0398827448139296e-28,7.968291971929413e-32,1.826274071323689e-42
P_Ar3rd,-5.9751638071644726e-05,0.0018647284178467474,0.004153925089810774,0.00025428158758287366,0.009947323277882694,-0.00015397628282851506,0.0,0.002972370143618069,7.968291971929413e-32,0.0064621870646645796,9.812125664461165e-15
P_CF3_uv_dir,-3.9121664622439434e-17,-1.0212424665741309e-15,-3.329250353541361e-15,6.1473404647058694e-15,5.998408056265053e-13,-6.660936438376773e-16,0.0,-1.4838190173457176e-15,1.826274071323689e-42,9.812125664461165e-15,1.1126955896509197e-23
