,Nnorm,P_CF3_vis_dir,P_Ar_dbleStar,K_Ar_dbleStar_Q_Ar,K_Ar_dbleStar_Q_CF4,inv_tau_dis_K_relax,tau_uv_K_CF4_Q_CF4,P_CF4_dir,K_Ar3rd_Q_CF4,P_Ar3rd,P_CF3_uv_dir
Nnorm,7.124859338117521e-08,-1.7612545634689964e-06,-4.062736977412314e-06,9.039818670265381e-08,-1.4625636388846447e-14,3.530937100256487e-07,0.0,-1.0331838170991062e-06,-1.2450456206139708e-34,2.6288379201520844e-06,1.6125973043922924e-20
P_CF3_vis_dir,-1.7612545634689964e-06,0.0002057193967622516,0.0004923183942085314,-6.887353383608703e-05,-2.3008615495903566e-12,-8.717408182110946e-06,0.0,2.5913150127117837e-05,-2.888505839824412e-31,-6.422737219698204e-05,1.9961105320484226e-18
P_Ar_dbleStar,-4.062736977412314e-06,0.0004923183942085314,0.0011786090832816406,-0.00016618810927998892,-5.600976682652576e-12,-2.0108120165817673e-05,0.0,5.978782266463844e-05,-8.765121169122354e-32,-0.00014812780449341217,4.871571127503915e-18
K_Ar_dbleStar_Q_Ar,9.039818670265381e-08,-6.887353383608703e-05,-0.00016618810927998892,2.8600922550091974e-05,5.405343025516633e-13,4.4519558639880695e-07,0.0,-1.393091532318703e-06,-6.9324140155785894e-31,3.1681938472764748e-06,-9.677515308073115e-19
K_Ar_dbleStar_Q_CF4,-1.4625636388846447e-14,-2.3008615495903566e-12,-5.600976682652576e-12,5.405343025516633e-13,2.391112164106756e-18,-7.168843304962121e-14,0.0,2.524238919572295e-13,-1.1984311125781837e-29,-4.589317967473403e-13,-6.237364970414696e-26
inv_tau_dis_K_relax,3.530937100256487e-07,-8.717408182110946e-06,-2.0108120165817673e-05,4.4519558639880695e-07,-7.168843304962121e-14,1.7501027855334116e-06,0.0,-5.11269480039358e-06,-1.1205410585525736e-33,1.3043776347490347e-05,7.969873325178973e-20
tau_uv_K_CF4_Q_CF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P_CF4_dir,-1.0331838170991062e-06,2.5913150127117837e-05,5.978782266463844e-05,-1.393091532318703e-06,2.524238919572295e-13,-5.11269480039358e-06,0.0,1.5308795061466736e-05,-8.765121169122354e-32,-3.746353375469782e-05,-2.821935349135174e-19
K_Ar3rd_Q_CF4,-1.2450456206139708e-34,-2.888505839824412e-31,-8.765121169122354e-32,-6.9324140155785894e-31,-1.1984311125781837e-29,-1.1205410585525736e-33,0.0,-8.765121169122354e-32,2.0398827448139296e-28,1.5139754746665884e-30,1.5782300886082536e-45
P_Ar3rd,2.6288379201520844e-06,-6.422737219698204e-05,-0.00014812780449341217,3.1681938472764748e-06,-4.589317967473403e-13,1.3043776347490347e-05,0.0,-3.746353375469782e-05,1.5139754746665884e-30,9.832454769113608e-05,5.045366378183806e-19
P_CF3_uv_dir,1.6125973043922924e-20,1.9961105320484226e-18,4.871571127503915e-18,-9.677515308073115e-19,-6.237364970414696e-26,7.969873325178973e-20,0.0,-2.821935349135174e-19,1.5782300886082536e-45,5.045366378183806e-19,1.9077626345020095e-30
