,PAr_star_696,tau_joint_696,K_Ar_Q_Ar_696,K_Ar_Q_CF4_696,K_Ar_Q_N2_696,PAr_star_727,tau_joint_727,K_Ar_Q_Ar_727,K_Ar_Q_CF4_727,K_Ar_Q_N2_727,PAr_star_750,tau_joint_750,K_Ar_Q_Ar_750,K_Ar_Q_CF4_750,K_Ar_Q_N2_750,PAr_star_764,tau_joint_764,K_Ar_Q_Ar_764,K_Ar_Q_CF4_764,K_Ar_Q_N2_764,PAr_star_772,tau_joint_772,K_Ar_Q_Ar_772,K_Ar_Q_CF4_772,K_Ar_Q_N2_772
PAr_star_696,1.0,,0.9543534300232429,0.9730595028074648,0.9713367305890813,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
tau_joint_696,,1.0,,,,,,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_696,0.9543534300232429,,1.0,0.8975933546268954,0.8957710310487245,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_CF4_696,0.9730595028074648,,0.8975933546268954,1.0,0.9560371506319364,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_N2_696,0.9713367305890811,,0.8957710310487245,0.9560371506319364,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
PAr_star_727,0.0,,0.0,0.0,0.0,1.0,,0.9836420149874561,0.973451785322746,0.9963200339233643,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
tau_joint_727,,,,,,,1.0,,,,,,,,,,,,,,,,,,
K_Ar_Q_Ar_727,0.0,,0.0,0.0,0.0,0.9836420149874561,,1.0,0.9567489127092824,0.975545942781721,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_CF4_727,0.0,,0.0,0.0,0.0,0.973451785322746,,0.9567489127092824,1.0,0.9699770024514754,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_N2_727,0.0,,0.0,0.0,0.0,0.9963200339233643,,0.975545942781721,0.9699770024514758,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
PAr_star_750,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.9999864643515012,0.9999328570281906,0.9998127792943318,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
tau_joint_750,,,,,,,,,,,,1.0,,,,,,,,,,,,,
K_Ar_Q_Ar_750,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9999864643515012,,1.0,0.9998909371943893,0.9997432137095893,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_CF4_750,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9999328570281906,,0.9998909371943893,1.0,0.9998044010729477,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
K_Ar_Q_N2_750,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9998127792943318,,0.9997432137095892,0.9998044010729477,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
PAr_star_764,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.9998753226601788,0.9999260943981197,0.9999208668440044,0.0,,0.0,0.0,0.0
tau_joint_764,,,,,,,,,,,,,,,,,1.0,,,,,,,,
K_Ar_Q_Ar_764,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9998753226601785,,1.0,0.9997457822950713,0.9997255571837677,0.0,,0.0,0.0,0.0
K_Ar_Q_CF4_764,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9999260943981195,,0.9997457822950713,1.0,0.9998627320134107,0.0,,0.0,0.0,0.0
K_Ar_Q_N2_764,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9999208668440044,,0.9997255571837679,0.9998627320134108,1.0,0.0,,0.0,0.0,0.0
PAr_star_772,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.9865374642019124,0.9967139550296533,0.9958237316145083
tau_joint_772,,,,,,,,,,,,,,,,,,,,,,1.0,,,
K_Ar_Q_Ar_772,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9865374642019126,,1.0,0.9803728596156295,0.976996417569729
K_Ar_Q_CF4_772,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9967139550296537,,0.9803728596156295,1.0,0.9931438641476144
K_Ar_Q_N2_772,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.9958237316145084,,0.976996417569729,0.9931438641476145,1.0
