,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,727421198.717891,-34639303260.70457,,183.81140998199322,85.4902612155338,18077183595.57063,48550723357.67136,1253393255.2143126,-26488900044.20431,27381495098.084785,490783.4658659701,-146.40973206414216,0.0
P_N2,-34639303260.70457,1649500086747.4817,,-8752.94515652218,-4070.988945248447,-860823136147.073,-2311952458570.931,-59685733990.100044,1261383421075.4893,-1303888194692.8867,-23370777.17504047,6971.967601954264,0.0
tau_N2,,,,,,,,,,,,,
K_N2_Q_N2,183.8114099819932,-8752.94515652218,,0.010405591598783232,-0.00025306586226135245,27561.605502861992,12815.418884097397,759.5648280077255,-7407.654751058524,6364.1955170640995,-0.5737301211451298,0.01260689134196402,0.0
K_N2_Q_Ar,85.4902612155338,-4070.988945248447,,-0.0002530658622613524,0.00015857217835724602,4186.037338053721,5754.977267933167,187.00868997919815,-3124.8997551792386,3208.85107205587,0.046159802197711666,-0.0005154536422045427,0.0
K_ArMeta_Q_N2c,18077183595.570625,-860823136147.0729,,27561.605502861996,4186.037338053721,3494790416297.327,1279002549124.3064,89803815147.63457,-626329642611.32,705277869356.3589,43408680.721641555,-14541.148427671751,0.0
K_ArMeta_Q_N2b,48550723357.67135,-2311952458570.931,,12815.418884097397,5754.977267933167,1279002549124.3062,3242175236589.9194,85051654919.72496,-1767204899069.4827,1828130614057.9053,33499324.021413226,-10031.23494263911,0.0
K_ArMeta_Q_2Ar,1253393255.2143128,-59685733990.10005,,759.5648280077255,187.00868997919815,89803815147.63457,85051654919.72498,3289352514.5031195,-45026778515.651695,47658065262.99536,1446781.3742619227,-462.2539190439584,0.0
K_ArRes_Q_N2c,-26488900044.204308,1261383421075.489,,-7407.654751058524,-3124.899755179238,-626329642611.32,-1767204899069.4824,-45026778515.65169,966221025031.9537,-995823183130.1766,-16276433.794098182,2822.0241010164477,0.0
K_ArRes_Q_N2b,27381495098.084785,-1303888194692.887,,6364.1955170640995,3208.85107205587,705277869356.3589,1828130614057.9053,47658065262.99535,-995823183130.1768,1031676239062.8982,19713391.50021886,-7460.616206931867,0.0
K_ArRes_Q_2Ar,490783.4658659701,-23370777.17504047,,-0.5737301211451299,0.04615980219771166,43408680.721641555,33499324.021413226,1446781.3742619224,-16276433.794098182,19713391.50021886,1889.7570536318956,-2.5504608645108777,0.0
P_Ar_dbleStar,-146.40973206414216,6971.967601954264,,0.012606891341964022,-0.0005154536422045427,-14541.148427671751,-10031.234942639112,-462.2539190439584,2822.0241010164486,-7460.616206931867,-2.550460864510878,0.01935812052083691,0.0
frac_Ar_dbleStar,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
