,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,1.0,-0.4829782423402129,,0.32501549416470493,0.285724673597105,-0.37033533848340705,0.06837311014549112,0.09019951392404518,-0.704729890543384,0.05014481318783927,0.20567612145936479,-0.5031909054006474,-0.3244675202202779
P_N2,-0.4829782423402129,1.0,,0.6524030446041126,-0.04580027236954705,-0.14480812735032206,0.06261645727450658,-0.008858679541806327,0.4993481737873327,0.05329455997388928,-0.005959403187793213,0.8977358028288551,0.4646623116068553
tau_N2,,,1.0,,,,,,,,,,
K_N2_Q_N2,0.32501549416470493,0.6524030446041126,,1.0,0.2170840734550846,-0.47628347233156204,0.16459642634507043,0.027063170948987064,-0.06365918744382024,0.06418429812707446,0.1918985174521988,0.5208057311577887,0.24161774025514124
K_N2_Q_Ar,0.285724673597105,-0.04580027236954705,,0.2170840734550846,1.0,0.0941254548381146,0.10692791949439298,-0.20065994452263675,0.21434981479332577,-0.1144991018366707,0.00981936742825633,-0.05463070923926556,-0.165786826611102
K_ArMeta_Q_N2c,-0.37033533848340705,-0.14480812735032206,,-0.47628347233156204,0.0941254548381146,1.0,-0.37843418821674984,0.10193518007008771,0.18735621611833686,0.25902659372296033,-0.33050306815494807,-0.17353646701862172,0.09082291649678027
K_ArMeta_Q_N2b,0.06837311014549112,0.06261645727450658,,0.16459642634507043,0.10692791949439298,-0.37843418821674984,1.0,-0.6572283129897424,0.0004555409241987111,-0.5572656302670526,0.4585769169309909,0.08044452912750658,-0.18269599960230434
K_ArMeta_Q_2Ar,0.09019951392404518,-0.008858679541806327,,0.027063170948987064,-0.20065994452263675,0.10193518007008771,-0.6572283129897424,1.0,-0.06759646592668062,0.37759060842827435,-0.2759288747446298,-0.0627450614889304,0.23772552634117267
K_ArRes_Q_N2c,-0.704729890543384,0.4993481737873327,,-0.06365918744382024,0.21434981479332577,0.18735621611833686,0.0004555409241987111,-0.06759646592668062,1.0,-0.19364163862139672,0.016656281472440568,0.40592139890604717,0.22349239187466927
K_ArRes_Q_N2b,0.05014481318783927,0.05329455997388928,,0.06418429812707446,-0.1144991018366707,0.25902659372296033,-0.5572656302670526,0.37759060842827435,-0.19364163862139672,1.0,-0.5715670503796126,0.14629403187644044,0.14270168055926952
K_ArRes_Q_2Ar,0.20567612145936479,-0.005959403187793213,,0.1918985174521988,0.00981936742825633,-0.33050306815494807,0.4585769169309909,-0.2759288747446298,0.016656281472440568,-0.5715670503796126,1.0,-0.1783631892938175,-0.16353427623264577
P_Ar_dbleStar,-0.5031909054006474,0.8977358028288551,,0.5208057311577887,-0.05463070923926556,-0.17353646701862172,0.08044452912750658,-0.0627450614889304,0.40592139890604717,0.14629403187644044,-0.1783631892938175,1.0,0.40391057449497275
frac_Ar_dbleStar,-0.3244675202202779,0.4646623116068553,,0.24161774025514124,-0.165786826611102,0.09082291649678027,-0.18269599960230434,0.23772552634117267,0.22349239187466927,0.14270168055926952,-0.16353427623264577,0.40391057449497275,1.0
