,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,1.0,0.9986794022498391,,0.8338432731712582,0.1450365918536018,0.9691305497318374,-0.08462710177243665,0.20503334014160718,0.9971471256452559,0.1136513153288604,-0.08097312233850468,-0.11491311752822529,0.012111343617896337
P_N2,0.9986794022498391,1.0,,0.8298666694177933,0.1396611079837713,0.9738857419376452,-0.06173213880495362,0.1963777215274814,0.9990488413487746,0.1145890586930701,-0.07508190428065116,-0.11438714211111965,0.012627474383914221
tau_N2,,,1.0,,,,,,,,,,
K_N2_Q_N2,0.8338432731712582,0.8298666694177933,,1.0,0.26925077830959865,0.6858556338135833,-0.36232130954495867,0.08439583566612874,0.8057515759319239,0.05518933937120972,-0.07761521209162117,-0.0653852812299916,0.009380463814640244
K_N2_Q_Ar,0.1450365918536018,0.1396611079837713,,0.26925077830959865,1.0,0.08555018607912582,-0.22993998996019582,0.7159564249933524,0.1256990634936467,0.9253990284636262,-0.109746176620215,-0.2835387492644964,-0.09108472696690079
K_ArMeta_Q_N2c,0.9691305497318374,0.9738857419376452,,0.6858556338135833,0.08555018607912582,1.0,0.10008475840797469,0.22344956450382966,0.9826922416029502,0.14318549566011396,-0.05748579221323729,-0.1367370643005907,0.014040056605823767
K_ArMeta_Q_N2b,-0.08462710177243665,-0.06173213880495362,,-0.36232130954495867,-0.22993998996019582,0.10008475840797469,1.0,-0.014819050068305138,-0.03001593909543976,0.021042434477192853,-0.0025746783152257487,-0.10414266147679042,0.05398535375245955
K_ArMeta_Q_2Ar,0.20503334014160718,0.1963777215274814,,0.08439583566612874,0.7159564249933524,0.22344956450382966,-0.014819050068305138,1.0,0.19838322479905562,0.7151143008983559,-0.3865126719189018,-0.2410322165326167,-0.10453539779052716
K_ArRes_Q_N2c,0.9971471256452559,0.9990488413487746,,0.8057515759319239,0.1256990634936467,0.9826922416029502,-0.03001593909543976,0.19838322479905562,1.0,0.1160166702680989,-0.07504870302698459,-0.11758850229934657,0.013750676000461138
K_ArRes_Q_N2b,0.1136513153288604,0.1145890586930701,,0.05518933937120972,0.9253990284636262,0.14318549566011396,0.021042434477192853,0.7151143008983559,0.1160166702680989,1.0,0.015155479183275538,-0.30983453526180965,-0.07112950044895236
K_ArRes_Q_2Ar,-0.08097312233850468,-0.07508190428065116,,-0.07761521209162117,-0.109746176620215,-0.05748579221323729,-0.0025746783152257487,-0.3865126719189018,-0.07504870302698459,0.015155479183275538,1.0,-0.06523635001089527,0.08999630501754442
P_Ar_dbleStar,-0.11491311752822529,-0.11438714211111965,,-0.0653852812299916,-0.2835387492644964,-0.1367370643005907,-0.10414266147679042,-0.2410322165326167,-0.11758850229934657,-0.30983453526180965,-0.06523635001089527,1.0,0.08497832511741793
frac_Ar_dbleStar,0.012111343617896337,0.012627474383914221,,0.009380463814640244,-0.09108472696690079,0.014040056605823767,0.05398535375245955,-0.10453539779052716,0.013750676000461138,-0.07112950044895236,0.08999630501754442,0.08497832511741793,1.0
