,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,4.9697879368613975e-06,-0.0002085227837033292,-9.835860402850369e-33,3.88105160258574e-05,2.6915200190813464e-06,-0.0002288479798000582,2.5303487972714864e-06,5.560320182373858e-07,-0.0004069812679891853,3.9046031356483985e-06,5.528452893634878e-08,-2.911266809044708e-05,-0.0003018512904078463
P_N2,-0.0002085227837033292,0.03750714755300404,3.027950949333177e-31,0.006767829682075746,-3.748055554979833e-05,-0.007773792681386431,0.00020131291500879184,-4.74408743466876e-06,0.025052050819366792,0.00036051376506174206,-1.3915877533137177e-07,0.004512174235514953,0.03755323417695103
tau_N2,-9.835860402850369e-33,3.027950949333177e-31,5.099706862034824e-29,4.7809751831576474e-32,1.1205410585525737e-32,5.498121460631295e-31,4.880578832806765e-32,-2.4900912412279416e-33,6.773048176140001e-31,-8.28702365080659e-31,1.606887004104906e-33,-1.2201447082016913e-32,-7.968291971929413e-31
K_N2_Q_N2,3.88105160258574e-05,0.006767829682075746,4.7809751831576474e-32,0.0028691473078062977,4.91343625174672e-05,-0.0070717179826360966,0.00014636018559217813,4.008498990210648e-06,-0.0008833245761953039,0.00012008456019817062,1.2393639326264113e-06,0.000723989845736974,0.005400800308335373
K_N2_Q_Ar,2.6915200190813464e-06,-3.748055554979833e-05,1.1205410585525737e-32,4.91343625174672e-05,1.7855083298956502e-05,0.00011024807791705386,7.500637618489077e-06,-2.344597527478592e-06,0.00023463178929113875,-1.6899154344145848e-05,5.002824431285368e-09,-5.990982847973811e-06,-0.0002923370346197625
K_ArMeta_Q_N2c,-0.0002288479798000582,-0.007773792681386431,5.498121460631295e-31,-0.0070717179826360966,0.00011024807791705386,0.0768362209945619,-0.0017414038059063218,7.813286823659821e-05,0.01345345730501314,0.0025078947435678346,-1.104610849790653e-05,-0.0012484008254890896,0.010505853021110099
K_ArMeta_Q_N2b,2.5303487972714864e-06,0.00020131291500879184,4.880578832806765e-32,0.00014636018559217813,7.500637618489077e-06,-0.0017414038059063218,0.00027558289188831116,-3.0169566184882332e-05,1.959008519791593e-06,-0.000323124833967944,9.178868064230874e-07,3.46579553339184e-05,-0.0012656337367824208
K_ArMeta_Q_2Ar,5.560320182373858e-07,-4.74408743466876e-06,-2.4900912412279416e-33,4.008498990210648e-06,-2.344597527478592e-06,7.813286823659821e-05,-3.0169566184882332e-05,7.646335487057601e-06,-4.842096772974889e-05,3.646950011782819e-05,-9.199720540999288e-08,-4.502840056969451e-06,0.00027431867251863324
K_ArRes_Q_N2c,-0.0004069812679891853,0.025052050819366792,6.773048176140001e-31,-0.0008833245761953039,0.00023463178929113875,0.01345345730501314,1.959008519791593e-06,-4.842096772974889e-05,0.0671066561929109,-0.0017521186035094458,5.202494881306665e-07,0.0027290094737772662,0.024160082971783674
K_ArRes_Q_N2b,3.9046031356483985e-06,0.00036051376506174206,-8.28702365080659e-31,0.00012008456019817062,-1.6899154344145848e-05,0.0025078947435678346,-0.000323124833967944,3.646950011782819e-05,-0.0017521186035094458,0.0012200114438411067,-2.407132228390105e-06,0.00013261384239761072,0.002080002793682
K_ArRes_Q_2Ar,5.528452893634878e-08,-1.3915877533137177e-07,1.606887004104906e-33,1.2393639326264113e-06,5.002824431285368e-09,-1.104610849790653e-05,9.178868064230874e-07,-9.199720540999288e-08,5.202494881306665e-07,-2.407132228390105e-06,1.4537898129024555e-08,-5.581312469207776e-07,-8.228344802771285e-06
P_Ar_dbleStar,-2.911266809044708e-05,0.004512174235514953,-1.2201447082016913e-32,0.000723989845736974,-5.990982847973811e-06,-0.0012484008254890896,3.46579553339184e-05,-4.502840056969451e-06,0.0027290094737772662,0.00013261384239761072,-5.581312469207776e-07,0.0006735356602103684,0.004374399051993709
frac_Ar_dbleStar,-0.0003018512904078463,0.03755323417695103,-7.968291971929413e-31,0.005400800308335373,-0.0002923370346197625,0.010505853021110099,-0.0012656337367824208,0.00027431867251863324,0.024160082971783674,0.002080002793682,-8.228344802771285e-06,0.004374399051993709,0.17414289366603075
