,Nnorm,P_N2,tau_N2,K_N2_Q_N2,K_N2_Q_Ar,K_ArMeta_Q_N2c,K_ArMeta_Q_N2b,K_ArMeta_Q_2Ar,K_ArRes_Q_N2c,K_ArRes_Q_N2b,K_ArRes_Q_2Ar,P_Ar_dbleStar,frac_Ar_dbleStar
Nnorm,1.9109604250210284e-07,2.6941315027289132e-06,-1.0831896899341546e-32,4.270996185629506e-08,2.2290705192415327e-12,1.8219903080390036e-06,-1.3719047556942612e-11,9.7342607281261e-11,1.5507608445383941e-06,1.1443415684345372e-11,-6.643482938536338e-13,-1.0920229293982555e-15,2.3399485305631353e-06
P_N2,2.6941315027289132e-06,3.808322353435421e-05,-7.012096935297883e-31,6.000591748126816e-07,3.030140106377741e-11,2.5847157575877282e-05,-1.4127548995993594e-10,1.316169155698545e-09,2.193377125926594e-05,1.6287910113682291e-10,-8.696234079467308e-12,-1.5345476002432187e-14,3.444066111016578e-05
tau_N2,-1.0831896899341546e-32,-7.012096935297883e-31,5.099706862034824e-29,-1.872548613403412e-31,2.9881094894735296e-33,-3.107633869052471e-31,2.2410821171051472e-33,7.968291971929413e-33,-5.97621897894706e-31,-3.745097226806824e-31,7.3535506967512645e-34,7.189142376004363e-42,1.1075925840981884e-30
K_N2_Q_N2,4.270996185629506e-08,6.000591748126816e-07,-1.872548613403412e-31,1.3728965538994863e-08,1.1091652389691187e-12,3.456125861401914e-07,-1.5743505202099817e-11,1.0739710296442966e-11,3.358766474804793e-07,1.4894621247280272e-12,-1.7068479992165042e-13,-1.6654638380456053e-16,4.857707403920445e-07
K_N2_Q_Ar,2.2290705192415327e-12,3.030140106377741e-11,2.9881094894735296e-33,1.1091652389691187e-12,1.236063411800089e-15,1.2935382223058431e-11,-2.997944101658984e-15,2.733755108507996e-14,1.5722157995382442e-11,7.49384620717842e-15,-7.241672262365732e-17,-2.167050832935047e-19,-1.415318126201294e-09
K_ArMeta_Q_N2c,1.8219903080390036e-06,2.5847157575877282e-05,-3.107633869052471e-31,3.456125861401914e-07,1.2935382223058431e-11,1.8495916826916624e-05,1.596226528374362e-10,1.0436865473269717e-09,1.5035407315086067e-05,1.418379090303289e-10,-4.640102177173324e-12,-1.2783815298069684e-14,2.6686703037976212e-05
K_ArMeta_Q_N2b,-1.3719047556942612e-11,-1.4127548995993594e-10,2.2410821171051472e-33,-1.5743505202099817e-11,-2.997944101658984e-15,1.596226528374362e-10,1.3752361959109321e-13,-5.968451288207381e-15,-3.9600468256478015e-11,1.7973803617912372e-15,-1.7920111763594812e-17,-8.395636430919661e-19,8.848155185678584e-09
K_ArMeta_Q_2Ar,9.7342607281261e-11,1.316169155698545e-09,7.968291971929413e-33,1.0739710296442966e-11,2.733755108507996e-14,1.0436865473269717e-09,-5.968451288207381e-15,1.1795199270116828e-12,7.665091180504807e-10,1.78888929632202e-13,-7.878535014311067e-15,-5.690678357905265e-18,-5.017693734006803e-08
K_ArRes_Q_N2c,1.5507608445383941e-06,2.193377125926594e-05,-5.97621897894706e-31,3.358766474804793e-07,1.5722157995382442e-11,1.5035407315086067e-05,-3.9600468256478015e-11,7.665091180504807e-10,1.2656670595415383e-05,9.506824935620909e-11,-5.011087905091353e-12,-9.094124623683565e-15,2.1620807997234014e-05
K_ArRes_Q_N2b,1.1443415684345372e-11,1.6287910113682291e-10,-3.745097226806824e-31,1.4894621247280272e-12,7.49384620717842e-15,1.418379090303289e-10,1.7973803617912372e-15,1.78888929632202e-13,9.506824935620909e-11,5.305309470613534e-14,6.551701838286686e-17,-1.5513917913416153e-18,-7.240911710719212e-09
K_ArRes_Q_2Ar,-6.643482938536338e-13,-8.696234079467308e-12,7.3535506967512645e-34,-1.7068479992165042e-13,-7.241672262365732e-17,-4.640102177173324e-12,-1.7920111763594812e-17,-7.878535014311067e-15,-5.011087905091353e-12,6.551701838286686e-17,3.5225582441195374e-16,-2.661675146729179e-20,7.465207824997726e-10
P_Ar_dbleStar,-1.0920229293982555e-15,-1.5345476002432187e-14,7.189142376004363e-42,-1.6654638380456053e-16,-2.167050832935047e-19,-1.2783815298069684e-14,-8.395636430919661e-19,-5.690678357905265e-18,-9.094124623683565e-15,-1.5513917913416153e-18,-2.661675146729179e-20,4.725770291231812e-22,8.164556584672319e-13
frac_Ar_dbleStar,2.3399485305631353e-06,3.444066111016578e-05,1.1075925840981884e-30,4.857707403920445e-07,-1.415318126201294e-09,2.6686703037976212e-05,8.848155185678584e-09,-5.017693734006803e-08,2.1620807997234014e-05,-7.240911710719212e-09,7.465207824997726e-10,8.164556584672319e-13,0.19533328983571982
