mixture_id,status,model_id,scope,additive,parameter,unit,required,available,ready
ArCF4,active,argon_second_continuum,common,,loschmidt_m3,m^-3,True,True,True
ArCF4,active,argon_second_continuum,common,,W_Ar_dbleStar_to_1s,dimensionless,True,True,True
ArCF4,active,argon_second_continuum,common,,tau_Ar_dbleStar_ns,ns,True,True,True
ArCF4,active,argon_second_continuum,common,,k_Ar_dbleStar_Q_Ar_m3_s,m^3/s,True,True,True
ArCF4,active,argon_second_continuum,common,,k_Ar_4s_Q_Ar_m3_s,m^3/s,True,True,True
ArCF4,active,argon_second_continuum,common,,k_Ar_4s_Q_2Ar_m6_s,m^6/s,True,True,True
ArCF4,active,argon_second_continuum,common,,tau_S_ns,ns,True,True,True
ArCF4,active,argon_second_continuum,common,,tau_T_ns,ns,True,True,True
ArCF4,active,argon_second_continuum,additive,CF4,k_Ar_dbleStar_Q_m3_s,m^3/s,True,True,True
ArCF4,active,argon_second_continuum,additive,CF4,k_Ar_4s_Q_m3_s,m^3/s,True,True,True
ArCF4,active,argon_second_continuum,additive,CF4,k_Ar2star_Q_m3_s,m^3/s,True,True,True
ArN2,active,argon_second_continuum,common,,loschmidt_m3,m^-3,True,True,True
ArN2,active,argon_second_continuum,common,,W_Ar_dbleStar_to_1s,dimensionless,True,True,True
ArN2,active,argon_second_continuum,common,,tau_Ar_dbleStar_ns,ns,True,True,True
ArN2,active,argon_second_continuum,common,,k_Ar_dbleStar_Q_Ar_m3_s,m^3/s,True,True,True
ArN2,active,argon_second_continuum,common,,k_Ar_4s_Q_Ar_m3_s,m^3/s,True,True,True
ArN2,active,argon_second_continuum,common,,k_Ar_4s_Q_2Ar_m6_s,m^6/s,True,True,True
ArN2,active,argon_second_continuum,common,,tau_S_ns,ns,True,True,True
ArN2,active,argon_second_continuum,common,,tau_T_ns,ns,True,True,True
ArN2,active,argon_second_continuum,additive,N2,k_Ar_dbleStar_Q_m3_s,m^3/s,True,True,True
ArN2,active,argon_second_continuum,additive,N2,k_Ar_4s_Q_m3_s,m^3/s,True,True,True
ArN2,active,argon_second_continuum,additive,N2,k_Ar2star_Q_m3_s,m^3/s,True,True,True
ArCO2,planned,argon_second_continuum,common,,loschmidt_m3,m^-3,True,True,True
ArCO2,planned,argon_second_continuum,common,,W_Ar_dbleStar_to_1s,dimensionless,True,True,True
ArCO2,planned,argon_second_continuum,common,,tau_Ar_dbleStar_ns,ns,True,True,True
ArCO2,planned,argon_second_continuum,common,,k_Ar_dbleStar_Q_Ar_m3_s,m^3/s,True,True,True
ArCO2,planned,argon_second_continuum,common,,k_Ar_4s_Q_Ar_m3_s,m^3/s,True,True,True
ArCO2,planned,argon_second_continuum,common,,k_Ar_4s_Q_2Ar_m6_s,m^6/s,True,True,True
ArCO2,planned,argon_second_continuum,common,,tau_S_ns,ns,True,True,True
ArCO2,planned,argon_second_continuum,common,,tau_T_ns,ns,True,True,True
ArCO2,planned,argon_second_continuum,additive,CO2,k_Ar_dbleStar_Q_m3_s,m^3/s,True,False,False
ArCO2,planned,argon_second_continuum,additive,CO2,k_Ar_4s_Q_m3_s,m^3/s,True,False,False
ArCO2,planned,argon_second_continuum,additive,CO2,k_Ar2star_Q_m3_s,m^3/s,True,False,False
ArCH4,planned,argon_second_continuum,common,,loschmidt_m3,m^-3,True,True,True
ArCH4,planned,argon_second_continuum,common,,W_Ar_dbleStar_to_1s,dimensionless,True,True,True
ArCH4,planned,argon_second_continuum,common,,tau_Ar_dbleStar_ns,ns,True,True,True
ArCH4,planned,argon_second_continuum,common,,k_Ar_dbleStar_Q_Ar_m3_s,m^3/s,True,True,True
ArCH4,planned,argon_second_continuum,common,,k_Ar_4s_Q_Ar_m3_s,m^3/s,True,True,True
ArCH4,planned,argon_second_continuum,common,,k_Ar_4s_Q_2Ar_m6_s,m^6/s,True,True,True
ArCH4,planned,argon_second_continuum,common,,tau_S_ns,ns,True,True,True
ArCH4,planned,argon_second_continuum,common,,tau_T_ns,ns,True,True,True
ArCH4,planned,argon_second_continuum,additive,CH4,k_Ar_dbleStar_Q_m3_s,m^3/s,True,False,False
ArCH4,planned,argon_second_continuum,additive,CH4,k_Ar_4s_Q_m3_s,m^3/s,True,False,False
ArCH4,planned,argon_second_continuum,additive,CH4,k_Ar2star_Q_m3_s,m^3/s,True,False,False
AriC4H10,planned,argon_second_continuum,common,,loschmidt_m3,m^-3,True,True,True
AriC4H10,planned,argon_second_continuum,common,,W_Ar_dbleStar_to_1s,dimensionless,True,True,True
AriC4H10,planned,argon_second_continuum,common,,tau_Ar_dbleStar_ns,ns,True,True,True
AriC4H10,planned,argon_second_continuum,common,,k_Ar_dbleStar_Q_Ar_m3_s,m^3/s,True,True,True
AriC4H10,planned,argon_second_continuum,common,,k_Ar_4s_Q_Ar_m3_s,m^3/s,True,True,True
AriC4H10,planned,argon_second_continuum,common,,k_Ar_4s_Q_2Ar_m6_s,m^6/s,True,True,True
AriC4H10,planned,argon_second_continuum,common,,tau_S_ns,ns,True,True,True
AriC4H10,planned,argon_second_continuum,common,,tau_T_ns,ns,True,True,True
AriC4H10,planned,argon_second_continuum,additive,iC4H10,k_Ar_dbleStar_Q_m3_s,m^3/s,True,False,False
AriC4H10,planned,argon_second_continuum,additive,iC4H10,k_Ar_4s_Q_m3_s,m^3/s,True,False,False
AriC4H10,planned,argon_second_continuum,additive,iC4H10,k_Ar2star_Q_m3_s,m^3/s,True,False,False
Ar,active,argon_second_continuum,common,,loschmidt_m3,m^-3,True,True,True
Ar,active,argon_second_continuum,common,,W_Ar_dbleStar_to_1s,dimensionless,True,True,True
Ar,active,argon_second_continuum,common,,tau_Ar_dbleStar_ns,ns,True,True,True
Ar,active,argon_second_continuum,common,,k_Ar_dbleStar_Q_Ar_m3_s,m^3/s,True,True,True
Ar,active,argon_second_continuum,common,,k_Ar_4s_Q_Ar_m3_s,m^3/s,True,True,True
Ar,active,argon_second_continuum,common,,k_Ar_4s_Q_2Ar_m6_s,m^6/s,True,True,True
Ar,active,argon_second_continuum,common,,tau_S_ns,ns,True,True,True
Ar,active,argon_second_continuum,common,,tau_T_ns,ns,True,True,True
