comparison_group,n_estimates,fits,models,mixtures,min_value,max_value
argon.ir.696.emission_weight,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,0.0001530391185573,0.0002508258937232
argon.ir.696.lifetime,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,28.3,28.3
argon.ir.696.quenching.Ar,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,0.0168265460409034,0.0302551719352053
argon.ir.696.quenching.CF4,2,ArCF4_IR_primary;ArJoint_IR_primary,ArCF4_IR;ArJoint_IR,Ar;ArCF4,5.498778831002157,6.0915832243073975
argon.ir.696.quenching.N2,2,ArJoint_IR_primary;ArN2_IR_primary,ArJoint_IR;ArN2_IR,Ar;ArN2,1.3392681059155205,2.813047771781601
argon.ir.727.emission_weight,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,1.7715103711798185e-05,9.362282315096467e-05
argon.ir.727.lifetime,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,28.3,28.3
argon.ir.727.quenching.Ar,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,0.0152930459017935,0.0315722604811278
argon.ir.727.quenching.CF4,2,ArCF4_IR_primary;ArJoint_IR_primary,ArCF4_IR;ArJoint_IR,Ar;ArCF4,4.210452707976048e-52,890.8731631480157
argon.ir.727.quenching.N2,2,ArJoint_IR_primary;ArN2_IR_primary,ArJoint_IR;ArN2_IR,Ar;ArN2,6.744512140116042,8.431576276256209
argon.ir.750.emission_weight,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,0.0052212855642153,0.0052212855642153
argon.ir.750.lifetime,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,21.7,21.7
argon.ir.750.quenching.Ar,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,2.6638448551915115,3.724026463805909
argon.ir.750.quenching.CF4,2,ArCF4_IR_primary;ArJoint_IR_primary,ArCF4_IR;ArJoint_IR,Ar;ArCF4,14.997348329459877,48.93460295558982
argon.ir.750.quenching.N2,2,ArJoint_IR_primary;ArN2_IR_primary,ArJoint_IR;ArN2_IR,Ar;ArN2,14.133814732028592,17.510838412229976
argon.ir.764.emission_weight,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,0.0007935860893477,0.0052212855642153
argon.ir.764.lifetime,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,29.4,29.4
argon.ir.764.quenching.Ar,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,0.0843052897698717,1.0608907349584618
argon.ir.764.quenching.CF4,2,ArCF4_IR_primary;ArJoint_IR_primary,ArCF4_IR;ArJoint_IR,Ar;ArCF4,47.24338706685748,112.91908848759635
argon.ir.764.quenching.N2,2,ArJoint_IR_primary;ArN2_IR_primary,ArJoint_IR;ArN2_IR,Ar;ArN2,6.580150848794528,45.62696326405575
argon.ir.772.emission_weight,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,0.000654501939619,0.0015096809898015
argon.ir.772.lifetime,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,28.3,28.3
argon.ir.772.quenching.Ar,3,ArCF4_IR_primary;ArJoint_IR_primary;ArN2_IR_primary,ArCF4_IR;ArJoint_IR;ArN2_IR,Ar;ArCF4;ArN2,0.0283081350497083,0.1103728400247876
argon.ir.772.quenching.CF4,2,ArCF4_IR_primary;ArJoint_IR_primary,ArCF4_IR;ArJoint_IR,Ar;ArCF4,42.891891695349145,72.47975191434394
argon.ir.772.quenching.N2,2,ArJoint_IR_primary;ArN2_IR_primary,ArJoint_IR;ArN2_IR,Ar;ArN2,4.975923597027789,6.619229145475975
argon.meta.transfer.2Ar,1,ArN2_primary,ArN2,ArN2,0.0158599999058003,0.0158599999058003
argon.meta.transfer.N2b,1,ArN2_primary,ArN2,ArN2,0.0195939603078312,0.0195939603078312
argon.meta.transfer.N2c,1,ArN2_primary,ArN2,ArN2,0.8234919166104352,0.8234919166104352
argon.res.transfer.2Ar,1,ArN2_primary,ArN2,ArN2,0.000462,0.000462
argon.res.transfer.N2b,1,ArN2_primary,ArN2,ArN2,0.3673867488374211,0.3673867488374211
argon.res.transfer.N2c,1,ArN2_primary,ArN2,ArN2,0.4728940648802401,0.4728940648802401
