parameter,tex_name,primary_value,primary_stat_minus,primary_stat_plus,primary_syst_minus,primary_syst_plus,secondary_optimal,secondary_has_rule,secondary_modified
Nnorm,$N_{\mathrm{norm}}$,0.0127446203549334,0.0036569391027191,0.0010175030397214,0.0004663922926093,0.0003936779053645,0.0127446203549334,False,False
P_N2,$\mathcal{W}_{\mathrm{N}_2^*}$,0.6068901725164795,0.0467447467383428,0.3931098274262042,0.0067858380076388,0.0053437799904154,0.6068901725164795,False,False
tau_N2,"$\tau_{\mathrm{N}_2(C)}\,[\mathrm{ns}]$",37.80718336483932,0.0,0.0,0.0,0.0,37.80718336483932,False,False
K_N2_Q_N2,"$K_{\mathrm{N}_2(C)Q(\mathrm{N}_2)}\,[\mathrm{ns}^{-1}]$",0.2014449648501393,0.0462061806296466,0.0574720296793109,0.0001072520440239,8.508824906411361e-05,0.2014449648501393,False,False
K_N2_Q_Ar,"$K_{\mathrm{N}_2(C)Q(\mathrm{Ar})}\,[\mathrm{ns}^{-1}]$",0.0347792789958676,0.0060712020579301,4.132347242169487e-12,5.224812943405155e-11,4.119898866505878e-12,0.0347792789958676,False,False
K_ArMeta_Q_N2c,"$K_{\mathrm{Ar}(1s_5)Q(\mathrm{N}_2(C))}\,[\mathrm{ns}^{-1}]$",0.8234919166104352,0.2660681218676963,0.3679057114409901,0.0046571089578176,0.0037533565639248,0.8234919166104352,False,False
K_ArMeta_Q_N2b,"$K_{\mathrm{Ar}(1s_5)Q(\mathrm{N}_2(B))}\,[\mathrm{ns}^{-1}]$",0.0195939603078312,3.0783125701261405e-10,0.0009162410570541,3.0783125701261405e-10,1.039254630269548e-09,0.0195939603078312,False,False
K_ArMeta_Q_2Ar,"$K_{\mathrm{Ar}(1s_5)Q(2\mathrm{Ar})}\,[\mathrm{ns}^{-1}]$",0.0158599999058003,0.0026700541771223,9.402784800771612e-11,1.5318929784402524e-07,9.384776289422804e-11,0.0158599999058003,False,False
K_ArRes_Q_N2c,"$K_{\mathrm{Ar}(1s_4)Q(\mathrm{N}_2(C))}\,[\mathrm{ns}^{-1}]$",0.4728940648802401,0.1362137729866576,0.4178947200771392,0.0039145376682684,0.0030934243643769,0.4728940648802401,False,False
K_ArRes_Q_N2b,"$K_{\mathrm{Ar}(1s_4)Q(\mathrm{N}_2(B))}\,[\mathrm{ns}^{-1}]$",0.3673867488374211,1.6141478154096944e-08,1.162578810998127e-09,0.0,1.1625766460632292e-09,0.3673867488374211,False,False
K_ArRes_Q_2Ar,"$K_{\mathrm{Ar}(1s_4)Q(2\mathrm{Ar})}\,[\mathrm{ns}^{-1}]$",0.000462,0.0,1.619000806968562e-05,0.0,6.509230182855444e-11,0.000462,False,False
P_Ar_dbleStar,$\mathcal{W}_{\mathrm{Ar}^{**}}^*$,1.0149372758008263e-11,1.0073946395720559e-11,0.0512093674311604,1.0054639891255804e-11,6.092374960119157e-12,1.0149372758008263e-11,False,False
frac_Ar_dbleStar,$f_{\mathrm{Ar}^{**}}$,0.6352507583101811,0.6269813281059481,0.3647492416898188,0.6320226396309728,0.3647492414818968,0.6352507583101811,False,False
