concentration,CF4,ErrCF4,Ar_dbleStar,ErrAr_dbleStar,CF3,ErrCF3,Ar_3rd,ErrAr_3rd
0.001,0.754,0.00868328287877451,128.2202,0.1132340423000747,0.1696,0.004118251921046845,22.468500000000002,0.04740130112755216
0.002,1.4861000000000002,0.012190529029678257,128.169,0.11321182464005311,0.3529,0.005940539969809485,22.3778,0.047306067628085674
0.005,3.7376,0.019332923335513667,127.5458,0.1129361876423069,0.8703,0.00932898982514926,22.2501,0.04717016949138019
0.01,7.3539,0.02711809612970685,126.4223,0.11243775552486124,1.7316,0.013159031902864661,22.0433,0.046949745987277185
0.02,14.536700000000002,0.0381272136254452,124.5428,0.11159888923277231,3.4387999999999996,0.018544002879573532,21.5216,0.046391390373273514
0.05,35.2066,0.059335891673598595,119.1386,0.1091509044788549,8.407,0.028994828602025492,20.0045,0.04472710772819522
0.1,66.7791,0.08172172024024964,110.1171,0.10493673594056091,16.307,0.04038194417451651,17.917199999999998,0.042329467488615095
0.2,121.47019999999999,0.1102121645635464,94.3865,0.09715280816125263,30.918499999999998,0.055604370913661744,14.1827,0.03765964421820496
0.5,242.2921,0.15566735007764698,55.809599999999996,0.07470573855985378,70.0711,0.0837086757814869,6.7588,0.025997929411180558
1.0,378.9919,0.19467518356964914,0.0,0.0,133.5141,0.11554762918366636,0.0,0.0
