concentration,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_dbleStar,ErrAr_dbleStar,Ar_2nd_precursor,ErrAr_2nd_precursor
0.001,56.926500000000004,0.07544943919501697,69.903,0.08361027228793398,128.2202,0.1132340423000747,255.04970000000003,0.1597036124905136
0.002,56.270399999999995,0.07501430911957438,69.6043,0.08342625194078622,128.169,0.11321182464005311,254.0437,0.15938633355436949
0.005,54.6109,0.07389813737646242,69.0096,0.0830722354396838,127.5458,0.1129361876423069,251.1663,0.15848190271395382
0.01,52.3885,0.07237972650860419,67.8122,0.08234576190415627,126.4223,0.11243775552486124,246.62300000000002,0.1570410716357501
0.02,49.2438,0.07017486989151765,65.8692,0.08115832799937596,124.5428,0.11159888923277231,239.6558,0.15480794115914825
0.05,43.4042,0.06588197368459142,61.1121,0.07817402361774917,119.1386,0.1091509044788549,223.6549,0.14955110288365547
0.1,37.1903,0.060984175961639533,54.967200000000005,0.07414062689953574,110.1171,0.10493673594056091,202.2746,0.14222384056351237
0.2,29.609,0.05441361251873647,45.071099999999994,0.067135058968241,94.3865,0.09715280816125263,169.0666,0.1300254802091711
0.5,16.218,0.040271721223945685,25.0298,0.05002989853470658,55.809599999999996,0.07470573855985378,97.0574,0.0985177631267857
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
