concentration,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
0.001,108.1357,0.10398796913587752,108.1357,0.10398796913587752,107.0418,0.10346065490538886,117.0034,0.10816776536448272,108.1357,0.10398796913587752,101.6171,0.10080495417969053
0.002,108.0832,0.10396322068548099,108.0832,0.10396322068548099,106.98470000000003,0.10343356333934835,116.93830000000001,0.10813814088620971,108.0832,0.10396322068548099,101.48560000000003,0.10074017344271308
0.005,107.5294,0.10369638870638856,107.5294,0.10369638870638856,106.44220000000001,0.10317083299296956,116.3151,0.10784949190635974,107.5294,0.10369638870638856,101.0164,0.10050688307758306
0.01,106.642,0.10326769515490461,106.642,0.10326769515490461,105.55939999999998,0.10274219106517765,115.35000000000001,0.10740119616943102,106.642,0.10326769515490461,100.1492,0.10007460634657007
0.02,105.03960000000001,0.10248899374775446,105.03960000000001,0.10248899374775446,103.9582,0.1019600571238582,113.65880000000001,0.10661103927312146,105.03960000000001,0.10248899374775446,98.64710000000001,0.09932139036513625
0.05,100.35510000000001,0.10017769834622793,100.35510000000001,0.10017769834622793,99.31630000000001,0.0996578676593693,108.67290000000001,0.10424657737953695,100.35510000000001,0.10017769834622793,94.1611,0.09703695899394478
0.1,92.5441,0.09619987655222836,92.5441,0.09619987655222836,91.59639999999999,0.09570604330840807,100.3271,0.10016346425617127,92.5441,0.09619987655222836,86.79509999999999,0.09316396537262178
0.2,78.9148,0.08883408165469886,78.9148,0.08883408165469886,78.07179999999998,0.08835832438236374,85.76299999999999,0.09260840859369036,78.9148,0.08883408165469886,73.8521,0.08593731986669693
0.5,46.0376,0.06785092395514886,46.0376,0.06785092395514886,45.5001,0.06745367134152709,50.312400000000004,0.07093115189092068,46.0376,0.06785092395514886,42.8512,0.06546075208774972
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
