id,particle,degrad_particle,energy_kev,electric_field_v_cm_bar,pressure_bar,gas_label,gas_mixture,additive,additive_fraction,source_txt,total_excitations,Errtotal_excitations,Wexc_eV,ErrWexc_eV,CF4,ErrCF4,CF3,ErrCF3,N2_star,ErrN2_star,Ar_3rd,ErrAr_3rd,Ar_dbleStar,ErrAr_dbleStar,Ar_1s4_1s5,ErrAr_1s4_1s5,Ar_1s2_1s3,ErrAr_1s2_1s3,Ar_2nd_precursor,ErrAr_2nd_precursor
Ar_electron_12keV,electron,electron,12.0,50.0,1.0,Ar,Ar,,0.0,Primary_DegradData/Electrons/OUTPUTS/output_Argon_E_50.0Vcmbar_P_1bar_Electron_12keV.txt,204.4978,0.143,58.6803,0.041,0.0,0.0,0.0,0.0,0.0,0.0,18.1201,0.04256730141284858,104.7128,0.10232941413820867,44.5182,0.066721703415138,55.266799999999996,0.07434132877050742,204.49779999999998,0.14300254496984077
Ar_xray_8keV,xray,photon,8.0,50.0,1.0,Ar,Ar,,0.0,Primary_DegradData/photons/OUTPUTS/output_Argon_E_50.0Vcmbar_P_1bar_Photon_8keV.txt,133.4827,0.1155,59.9329,0.0519,0.0,0.0,0.0,0.0,0.0,0.0,12.0822,0.03475953557583221,68.63569999999999,0.0828465886236451,26.7376,0.0517081242265061,38.109399999999994,0.061731184041648846,133.48269999999997,0.11553365934126379
Ar_xray_12keV,xray,photon,12.0,50.0,1.0,Ar,Ar,,0.0,Primary_DegradData/photons/OUTPUTS/output_Argon_E_50.0Vcmbar_P_1bar_Photon_12keV.txt,203.1398,0.1425,59.0726,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,18.0838,0.04252547505932794,104.0198,0.10199018979929989,44.3143,0.06656958879345137,54.805699999999995,0.07403131596365814,203.1398,0.1425276980475634
Ar_xray_30keV,xray,photon,30.0,50.0,1.0,Ar,Ar,,0.0,Primary_DegradData/photons/OUTPUTS/output_Argon_E_50.0Vcmbar_P_1bar_Photon_30keV.txt,494.4989,0.2224,60.6675,0.0273,0.0,0.0,0.0,0.0,0.0,0.0,45.0976,0.06715648945579944,259.30679999999995,0.16103000816454988,97.85919999999999,0.09892259871617251,137.3329,0.1171917166434234,494.49889999999994,0.2223741048685038
ArCF4_electron_12keV,electron,electron,12.0,50.0,1.0,99Ar/1CF4,ArCF4,CF4,0.01,Primary_DegradData/Electrons/OUTPUTS/output_99Argon1CF4_E_50.0Vcmbar_P_1bar_Electron_12keV.txt,199.1682,0.1411,60.2506,0.0427,5.9754,0.024444400553431538,1.4002000000000001,0.011833001877676512,0.0,0.0,17.706300000000002,0.04207818619707257,102.9085,0.10144392490856484,41.180099999999996,0.0641712184593156,53.4469,0.07310963977681562,197.5355,0.14054833548535353
ArCF4_electron_1500keV,electron,electron,1500.0,50.0,1.0,99Ar/1CF4,ArCF4,CF4,0.01,Primary_DegradData/Electrons/OUTPUTS/output_99Argon1CF4_E_50.0Vcmbar_P_1bar_Electron_1500keV.txt,24379.3106,1.5614,61.5276,0.0039,734.1289,0.27093063356115366,175.7876,0.13258509829646087,0.0,0.0,2194.4926,0.46838955175986124,12779.1579,1.1304780781343378,4695.9937,0.685286386480457,6698.308999999999,0.8185491346678337,24173.4606,1.5548700275274483
ArCF4_xray_8keV,xray,photon,8.0,50.0,1.0,99Ar/1CF4,ArCF4,CF4,0.01,Primary_DegradData/photons/OUTPUTS/output_99Argon1CF4_E_50.0Vcmbar_P_1bar_Photon_8keV.txt,130.7156,0.1143,61.2016,0.0535,3.9121,0.01977893881468086,0.9249999999999999,0.009617691112962385,0.0,0.0,11.784099999999999,0.03432798209822085,67.5014,0.0821593146865302,25.348100000000002,0.050346726507411815,36.7757,0.060642891995234816,129.6252,0.11385300263637378
ArCF4_xray_12keV,xray,photon,12.0,50.0,1.0,99Ar/1CF4,ArCF4,CF4,0.01,Primary_DegradData/photons/OUTPUTS/output_99Argon1CF4_E_50.0Vcmbar_P_1bar_Photon_12keV.txt,198.0943,0.1407,60.5772,0.043,5.877000000000001,0.024242544820983373,1.3902,0.011790674809467187,0.0,0.0,17.6826,0.04205047794468579,102.3006,0.10114389571069214,40.994600000000005,0.06402635837638455,53.1689,0.07291905183453021,196.4641,0.14016650929135496
ArCF4_xray_30keV,xray,photon,30.0,50.0,1.0,99Ar/1CF4,ArCF4,CF4,0.01,Primary_DegradData/photons/OUTPUTS/output_99Argon1CF4_E_50.0Vcmbar_P_1bar_Photon_30keV.txt,486.6213,0.2206,61.6496,0.0279,14.703700000000001,0.0383453824943992,3.4875,0.01867485436592143,0.0,0.0,44.005900000000004,0.06633804382904582,254.7585,0.15961215022837277,94.0839,0.09699893623021856,133.6848,0.11562674832830064,482.5272,0.21966878945197205
CF4_electron_12keV,electron,electron,12.0,50.0,1.0,CF4,CF4,,0.0,Primary_DegradData/Electrons/OUTPUTS/output_CF4_E_50.0Vcmbar_P_1bar_Electron_12keV.txt,127.5363,0.1129,94.0909,0.0833,305.17990000000003,0.17470589782153081,107.1417,0.10350952697127438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
