file,gas_mixture,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,electric_field,gap_mm,pressure,npe,ne,ne_std,ni,ni_std,n_entries,Ar_meta,ErrAr_meta,Ar_res,ErrAr_res,Ar_dbleStar,ErrAr_dbleStar,N2_star,ErrN2_star,Ar_696,ErrAr_696,Ar_727,ErrAr_727,Ar_750,ErrAr_750,Ar_763,ErrAr_763,Ar_772,ErrAr_772,Ar_794,ErrAr_794
ar_100.0_n2_0.0_90.0kVcm_1.000bar_0.0516mm_100npe.root,Ar,ar,100.0,n2,0.0,0.0,90.0,0.0516,1.0,100.0,9172.52,6215.4391760446915,9171.16,6215.2598338624775,100,139591.0,373.61878967739295,164169.0,405.1777387764535,1192696.0,1092.1062219399723,0.0,0.0,646363.0,803.9670391253611,646363.0,803.9670391253611,634191.0,796.3610989996937,732489.0,855.8557121384422,646363.0,803.9670391253611,688310.0,829.6445021815067
ar_100.0_n2_0.0_80.0kVcm_1.000bar_0.0602mm_100npe.root,Ar,ar,100.0,n2,0.0,0.0,80.0,0.0602,1.0,100.0,9534.66,5870.829415393234,9533.48,5870.686770831171,100,170835.0,413.32190844425367,195310.0,441.9389098054164,1368754.0,1169.9376051738827,0.0,0.0,736087.0,857.9551270317114,736087.0,857.9551270317114,721605.0,849.4733662687725,834889.0,913.7226056085075,736087.0,857.9551270317114,784068.0,885.4761431004225
ar_100.0_n2_0.0_70.0kVcm_1.000bar_0.0722mm_100npe.root,Ar,ar,100.0,n2,0.0,0.0,70.0,0.0722,1.0,100.0,9861.54,6162.959930049355,9860.51,6162.946218393284,100,213101.0,461.62863862633134,235378.0,485.1577063182651,1588211.0,1260.2424369937714,0.0,0.0,843929.0,918.6560836352198,843929.0,918.6560836352198,826844.0,909.3096282345194,958704.0,979.1343115221731,843929.0,918.6560836352198,900012.0,948.6896225847524
ar_100.0_n2_0.0_60.0kVcm_1.000bar_0.0901mm_100npe.root,Ar,ar,100.0,n2,0.0,0.0,60.0,0.0901,1.0,100.0,10019.18,6628.362273738453,10018.17,6628.365238766257,100,271145.0,520.7158534171972,288639.0,537.2513378298838,1856499.0,1362.534036272122,0.0,0.0,972529.0,986.1688496398575,972529.0,986.1688496398575,952275.0,975.8457869971054,1105416.0,1051.38765448335,972529.0,986.1688496398575,1037222.0,1018.4409653976022
ar_99.0_n2_1.0_90.0kVcm_1.000bar_0.0519mm_100npe.root,ArN2,ar,99.0,n2,1.0,1.0,90.0,0.0519,1.0,100.0,9641.9,4799.829189932206,9640.45,4799.617321393256,100,145408.0,381.3240092100155,171454.0,414.0700423841358,1247008.0,1116.695124015503,5461.0,73.89857914736926,676018.0,822.2031379166586,676018.0,822.2031379166586,662939.0,814.2106607015165,766033.0,875.2331118050779,676018.0,822.2031379166586,720119.0,848.5982559491858
ar_99.0_n2_1.0_80.0kVcm_1.000bar_0.0608mm_100npe.root,ArN2,ar,99.0,n2,1.0,1.0,80.0,0.0608,1.0,100.0,9524.94,5299.095489464655,9523.77,5299.065156461491,100,170264.0,412.6305853908554,194051.0,440.5122018741365,1362535.0,1167.276745249386,6434.0,80.2122185206219,732801.0,856.0379664477505,732801.0,856.0379664477505,718762.0,847.7983250750145,831543.0,911.8897959731758,732801.0,856.0379664477505,781057.0,883.774292452547
ar_99.0_n2_1.0_70.0kVcm_1.000bar_0.0731mm_100npe.root,ArN2,ar,99.0,n2,1.0,1.0,70.0,0.0731,1.0,100.0,10007.49,5777.601679028692,10006.44,5777.504966923722,100,215395.0,464.10666877346205,237145.0,486.9753587195147,1599824.0,1264.8414920455448,8304.0,91.12628599915614,849905.0,921.9029233059194,849905.0,921.9029233059194,832947.0,912.659301163364,964567.0,982.1237192940613,849905.0,921.9029233059194,905872.0,951.7730821997436
ar_99.0_n2_1.0_60.0kVcm_1.000bar_0.0914mm_100npe.root,ArN2,ar,99.0,n2,1.0,1.0,60.0,0.0914,1.0,100.0,9402.6,6016.652932075316,9401.57,6016.616504877777,100,252935.0,502.92643597249884,269337.0,518.9768780976663,1732136.0,1316.1063786791703,10036.0,100.17983829094555,905965.0,951.8219371289989,905965.0,951.8219371289989,886884.0,941.7451884666043,1030673.0,1015.2206656683068,905965.0,951.8219371289989,966384.0,983.0483202772893
ar_90.0_n2_10.0_90.0kVcm_1.000bar_0.0572mm_100npe.root,ArN2,ar,90.0,n2,10.0,10.0,90.0,0.0572,1.0,100.0,8501.87,5391.379712573722,8500.52,5391.185489240186,100,122942.0,350.6308600223318,144386.0,379.9815785008531,1045188.0,1022.3443646834465,50667.0,225.09331398333447,566899.0,752.9269552884928,566899.0,752.9269552884928,556028.0,745.6728505182417,642503.0,801.56284844047,566899.0,752.9269552884928,604029.0,777.1930262167823
ar_90.0_n2_10.0_80.0kVcm_1.000bar_0.0678mm_100npe.root,ArN2,ar,90.0,n2,10.0,10.0,80.0,0.0678,1.0,100.0,10009.53,5744.020320606061,10008.32,5743.9378406079295,100,169398.0,411.57988289030845,193755.0,440.1761011231755,1357818.0,1165.2544786440428,70590.0,265.68778669709303,731121.0,855.056138507876,731121.0,855.056138507876,717163.0,846.8547691310476,829024.0,910.5075507649566,731121.0,855.056138507876,778839.0,882.5185550457282
ar_90.0_n2_10.0_70.0kVcm_1.000bar_0.0832mm_100npe.root,ArN2,ar,90.0,n2,10.0,10.0,70.0,0.0832,1.0,100.0,8932.84,5101.29285795535,8931.77,5101.258145177264,100,183069.0,427.86563311394855,202926.0,450.47308465656414,1362093.0,1167.087400326128,78478.0,280.1392510877403,724211.0,851.0058754203757,724211.0,851.0058754203757,709538.0,842.3407861429957,822244.0,906.7767090083423,724211.0,851.0058754203757,772025.0,878.6495319523024
ar_90.0_n2_10.0_60.0kVcm_1.000bar_0.1071mm_100npe.root,ArN2,ar,90.0,n2,10.0,10.0,60.0,0.1071,1.0,100.0,10547.21,7069.077379393903,10546.17,7069.010060357416,100,271091.0,520.6639991395602,289985.0,538.50255338299,1857797.0,1363.0102714213126,118798.0,344.67085748580485,971282.0,985.5364021688899,971282.0,985.5364021688899,951161.0,975.2748330598919,1104305.0,1050.8591722966498,971282.0,985.5364021688899,1035731.0,1017.708700955239
ar_0.0_n2_100.0_90.0kVcm_1.000bar_0.1587mm_100npe.root,N2,ar,0.0,n2,100.0,100.0,90.0,0.1587,1.0,100.0,8426.04,6148.365626503658,8424.08,6147.655932815598,100,0.0,0.0,0.0,0.0,0.0,0.0,883776.0,940.0936123599606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar_0.0_n2_100.0_80.0kVcm_1.000bar_0.2124mm_100npe.root,N2,ar,0.0,n2,100.0,100.0,80.0,0.2124,1.0,100.0,10534.59,8559.9460008386,10532.98,8559.440117841183,100,0.0,0.0,0.0,0.0,0.0,0.0,1360222.0,1166.2855567998774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ar_0.0_n2_100.0_70.0kVcm_1.000bar_0.3030mm_100npe.root,N2,ar,0.0,n2,100.0,100.0,70.0,0.303,1.0,100.0,10023.62,9103.09985473369,10022.29,9102.782467598807,100,0.0,0.0,0.0,0.0,0.0,0.0,1656220.0,1286.942112140247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
